variant,scene_index,sample_index,k_value,ratio,projection_candidate_index,psll_db,weakest_target_gain_db,target_spread_db,nearest_iso_db,local_iso_db,pointing_error_deg,combined_worst_active_rl_db,combined_total_rl_db,task_significant_worst_active_rl_db,task_significant_worst_total_rl_db,active_rl_floor_db,active_rl_gate,pattern_margin_db,network_efficiency_min,external_combined_dynamic_range_db,external_combined_peak_to_rms_db,joint_gate_pass
active_upper_bound,0,426100,2,0.6000000238418579,3,-2.1941680908203125,80.34111785888672,0.5236129760742188,24.018753051757812,20.121334075927734,0.0,11.914617304192202,13.197580601732781,12.099647284052768,13.13433344102345,11.914617304192202,1,-0.9812469482421875,0.9742862594719456,25.087758085232792,6.5391364575691835,0
active_upper_bound,1,426102,2,0.699999988079071,7,-6.727027893066406,83.45159912109375,0.1779632568359375,28.93633270263672,23.34191131591797,1.0000000000002647,12.62775025258112,13.807706981255983,12.81084058281145,13.578059361205703,12.62775025258112,1,0.25439453125,0.9696128623752975,21.53079442585262,6.192492811337451,1
active_upper_bound,2,426104,2,0.6000000238418579,5,-4.439186096191406,80.814453125,0.9677276611328125,31.491016387939453,21.15239715576172,8.537736462515939e-07,11.791232810465237,13.502691101671598,12.350165117647084,13.405505796743855,11.791232810465237,1,-0.7084884643554688,0.9710087702938213,16.48455168978422,6.107166073000193,0
active_upper_bound,3,426105,2,0.800000011920929,3,-9.816810607910156,83.60054016113281,0.35782623291015625,29.891807556152344,25.183307647705078,0.0,12.138833550563842,13.622950660987277,12.334790302402258,13.398586710535055,12.138833550563842,1,-0.0947723388671875,0.9704836915449928,15.22616319337539,3.8114159527825087,0
active_upper_bound,4,426106,2,0.6000000238418579,3,-9.464141845703125,82.09400177001953,0.05008697509765625,35.62838363647461,23.256824493408203,0.20904642891876396,12.31251485834403,13.343377482972445,12.38307543801552,13.228240744388485,12.31251485834403,1,0.36148834228515625,0.9770491329070764,15.251302576751156,5.948211880495996,1
active_upper_bound,5,426107,2,0.800000011920929,3,-6.17095947265625,82.27445983886719,0.2125244140625,29.196544647216797,23.216800689697266,0.0,12.440857357757778,13.635793907666361,12.171914069254527,13.495301723068206,12.171914069254527,1,-0.01709747314453125,0.9706553077709376,18.70966996706027,8.82143853663928,0
active_upper_bound,6,426109,2,0.6000000238418579,4,-8.737144470214844,82.56365966796875,0.1047821044921875,29.86688995361328,22.811717987060547,8.537736462515939e-07,12.552495222804222,13.429600657645409,11.490429455141628,13.306378126975392,11.490429455141628,1,0.012176513671875,0.9723188401732032,14.742950873528356,5.760406903098075,1
active_upper_bound,7,426110,4,0.699999988079071,3,-4.900367736816406,78.90242004394531,1.035797119140625,24.526504516601562,19.937171936035156,1.0000000000002647,12.24464201936187,13.505063100233466,12.484521262876216,13.290576190873686,12.24464201936187,1,-1.1327133178710938,0.9698711868660246,22.79955440372816,5.782884678531115,0
active_upper_bound,8,426111,4,0.699999988079071,6,-3.0555419921875,78.64997100830078,0.606842041015625,25.64364242553711,19.237548828125,1.9999999999999472,12.500627032582186,13.422508134864335,12.353580739223792,13.277781979822148,12.353580739223792,1,-0.762451171875,0.9714249508468183,18.901205798951267,7.585699733193789,0
active_upper_bound,9,426113,4,0.800000011920929,0,-7.4555816650390625,80.51667785644531,0.28708648681640625,25.043548583984375,20.372947692871094,0.9999999999999002,11.459824048251788,13.742443657354237,11.470290822373826,13.318241856422787,11.459824048251788,1,-0.35565948486328125,0.970075837860271,18.189683171171918,5.990886087097359,0
