sample_index,scene_origin,k_value,max_target_theta_deg,min_target_separation_deg,best_ratio,best_candidate_source,root_cause,worst_margin_db,psll_margin_db,nearest_iso_margin_db,local20_iso_margin_db,mainlobe_margin_db,active_rl_margin_db,hardware_margin_db,psll_worst_corner,nearest_iso_worst_corner,local20_iso_worst_corner,mainlobe_worst_corner,active_rl_worst_corner,hardware_worst_corner
421022,existing45,6,55.0,14.0,0.5,min_spacing_150,mainlobe,-0.5,2.0850753784179688,1.9023895263671875,3.6332778930664062,-0.5,-0.3819775879383087,0.9906474947929382,frequency_high_x0.20,frequency_low_x0.20,patch_length_low_x0.20,frequency_low_x0.20,frequency_high_x0.20,patch_length_high_x0.20
421023,existing45,6,48.0,14.0,0.5,E2_active_rl_guided_mask_rescue,active_rl,-0.09796828776597977,2.7006301879882812,-0.03516387939453125,0.8233680725097656,0.07520148903131485,-0.09796828776597977,0.9881856441497803,frequency_low_x0.20,frequency_high_x0.20,frequency_low_x0.20,frequency_high_x0.20,frequency_high_x0.20,frequency_high_x0.20
421025,existing45,6,56.0,14.0,0.6000000238418579,E2_active_rl_guided_mask_rescue,nearest_iso,-0.0860595703125,4.657600402832031,-0.0860595703125,2.35565185546875,0.33234405517578125,0.09675058722496033,1.0026698112487793,frequency_low_x0.20,frequency_high_x0.20,frequency_low_x0.20,frequency_low_x0.20,frequency_high_x0.20,dielectric_low_x0.20
421026,existing45,6,50.0,13.433188438415527,0.800000011920929,E2_active_rl_guided_mask_rescue,active_rl,-0.3299095332622528,7.363380432128906,1.2288131713867188,3.234455108642578,0.11071976274251938,-0.3299095332622528,0.9906802773475647,frequency_high_x0.20,dielectric_high_x0.20,patch_length_low_x0.20,frequency_high_x0.20,frequency_low_x0.20,patch_length_high_x0.20
421029,existing45,6,58.0,14.0,0.5,adversarial_multi_corner_refinement,mainlobe,-0.5,-0.25095367431640625,0.12770843505859375,2.255046844482422,-0.5,0.20795239508152008,0.9973771572113037,frequency_high_x0.20,dielectric_low_x0.20,patch_length_high_x0.20,frequency_low_x0.20,frequency_low_x0.20,dielectric_high_x0.20
421035,existing45,6,56.0,20.196687698364258,0.6000000238418579,E2_active_rl_guided_mask_rescue,active_rl,-0.21175625920295715,3.53350830078125,1.4891433715820312,3.5496749877929688,0.2792389988899231,-0.21175625920295715,0.9894448518753052,frequency_high_x0.20,frequency_high_x0.20,dielectric_high_x0.20,frequency_low_x0.20,frequency_high_x0.20,frequency_low_x0.20
421036,existing45,6,58.0,16.0,0.5,ring_quadrant,mainlobe,-0.5,2.3468780517578125,0.9098281860351562,2.919952392578125,-0.5,-0.4756264090538025,-0.27211812138557434,frequency_high_x0.20,patch_length_low_x0.20,dielectric_high_x0.20,frequency_low_x0.20,frequency_high_x0.20,patch_length_low_x0.20
423018,existing45,4,25.0,16.16038703918457,0.5,E2_active_rl_guided_mask_rescue,active_rl,-0.0028734628576785326,5.731689453125,0.8416023254394531,1.5281639099121094,0.3033599853515625,-0.0028734628576785326,0.980564534664154,patch_length_high_x0.20,patch_length_high_x0.20,frequency_high_x0.20,frequency_low_x0.20,frequency_low_x0.20,patch_length_low_x0.20
426120,new30,6,56.0,14.0,0.5,adversarial_multi_corner_refinement,mainlobe,-0.5,1.623626708984375,0.9016304016113281,2.8980178833007812,-0.5,0.057270705699920654,1.0040030479431152,dielectric_low_x0.20,patch_length_high_x0.20,dielectric_high_x0.20,frequency_high_x0.20,frequency_high_x0.20,frequency_low_x0.20
426122,new30,6,58.0,13.988659858703613,0.5,adversarial_multi_corner_refinement,mainlobe,-0.5,3.1590576171875,2.3934898376464844,2.8708953857421875,-0.5,-0.06983637064695358,0.9948899149894714,frequency_high_x0.20,frequency_low_x0.20,patch_length_high_x0.20,frequency_low_x0.20,frequency_low_x0.20,dielectric_low_x0.20
426124,new30,6,56.0,14.0,0.6000000238418579,adversarial_multi_corner_refinement,mainlobe,-0.5,2.895538330078125,1.5323524475097656,1.308349609375,-0.5,-0.2732504904270172,0.9917967319488525,frequency_low_x0.20,dielectric_high_x0.20,frequency_high_x0.20,frequency_low_x0.20,frequency_low_x0.20,patch_length_low_x0.20
426125,new30,6,58.0,16.0,0.699999988079071,E2_active_rl_guided_mask_rescue,mainlobe,-0.5,3.486328125,0.9480133056640625,2.422496795654297,-0.5,-0.31550538539886475,0.990755558013916,frequency_high_x0.20,frequency_high_x0.20,frequency_high_x0.20,frequency_low_x0.20,frequency_high_x0.20,patch_length_low_x0.20
426126,new30,6,48.0,15.517605781555176,0.5,adversarial_multi_corner_refinement,mainlobe,-0.5,3.0954818725585938,2.4958724975585938,2.845783233642578,-0.5,0.07952003926038742,0.9949552416801453,patch_length_low_x0.20,dielectric_low_x0.20,dielectric_low_x0.20,frequency_low_x0.20,frequency_low_x0.20,patch_length_high_x0.20
