candidate_index,sample_index,k_value,ratio,selection_role,margin_psll_db,margin_nearest_iso_db,margin_local_iso_db,margin_mainlobe_db,margin_active_rl_db,strict_engineering_gate,split
0,422009,2,0.5,near_boundary,-0.3512115478515625,-2.0559921264648438,2.2611618041992188,0.44527435302734375,0.9492393732070923,0,test
1,421015,2,0.6000000238418579,near_boundary,8.237342834472656,0.00174713134765625,1.0182342529296875,0.420654296875,-0.007899835705757141,0,train
2,421003,2,0.699999988079071,near_boundary,6.7307586669921875,-3.1117401123046875,0.00165557861328125,0.42884063720703125,0.12166192382574081,0,train
3,421019,2,0.800000011920929,near_boundary,9.472518920898438,-1.1139907836914062,2.9700851440429688,0.472930908203125,0.009642780758440495,0,val
4,422002,2,0.5,near_boundary,-0.4600067138671875,-1.4520149230957031,2.933563232421875,0.47544097900390625,1.7064199447631836,0,val
5,422017,2,0.6000000238418579,near_boundary,7.281135559082031,-0.002391815185546875,2.638519287109375,0.4709625244140625,0.5908917188644409,0,train
6,421017,2,0.5,hard_positive,5.147315979003906,1.4279861450195312,3.784313201904297,0.5065460205078125,1.1688282489776611,1,val
7,421001,2,0.6000000238418579,hard_positive,8.9193115234375,5.745277404785156,3.1417083740234375,0.502532958984375,0.5178123712539673,1,train
8,421002,2,0.699999988079071,hard_positive,12.04669189453125,0.9063796997070312,4.036830902099609,0.501068115234375,0.6302095651626587,1,train
9,421013,2,0.800000011920929,hard_positive,10.847396850585938,1.72894287109375,2.312164306640625,0.49542236328125,1.5584566593170166,1,train
10,421012,2,0.5,hard_negative,8.686820983886719,1.2660369873046875,3.3592567443847656,0.4453582763671875,-0.004870117176324129,0,train
11,422005,2,0.6000000238418579,hard_negative,7.0572967529296875,0.4470863342285156,3.0704269409179688,0.49404144287109375,-0.018292628228664398,0,train
12,421018,2,0.699999988079071,hard_negative,7.712837219238281,-0.00774383544921875,2.2410049438476562,0.47563934326171875,0.20854653418064117,0,train
13,422003,2,0.800000011920929,hard_negative,11.57708740234375,-0.0882415771484375,2.6279830932617188,0.47226715087890625,0.23732921481132507,0,train
14,423009,4,0.5,near_boundary,-0.1537628173828125,-1.7400169372558594,1.6109886169433594,0.4421234130859375,-0.41572946310043335,0,val
15,423003,4,0.6000000238418579,near_boundary,3.3165130615234375,-0.017795562744140625,2.0932998657226562,0.4500885009765625,-0.22527830302715302,0,train
16,423000,4,0.699999988079071,near_boundary,5.98846435546875,-2.0604515075683594,0.40700531005859375,0.4618988037109375,-2.424476146697998,0,train
17,423001,4,0.800000011920929,near_boundary,4.6922607421875,-0.5329742431640625,1.4518966674804688,0.46978759765625,-0.014049600809812546,0,train
18,423014,4,0.5,near_boundary,1.5510482788085938,-2.3196258544921875,1.2783622741699219,0.5,-1.3254411220550537,0,train
19,423015,4,0.6000000238418579,near_boundary,7.211372375488281,-0.0232696533203125,1.9291610717773438,0.46953582763671875,0.8414567112922668,0,train
20,423010,4,0.5,hard_positive,6.3486480712890625,0.5425605773925781,1.6084213256835938,0.5,1.4947067499160767,1,test
21,423002,4,0.6000000238418579,hard_positive,5.618743896484375,0.8080520629882812,1.7498550415039062,0.5,0.6694602370262146,1,train
22,423016,4,0.699999988079071,hard_positive,9.941574096679688,0.7660980224609375,2.2743377685546875,0.4986419677734375,0.6998152732849121,1,train
23,423012,4,0.800000011920929,hard_positive,8.224105834960938,1.1609344482421875,3.0903282165527344,0.464263916015625,0.4779938757419586,1,train
24,423006,4,0.5,hard_negative,5.127738952636719,2.7564964294433594,2.3582801818847656,0.46628570556640625,-0.0061124335043132305,0,test
25,423017,4,0.6000000238418579,hard_negative,6.1403656005859375,3.1156272888183594,2.168121337890625,0.4003448486328125,-0.001476794364862144,0,test
26,423018,4,0.699999988079071,hard_negative,7.750907897949219,2.6706886291503906,2.3290481567382812,0.4306793212890625,-0.043319132179021835,0,train
27,423011,4,0.800000011920929,hard_negative,7.285057067871094,3.4182205200195312,2.7913742065429688,0.47335052490234375,-0.0013494511367753148,0,test
28,421028,6,0.5,near_boundary,0.02256011962890625,-1.6066627502441406,1.9732742309570312,-2.5,1.0622838735580444,0,train
29,421021,6,0.6000000238418579,near_boundary,1.3625335693359375,0.03957366943359375,2.6478843688964844,-1.5,-0.3520051836967468,0,train
30,421027,6,0.699999988079071,near_boundary,1.3761215209960938,-4.5505828857421875,-0.024997711181640625,0.4684295654296875,0.6605665683746338,0,train
31,421022,6,0.800000011920929,near_boundary,3.9733200073242188,-1.41668701171875,2.3722991943359375,-0.5,-0.0018393300706520677,0,train
32,421026,6,0.5,near_boundary,0.04212188720703125,1.0055694580078125,3.208263397216797,0.3817670941352844,-8.532766342163086,0,test
33,421036,6,0.6000000238418579,near_boundary,1.8784408569335938,0.11202239990234375,1.9926223754882812,-1.5,-0.09863800555467606,0,val
34,421029,6,0.699999988079071,near_boundary,1.3405609130859375,-1.7517852783203125,1.3639450073242188,-1.5,0.28403928875923157,0,train
35,421030,6,0.800000011920929,near_boundary,3.2467498779296875,0.16703033447265625,4.427116394042969,-0.30095750093460083,0.013303984887897968,0,train
36,421035,6,0.5,hard_positive,2.8485946655273438,3.2375030517578125,2.0732498168945312,0.5,0.5723225474357605,1,val
37,421033,6,0.6000000238418579,hard_positive,5.6613922119140625,1.4544754028320312,3.140209197998047,0.5,0.961037814617157,1,train
38,421039,6,0.699999988079071,hard_positive,4.721061706542969,2.7947540283203125,3.566211700439453,0.49849700927734375,1.1228493452072144,1,train
39,421031,6,0.800000011920929,hard_positive,6.7946624755859375,4.641468048095703,4.283382415771484,0.4779815673828125,0.5478911399841309,1,train
40,421023,6,0.5,hard_positive,4.897369384765625,3.4020118713378906,3.3263778686523438,0.485321044921875,0.845732569694519,1,train
41,421030,6,0.5,hard_negative,3.3384933471679688,2.1673927307128906,2.988567352294922,0.03220093622803688,-0.018099546432495117,0,train
42,421023,6,0.6000000238418579,hard_negative,4.545249938964844,-0.01833343505859375,2.353473663330078,0.07520148903131485,0.9475793838500977,0,train
43,421035,6,0.699999988079071,hard_negative,3.3236465454101562,0.15738677978515625,4.205280303955078,0.4869537353515625,-0.013296190649271011,0,val
44,421028,6,0.800000011920929,hard_negative,4.842781066894531,-0.008758544921875,4.885467529296875,0.4436798095703125,0.6093921661376953,0,train
45,421012,2,0.6000000238418579,paired_ratio,10.037635803222656,0.47353363037109375,2.7112350463867188,0.4778289794921875,0.2249826192855835,1,train
46,421017,2,0.6000000238418579,paired_ratio,4.2159881591796875,0.5315170288085938,3.5688247680664062,0.48755645751953125,0.8727050423622131,1,val
47,423006,4,0.6000000238418579,paired_ratio,6.384544372558594,2.6014328002929688,2.357189178466797,0.49483489990234375,0.2864026427268982,1,test
48,421026,6,0.6000000238418579,paired_ratio,2.5704498291015625,1.8112068176269531,3.07562255859375,0.417083740234375,1.1118605136871338,1,test
49,421021,6,0.699999988079071,paired_ratio,4.2578582763671875,3.5528030395507812,3.7792510986328125,0.459686279296875,0.8779109120368958,1,train
