frequency_ghz,mode_index,mode_name,resistance_ohm,reactance_ohm,magnitude_ohm,phase_deg,unsupported_modal_energy_fraction
9.96,0,pair02_even,54.49199045178113,24.019751948939838,59.55103279612877,23.787605689090572,0.01517248233283958
9.96,1,pair02_odd,68.60956886371427,-19.429990631826325,71.30776588575476,-15.811936987157766,0.01517248233283958
9.96,2,pair31_even,55.985594080548935,25.17094798807413,61.38373862164416,24.2085345034543,0.01517248233283958
9.96,3,pair31_odd,68.95814626645382,-19.382272019765033,71.63028971848297,-15.699238645954319,0.01517248233283958
10.0,0,pair02_even,49.072376497430795,24.27435192771147,54.747988973258074,26.319958311538677,0.014673857283220317
10.0,1,pair02_odd,56.43690655192698,-13.765940756823943,58.09152731742664,-13.707767433447366,0.014673857283220317
10.0,2,pair31_even,50.62778430952214,25.254383542053624,56.57699560935209,26.511148835188212,0.014673857283220317
10.0,3,pair31_odd,56.91322754021848,-13.740592496721492,58.54843594158295,-13.573209170702688,0.014673857283220317
10.04,0,pair02_even,44.2203386647274,25.1327514538478,50.86347950410072,29.611854134915426,0.014033923193671968
10.04,1,pair02_odd,47.10538655193132,-7.819773873267979,47.750039849574115,-9.425484456034237,0.014033923193671968
10.04,2,pair31_even,45.80720744388426,25.95603563633,52.64993864917108,29.537473871759197,0.014033923193671968
10.04,3,pair31_odd,47.6548922176965,-7.835272364980679,48.29472274807777,-9.336861522819799,0.014033923193671968
