candidate_id,frequency_ghz,x_neighbor_coupling_worst_db,y_neighbor_coupling_worst_db,diagonal_coupling_worst_db,x_pair_even_odd_active_rl_worst_db,four_port_even_odd_active_rl_worst_db
st_h_surface,9.96,-14.88881729976962,-24.40177956144273,-31.572346592733886,12.329561015181422,11.671372322962384
st_h_surface,10.0,-14.919106719375284,-24.538311349901335,-32.116777946489925,12.007106997754706,10.831752601129761
st_h_surface,10.04,-15.075078504210627,-24.772936076514974,-32.74629960419654,11.24564759568363,9.788077910891094
dx_a,9.96,-13.931239060037186,-24.520280439190877,-31.38074646472092,11.376813817587434,10.385865917254531
dx_a,10.0,-13.985613948162307,-24.702086043082005,-31.996398212459596,10.71256175146609,9.424898131289753
dx_a,10.04,-14.159875580445103,-24.978906191166516,-32.701346539017244,9.84701821747821,8.480310767097865
dx_b,9.96,-12.106792621572582,-24.992193357852134,-30.682594476244518,9.15901295756372,8.134512740905926
dx_b,10.0,-12.05877548877571,-25.19946071422642,-31.3663807848568,8.349357677714655,7.202526861811169
dx_b,10.04,-12.111872410968015,-25.49121080049247,-32.16631815449156,7.4515735446925095,6.361372202883048
dx_c,9.96,-9.076718719294462,-27.923687130963156,-37.847237641249706,2.157606026162058,1.8290711909983794
dx_c,10.0,-9.791600764392244,-26.498060475185838,-40.50377055504895,3.4533154132609942,2.8944655290263714
dx_c,10.04,-10.665529321640602,-25.49390579635068,-40.685761561706606,5.2844676697451565,4.411211554506451
