sample_index,target_hash,k_value,candidate_count,strict_candidate_count,oracle_strict,oracle_minimum_ratio,best_candidate_index,best_candidate_ratio,best_strict_violation_db,min_target_separation_deg,max_target_theta_deg,large_scan,small_target_gap,best_margin_psll_db,best_margin_nearest_iso_db,best_margin_local20_iso_db,best_margin_mainlobe_db,best_margin_active_rl_db
410000,2d7a9b6de091dd7c,2,96,0,0,nan,70,0.6000000238418579,3.0575942993164062,18.0,56.0,1,1,2.20172119140625,-2.5575942993164062,0.5905418395996094,-0.5,0.5121641159057617
410001,72064ab3fb89eb24,2,96,13,1,0.5,170,0.5,0.0,20.0,40.0,0,1,7.343284606933594,1.8623275756835938,3.4146652221679688,0.4630584716796875,1.1585512161254883
410002,907cec9a85a0158a,2,96,17,1,0.5,272,0.5,0.0,18.0,39.0,0,1,8.032150268554688,1.6387443542480469,2.75775146484375,0.505462646484375,0.886972963809967
410003,a5b9b56b29f65239,2,96,5,1,0.5,371,0.5,0.0,20.0,33.0,0,1,7.646385192871094,0.13816452026367188,2.895343780517578,0.46239471435546875,0.1179506927728653
410004,aa39ed3549815033,2,96,14,1,0.5,456,0.5,0.0,20.0,40.0,0,1,9.333740234375,1.0358505249023438,2.7488021850585938,0.4808807373046875,0.7849891185760498
410005,339aac3ce2c05b41,2,96,0,0,nan,568,0.5,24.215656995773315,18.0,71.0,1,1,-1.7876205444335938,-9.658706665039062,-5.088096618652344,-2.791015386581421,-4.8902177810668945
410006,b90bd350330c9644,2,96,1,1,0.6000000238418579,643,0.6000000238418579,0.0,20.0,58.0,1,1,4.662574768066406,0.16715240478515625,2.2650985717773438,0.46630096435546875,0.3856883943080902
410007,828e75028033cc05,2,96,3,1,0.5,757,0.5,0.0,16.0,41.0,0,1,5.870231628417969,0.6474952697753906,3.1079750061035156,0.48809814453125,0.908178448677063
410008,70b5b2d4010a83e2,2,96,12,1,0.5,852,0.5,0.0,20.0,27.0,0,1,8.013938903808594,4.123504638671875,2.615814208984375,0.48095703125,0.39542603492736816
410009,1fb2e44672b429af,2,96,0,0,nan,931,0.6000000238418579,0.5,16.0,54.0,1,1,4.1738433837890625,0.01055145263671875,2.4192276000976562,-0.5,0.3940228521823883
410010,e944457250e8d09a,2,96,0,0,nan,1014,0.6000000238418579,0.6641731262207031,20.0,56.0,1,1,4.587554931640625,-0.6641731262207031,2.9497909545898438,0.490631103515625,0.5769601464271545
410011,d65fbf92230cae23,2,96,0,0,nan,1147,0.5,2.91082763671875,66.54228210449219,58.0,1,0,5.670799255371094,-2.91082763671875,1.15203857421875,0.5,1.2306829690933228
410012,287e5a3a0853cdaf,2,96,0,0,nan,1207,0.6000000238418579,0.0347442626953125,18.0,50.0,1,1,3.8216629028320312,-0.0347442626953125,3.7449417114257812,0.4874420166015625,0.8121469020843506
410013,32cab6be431b589b,2,96,0,0,nan,1339,0.5,2.2547693699598312,20.0,54.0,1,1,2.2037277221679688,-1.6791305541992188,0.5112991333007812,-0.5,-0.07563881576061249
410014,4919a8c5f9bc1b42,2,96,0,0,nan,1411,0.6000000238418579,3.8991066068410873,18.0,56.0,1,1,2.0790863037109375,-3.3228225708007812,-0.0500030517578125,-0.5,-0.02628098428249359
410015,a026e5ddebb5ab97,2,96,0,0,nan,1480,0.699999988079071,0.4895515441894531,18.0,60.0,1,1,4.3857421875,-0.4895515441894531,2.510761260986328,0.42453765869140625,0.6910492777824402
410016,00805a77450fcaf5,2,96,39,1,0.5,1608,0.5,0.0,20.0,35.0,0,1,8.742820739746094,3.1335906982421875,3.0843429565429688,0.47238922119140625,1.1964936256408691
410017,51c18e1abc22ec15,2,96,39,1,0.5,1704,0.5,0.0,20.0,40.0,0,1,8.264137268066406,0.7471542358398438,2.950897216796875,0.47843170166015625,1.1679152250289917
410018,bb41b1c83c9ea9ef,2,96,35,1,0.5,1808,0.5,0.0,18.0,37.0,0,1,8.984779357910156,2.0726890563964844,4.070384979248047,0.49683380126953125,0.5475336909294128
410019,282af417a87bd6ae,2,96,49,1,0.5,1896,0.5,0.0,20.0,30.0,0,1,7.439605712890625,1.6426849365234375,1.8272247314453125,0.48033905029296875,0.7776557207107544
410020,f36c21851e06f9c8,2,96,7,1,0.5,1996,0.5,0.0,36.790184020996094,19.0,0,0,5.745521545410156,5.214836120605469,4.3535308837890625,0.443817138671875,0.005631985142827034
410021,dc0d4479c5298ede,2,96,17,1,0.5,2092,0.5,0.0,16.0,23.0,0,1,3.683441162109375,1.6597023010253906,2.486370086669922,0.5011749267578125,0.050635926425457
410022,a99b63154e7b4a49,2,96,5,1,0.5,2188,0.5,0.0,20.0,41.0,0,1,3.3043060302734375,0.12781524658203125,1.6086578369140625,0.40482330322265625,0.7393537163734436
410023,c666778651213fb0,2,96,1,1,0.5,2300,0.5,0.0,16.0,17.0,0,1,8.625289916992188,0.19786834716796875,4.473300933837891,0.43799591064453125,0.5167837142944336
410024,7659a8f0833a1e63,6,96,0,0,nan,2356,0.6000000238418579,1.0541915893554688,12.0,61.0,1,1,-0.5541915893554688,0.0608978271484375,3.2943496704101562,-0.5,0.1567961722612381
410025,b6610d62f381873c,6,96,0,0,nan,2472,0.5,0.17382122576236725,10.337295532226562,47.0,0,1,2.447662353515625,3.8828163146972656,3.18896484375,0.040199823677539825,-0.17382122576236725
410026,041b77a7ee77bc17,6,96,0,0,nan,2530,0.699999988079071,9.340675473213196,12.0,58.0,1,1,-3.1683197021484375,-1.9360771179199219,-0.8068923950195312,-2.5,-0.9293862581253052
410027,933c1d0c3d9db7a9,6,96,0,0,nan,2630,0.699999988079071,0.7632245421409607,12.60981559753418,50.0,1,1,2.9986343383789062,2.0247573852539062,3.8449325561523438,-0.7632245421409607,0.15730470418930054
410028,02c3ec86a7aa17d8,6,96,0,0,nan,2716,0.699999988079071,1.5,12.0,50.0,1,1,0.37143707275390625,3.2162628173828125,3.860584259033203,-1.5,0.160486102104187
410029,2f0d0fec4eb8cac9,6,96,0,0,nan,2791,0.800000011920929,3.052595794200897,12.0,53.0,1,1,-0.6376113891601562,0.5257377624511719,-0.136444091796875,-1.9131386280059814,-0.3654016852378845
410030,cab480e49c144954,6,96,4,1,0.5,2971,0.5,0.0,12.39605712890625,49.0,0,1,4.174491882324219,3.2646026611328125,3.1312103271484375,0.3965180218219757,1.313085913658142
410031,846284af60e39a7b,6,96,0,0,nan,3019,0.699999988079071,0.5,11.363308906555176,58.0,1,1,2.7532272338867188,0.3358192443847656,3.4411392211914062,-0.5,0.5836489200592041
410032,d031daa7482439f8,6,96,44,1,0.5,3145,0.5,0.0,14.472949981689453,51.0,1,1,2.2547149658203125,0.6306724548339844,2.91510009765625,0.08582233637571335,1.3500690460205078
410033,8f2ed18482a88f92,6,96,0,0,nan,3238,0.6000000238418579,4.187294006347656,8.22222900390625,49.0,0,1,-0.05820465087890625,-0.6969451904296875,1.249603271484375,-3.4321441650390625,0.7657591700553894
410034,763c3fe1199ef8f4,6,96,0,0,nan,3290,0.699999988079071,0.5,16.0,59.0,1,1,2.699981689453125,1.9218826293945312,3.1134109497070312,-0.5,0.48636260628700256
410035,eea5eb77beecedf2,6,96,1,1,0.6000000238418579,3427,0.6000000238418579,0.0,15.064088821411133,57.0,1,1,4.6604156494140625,1.0110282897949219,3.9805984497070312,0.469329833984375,0.6851487755775452
410036,8b540edf033a7522,6,96,0,0,nan,3505,0.6000000238418579,2.5,12.0,60.0,1,1,0.354736328125,1.6390876770019531,2.208362579345703,-2.5,0.09322087466716766
410037,96d15ba6226e81aa,6,96,0,0,nan,3644,0.5,11.063577890396118,7.309432029724121,47.0,0,1,-1.4555435180664062,0.19730377197265625,-2.7909088134765625,-2.960721969604492,-3.8564035892486572
410038,b09272e42425c0c9,6,96,0,0,nan,3689,0.699999988079071,0.5,12.0,58.0,1,1,4.5054168701171875,2.0311050415039062,4.9868621826171875,-0.5,0.5568586587905884
410039,f579f8f5968f8701,6,96,26,1,0.5,3817,0.5,0.0,14.0,49.0,0,1,4.704872131347656,1.8336029052734375,3.119190216064453,0.461822509765625,0.5587694048881531
410040,91ef5e4a0b689c85,6,96,0,0,nan,3913,0.5,6.171647787094116,7.455949306488037,57.0,1,1,-1.3998184204101562,-0.2702789306640625,0.5550765991210938,-3.3645706176757812,-1.1369798183441162
410041,a3f1a6c2b90d4f02,6,96,0,0,nan,4009,0.5,0.5,12.0,59.0,1,1,3.3038253784179688,0.043582916259765625,3.0992698669433594,-0.5,0.8545712232589722
410042,cd23b511879fca19,6,96,13,1,0.5,4105,0.5,0.0,11.301715850830078,56.0,1,1,3.62353515625,2.196807861328125,2.52398681640625,0.5,0.6664474010467529
410043,5e76d0e7ddd53ca5,6,96,50,1,0.5,4201,0.5,0.0,13.433188438415527,50.0,1,1,4.120018005371094,3.3752899169921875,3.2727737426757812,0.5,0.8713175654411316
410044,21663f463f814929,6,96,0,0,nan,4316,0.5,1.0110682249069214,10.220719337463379,43.0,0,1,3.4131011962890625,2.9947433471679688,3.219959259033203,-1.0110682249069214,0.360971599817276
410045,732003103ac02f71,6,96,0,0,nan,4349,0.699999988079071,0.5,12.0,50.0,1,1,2.3841552734375,3.1815109252929688,3.9982986450195312,-0.5,0.28241121768951416
410046,ee3b7d288dd6f6d5,6,96,57,1,0.5,4490,0.5,0.0,14.58853530883789,46.0,0,1,3.5487518310546875,3.343311309814453,2.80584716796875,0.39013671875,0.4272806644439697
410047,fbd80d9bd1b09ebd,6,96,0,0,nan,4516,0.800000011920929,0.5,12.0,44.0,0,1,1.1788101196289062,1.6238059997558594,3.3779296875,-0.5,0.11866704374551773
