sample_index,target_hash,k_value,candidate_count,strict_candidate_count,oracle_strict,oracle_minimum_ratio,best_candidate_index,best_candidate_ratio,best_strict_violation_db,min_target_separation_deg,max_target_theta_deg,large_scan,small_target_gap,best_margin_psll_db,best_margin_nearest_iso_db,best_margin_local20_iso_db,best_margin_mainlobe_db,best_margin_active_rl_db,oracle_source,envelope_max_scan_deg,envelope_min_separation_deg,inside_envelope
422000,1fc5ae6b29e96808,2,96,10,1,0.5,89,0.5,0.0,20.0,39.0,0,1,4.710212707519531,1.5485000610351562,3.058948516845703,0.44486236572265625,1.4423859119415283,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
422001,704fd844ef755b8e,2,96,27,1,0.5,169,0.5,0.0,18.0,23.0,0,1,8.686927795410156,1.1282272338867188,2.2246131896972656,0.4884796142578125,0.5638293623924255,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
422002,672dfc48d61748dc,2,96,1,1,0.699999988079071,231,0.699999988079071,0.0,18.0,48.0,1,1,8.504493713378906,0.4870491027832031,4.164131164550781,0.463836669921875,1.260872721672058,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
422003,1a93533e6ba3d4f1,2,96,8,1,0.5,370,0.5,0.0,20.0,35.0,0,1,8.120849609375,1.480987548828125,3.7220993041992188,0.45000457763671875,0.925990879535675,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
422004,e7acc4ff369d90eb,2,96,20,1,0.5,457,0.5,0.0,18.0,39.0,0,1,7.7543487548828125,0.33539581298828125,2.3440628051757812,0.48813629150390625,0.11897071450948715,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
422005,6f20d2889434bf44,2,96,17,1,0.5,556,0.5,0.0,20.0,34.0,0,1,7.965782165527344,2.295166015625,1.75408935546875,0.47866058349609375,0.3482486307621002,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
422006,ef0dc3e1362211d4,2,96,4,1,0.5,663,0.5,0.0,20.0,48.0,1,1,5.6595611572265625,1.456939697265625,2.739013671875,0.5,0.7781458497047424,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
422007,b2c52ad8232c5e83,2,96,5,1,0.6000000238418579,726,0.6000000238418579,0.0,18.0,48.0,1,1,4.445411682128906,0.00983428955078125,1.8108901977539062,0.46912384033203125,1.1193832159042358,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
422008,379c16f09e893a68,2,96,0,0,nan,841,0.5,1.6691665649414062,49.544647216796875,48.0,1,0,9.117759704589844,-1.6691665649414062,0.9731788635253906,0.41999053955078125,0.3813439905643463,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
422009,33d4fbcbc75fbda9,2,96,3,1,0.6000000238418579,919,0.6000000238418579,0.0,18.0,48.0,1,1,3.98297119140625,0.16717529296875,5.111915588378906,0.47308349609375,1.080484390258789,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_oracle_20260727_run01\scene_oracle.csv,48.0,16.0,1
