Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,119.459,164.46,-11415.8,2955.84
5,0,-71.4502,147.754,-11664.2,507.389
10,0,-284.063,171.976,-11603.9,-1924.32
15,0,-496.485,228.568,-11245.1,-4207.13
20,0,-688.437,305.816,-10621.4,-6218.75
25,0,-845.027,390.676,-9787.7,-7859.84
30,0,-958.509,470.669,-8815.68,-9066.5
35,0,-1027.66,535.811,-7784.97,-9818.16
40,0,-1055.51,580.11,-6771.67,-10137.8
45,0,-1046.76,602.06,-5837.25,-10083.8
50,0,-1006.1,603.888,-5021.48,-9735.9
55,0,-937.735,589.864,-4341.32,-9180.19
60,0,-845.647,564.431,-3795.22,-8496.34
65,0,-733.917,530.869,-3370.27,-7749.91
70,0,-606.492,490.881,-3049.43,-6989.13
75,0,-466.574,445.023,-2816.68,-6245.1
80,0,-316.009,393.587,-2659.24,-5533.81
85,0,-155.076,337.452,-2567.29,-4858.93
90,0,17.2174,278.627,-2531.92,-4214.98
95,0,202.5,220.369,-2542.34,-3590.64
100,0,402.293,166.945,-2583.29,-2972.67
105,0,617.328,123.112,-2633.68,-2350.35
110,0,846.897,93.4278,-2667.19,-1720.07
115,0,1088.12,81.4686,-2655.51,-1088.98
120,0,1335.09,89.1031,-2573.92,-476.132
125,0,1578.08,115.989,-2407.65,90.0829
130,0,1803.11,159.457,-2156.83,578.535
135,0,1992.57,214.806,-1836.99,963.977
140,0,2126.9,275.829,-1474,1234.28
145,0,2187.37,335.272,-1094.78,1392.68
150,0,2158.99,385.061,-717.88,1453.48
155,0,2033.01,416.464,-348.985,1433.3
160,0,1808.25,420.68,15.4727,1342.68
165,0,1491.61,390.282,378.195,1182.78
170,0,1098.07,321.354,730.144,948.965
175,0,650.226,215.479,1046,638.706
180,0,177.13,80.4993,1289.99,259.174
0,5,-875.951,421.453,-11382.8,2930.26
5,5,-1100.12,151.83,-11618.2,334.508
10,5,-1309.72,-69.7258,-11452.9,-2236.45
15,5,-1481.88,-235.019,-10910.4,-4635.91
20,5,-1599.81,-342.914,-10047.3,-6731.24
25,5,-1656.19,-399.034,-8946.23,-8418.61
30,5,-1653.83,-413.925,-7707.2,-9635.21
35,5,-1603.06,-400.163,-6434.65,-10365.8
40,5,-1517.18,-369.479,-5223.69,-10640.7
45,5,-1408,-330.923,-4147.85,-10526.3
50,5,-1283.42,-290.492,-3251.87,-10109.8
55,5,-1147.51,-251.885,-2551.22,-9483.74
60,5,-1002.2,-217.636,-2037.38,-8733.15
65,5,-848.988,-189.951,-1686.48,-7927.61
70,5,-689.715,-170.914,-1468.31,-7118.07
75,5,-526.174,-162.179,-1353.24,-6337.05
80,5,-359.264,-164.452,-1316.26,-5600.73
85,5,-188.355,-177.075,-1337.95,-4911.9
90,5,-11.2778,-197.873,-1403.13,-4263.24
95,5,175.094,-223.254,-1498.35,-3640.78
100,5,373.892,-248.499,-1608.93,-3027.87
105,5,587.181,-268.137,-1716.73,-2409.73
110,5,814.901,-276.432,-1799.75,-1778.56
