Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,1058.82,1057.45,-949.632,10659.2
5,0,1204.9,827.56,-3585.46,10232
10,0,1275.31,590.573,-6078.46,9544.05
15,0,1281.25,365.36,-8286.49,8642.9
20,0,1243.12,174.645,-10096.6,7597.7
25,0,1183.53,37.9031,-11438.2,6489.1
30,0,1121.37,-34.8085,-12288.4,5396.75
35,0,1068.6,-45.3202,-12667.7,4387.65
40,0,1030.22,-5.41647,-12629.7,3508.46
45,0,1006.36,68.0776,-12248.7,2783.28
50,0,995.222,158.682,-11607.9,2216.19
55,0,995.242,253.953,-10789.9,1796.82
60,0,1006.16,346.601,-9870.78,1506.84
65,0,1028.95,433.541,-8915.38,1325.55
70,0,1065.13,514.049,-7974.86,1233.61
75,0,1116.03,588.119,-7085.2,1214.8
80,0,1182.14,655.546,-6267.11,1256
85,0,1262.72,715.691,-5527.28,1345.93
90,0,1355.47,767.624,-4860.79,1473.26
95,0,1456.36,810.275,-4254.48,1624.52
100,0,1559.55,842.381,-3691.12,1782.36
105,0,1657.43,862.145,-3153.92,1924.96
110,0,1741.13,866.716,-2630.92,2027.27
115,0,1801.19,851.772,-2118.54,2064.76
120,0,1828.56,811.642,-1622.98,2019.18
125,0,1815.46,740.287,-1158.71,1884.94
130,0,1755.92,633.159,-743.922,1673.33
135,0,1645.84,489.397,-394.052,1411.79
140,0,1483.19,313.401,-116.339,1137.02
145,0,1268.49,114.928,91.8531,883.654
150,0,1006.31,-92.5068,239.391,673.032
155,0,707.284,-294.254,333.891,507.501
160,0,389.603,-476.945,374.505,373.311
165,0,78.8692,-629.712,349.586,250.786
170,0,-194.65,-744.084,241.526,126.512
175,0,-400.963,-813.315,37.1194,1.24696
180,0,-516.254,-832.229,-261.367,-110.337
0,5,972.024,1982.43,-1038.3,10526.5
5,5,881.491,1708.03,-3512.67,10178
10,5,727.11,1409.71,-5873.36,9649.98
15,5,537.022,1107.92,-7990.29,8972.72
20,5,344.783,828.153,-9756.84,8189.85
25,5,180.535,593.71,-11102,7353.17
30,5,64.5368,419.163,-11995.6,6514.94
35,5,4.83795,307.399,-12446.7,5720.26
40,5,-1.01763,251.017,-12496.5,5001.62
45,5,38.0941,236.762,-12207.9,4376.92
50,5,111.205,250.557,-11655.5,3850.89
55,5,208.276,281.076,-10916.6,3419.02
60,5,321.473,321.008,-10064.1,3072.29
65,5,445.155,366.426,-9161.57,2801.28
70,5,575.344,415.289,-8259.57,2598.54
75,5,709.189,466.048,-7394.41,2459.23
80,5,844.588,516.84,-6587.79,2380.1
85,5,979.842,565.294,-5847.94,2357.59
90,5,1113.2,608.74,-5171.92,2385.56
95,5,1242.31,644.512,-4548.76,2453.06
100,5,1363.68,670.168,-3963.49,2542.81
105,5,1472.42,683.485,-3401.54,2630.88
110,5,1562.49,682.219,-2853.15,2688.62
115,5,1627.28,663.733,-2316.82,2687.01
120,5,1660.59,624.741,-1800.37,2603.47
125,5,1657.23,561.469,-1319.03,2429.05
130,5,1613.12,470.493,-890.287,2173.22
135,5,1524.79,350.189,-527.4,1863.18
140,5,1388.92,202.329,-234.534,1536.37
145,5,1202.97,33.0671,-6.40149,1228.2
150,5,967.346,-147.338,166.579,960.135
155,5,688.965,-326.141,289.807,734.041
160,5,384.363,-490.427,357.393,535.93
165,5,80.3923,-629.101,351.067,347.348
170,5,-188.888,-733.773,246.908,158.313
175,5,-388.719,-798.547,27.5696,-25.1045
180,5,-491.51,-819.446,-305.367,-182.451
0,10,877.831,2892.33,-1119.07,10313.6
5,10,581.82,2588.16,-3392.37,10048.1
10,10,227.359,2258.27,-5580.17,9682.63
15,10,-142.687,1920.87,-7566.65,9231.03
20,10,-482.406,1598.59,-9253.72,8712.66
25,10,-753.653,1312.34,-10571.5,8151.06
30,10,-933.435,1075.75,-11484.2,7571.25
35,10,-1015.77,892.578,-11990.5,6996.4
40,10,-1008.46,757.89,-12119.4,6444.82
45,10,-927.261,661.825,-11923,5928.33
50,10,-790.169,593.804,-11467.2,5452.53
55,10,-613.872,545.52,-10822.7,5018.79
60,10,-412.437,511.991,-10057.7,4627.08
65,10,-197.421,490.977,-9231.94,4278.32
70,10,21.7129,481.576,-8393.29,3975.66
75,10,237.46,482.791,-7576.53,3724.13
80,10,444.35,492.611,-6803.16,3529.01
85,10,638.905,507.731,-6082.46,3393.52
90,10,819.178,523.841,-5413.5,3316.34
95,10,983.932,536.259,-4787.86,3289.43
100,10,1131.72,540.646,-4193.23,3296.61
105,10,1260.24,533.614,-3617.6,3313.69
110,10,1366.28,512.984,-3053.56,3310.67
115,10,1446.17,477.606,-2501.54,3256.68
120,10,1496.34,426.732,-1970.76,3127.04
125,10,1513.64,359.283,-1476.8,2910.77
130,10,1494.83,273.529,-1036.3,2615.45
135,10,1435.63,167.698,-660.437,2266.47
140,10,1330.13,41.5569,-350.82,1899.43
145,10,1171.9,-101.712,-100.407,1547.81
150,10,957.432,-254.512,100.001,1231.37
155,10,691.21,-405.639,252.643,950.911
160,10,390.192,-542.81,346.192,692.819
165,10,84.8812,-655.69,356.185,440.905
170,10,-184.751,-737.772,253.595,189.335
175,10,-377.878,-786.258,18.468,-50.555
180,10,-463.025,-800.426,-347.043,-253.176
0,15,776.957,3780.21,-1191.32,10022.3
5,15,313.176,3461.11,-3229.69,9840.61
10,15,-209.521,3128.28,-5207.97,9632.01
15,15,-736.248,2794.47,-7026.25,9396.33
20,15,-1210.05,2474.52,-8596.88,9131.1
25,15,-1584.75,2181.37,-9853.21,8833.91
30,15,-1833.5,1922.63,-10755.4,8504.31
35,15,-1950.65,1699.26,-11293.4,8144.66
40,15,-1947.33,1506.92,-11485.4,7759.71
45,15,-1844.03,1338.85,-11373.1,7355.55
50,15,-1663.79,1188.84,-11013.9,6938.75
55,15,-1428.15,1053.1,-10471.4,6516.3
60,15,-1155.95,930.813,-9807.14,6096.27
65,15,-863.632,823.36,-9075.51,5688.52
70,15,-565.528,732.842,-8319.96,5304.78
75,15,-273.601,660.485,-7572.26,4957.74
80,15,3.1681,605.453,-6852.68,4659.15
85,15,259.096,564.411,-6170.95,4417.46
90,15,491.431,531.906,-5527.82,4235.42
95,15,699.35,501.383,-4917.3,4108.02
100,15,882.742,466.548,-4329.72,4021.34
105,15,1041.28,422.686,-3755.64,3952.9
110,15,1174.06,367.519,-3189.79,3874.1
115,15,1279.84,301.226,-2634.28,3755.09
120,15,1357.16,225.478,-2099.23,3571.64
125,15,1404.15,141.825,-1600.29,3312.21
130,15,1417.43,50.3164,-1153.09,2982.48
135,15,1390.83,-50.6225,-767.09,2604.52
140,15,1315.03,-162.552,-442.161,2209.59
145,15,1179.58,-284.332,-170.654,1826.77
150,15,977.801,-410.114,55.1027,1472.37
155,15,713.361,-529.73,233.451,1145.76
160,15,405.767,-631.788,347.679,834.242
165,15,91.2861,-707.869,368.114,524.734
170,15,-182.625,-755.227,262.319,215.867
175,15,-368.383,-776.278,9.59047,-76.2574
180,15,-431.017,-775.314,-386.078,-321.974
0,20,670.171,4639.33,-1254.5,9654.68
5,20,81.8468,4319.44,-3030.95,9554.17
10,20,-570.754,4009.28,-4768.48,9489.51
15,20,-1223.78,3713.84,-6384.06,9449.34
20,20,-1811.06,3436.32,-7802.17,9413.16
25,20,-2278.78,3177.19,-8961.28,9356.44
30,20,-2595.53,2933.7,-9819.8,9256.46
35,20,-2754.42,2700.79,-10360.7,9096.94
40,20,-2767.96,2472.94,-10593.1,8870.33
45,20,-2659.47,2246.09,-10549.5,8577.4
50,20,-2455.21,2018.9,-10278.8,8225.5
55,20,-2179.96,1793.15,-9836.85,7826.49
60,20,-1855.98,1573.36,-9278.11,7395.33
65,20,-1503.34,1365.71,-8650.13,6949.09
70,20,-1140.22,1176.43,-7990.79,6506
75,20,-782.247,1010.05,-7327.9,6084.14
80,20,-441.457,867.95,-6679.64,5699.6
85,20,-125.712,747.756,-6055.48,5364.4
90,20,161.032,643.772,-5457.27,5084.38
95,20,417.637,548.376,-4880.97,4857.5
100,20,644.404,453.98,-4319.2,4673
105,20,841.979,355.018,-3764.72,4511.83
