Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,-542.714,659.986,14510.8,1634.53
5,0,-848.41,180.867,14576.2,-107.573
10,0,-1137.74,-301.707,14242.1,-1784.56
15,0,-1400.11,-745.885,13537.6,-3298.5
20,0,-1627.09,-1114.58,12517.6,-4568.74
25,0,-1810.11,-1381.99,11255.4,-5539.55
30,0,-1939.72,-1537.54,9833.55,-6183.89
35,0,-2007.22,-1585.94,8335.46,-6503.09
40,0,-2007.6,-1543.38,6838.47,-6523.09
45,0,-1942.24,-1431.61,5408.8,-6288.42
50,0,-1819.95,-1272.06,4098.23,-5855.07
55,0,-1655.54,-1081.85,2942.34,-5283.41
60,0,-1466.81,-872.564,1960.18,-4631.72
65,0,-1271.01,-651.038,1155.5,-3951.1
70,0,-1082.27,-421.055,519.397,-3282.06
75,0,-910.342,-184.951,34.0326,-2653.08
80,0,-760.72,55.4082,-323.317,-2081.11
85,0,-635.509,298.192,-576.542,-1573.42
90,0,-534.514,541.395,-747.847,-1130.05
95,0,-456.143,782.56,-855.877,-746.266
100,0,-397.958,1018.37,-914.739,-414.435
105,0,-356.836,1244.27,-933.724,-125.415
110,0,-328.834,1454.32,-917.714,130.353
115,0,-308.953,1641.58,-868.353,361.64
120,0,-291.099,1798.82,-786.117,574.889
125,0,-268.544,1919.28,-673.069,772.518
130,0,-235.031,1997.03,-535.633,951.707
135,0,-186.332,2026.6,-386.253,1104.52
140,0,-121.729,2002.29,-242.78,1219.86
145,0,-44.7377,1917.79,-125.094,1286.94
150,0,37.3719,1767.09,-49.6621,1299.02
155,0,115.151,1546.95,-23.9041,1255.72
160,0,179.024,1260.38,-42.6813,1163.06
165,0,220.995,919.524,-88.6032,1031.47
170,0,235.482,546.373,-136.398,873.413
175,0,219.312,170.477,-159.977,701.865
180,0,171.334,-175.975,-139.714,530.163
0,5,724.051,799.933,14502.9,1570.79
5,5,430.146,142.933,14582.2,-372.118
10,5,108.627,-500.588,14203,-2239.49
15,5,-223.864,-1076.21,13405.4,-3911.94
20,5,-549.608,-1539,12261.6,-5292.75
25,5,-849.204,-1860.86,10864.6,-6317.23
30,5,-1102.71,-2033.98,9315.43,-6956.8
35,5,-1292.64,-2069.4,7712.45,-7217.92
40,5,-1407.62,-1991.52,6142.32,-7136.63
45,5,-1445.12,-1830.52,4674.94,-6770.41
50,5,-1411.95,-1615.51,3360.9,-6188.88
55,5,-1322.34,-1370.16,2231.1,-5464.88
60,5,-1194.52,-1111.33,1297.9,-4666.96
65,5,-1047.01,-849.639,557.609,-3853.75
70,5,-895.827,-591.178,-5.86514,-3070.64
75,5,-752.925,-339.002,-416.678,-2348.8
80,5,-625.977,-94.2974,-702.601,-1706.2
85,5,-518.943,142.852,-891.188,-1150.04
90,5,-432.982,372.847,-1006.93,-679.671
95,5,-367.355,595.954,-1069.51,-289.342
100,5,-320.074,811.686,-1092.84,29.7125
105,5,-288.241,1018.3,-1084.91,287.944
110,5,-268.115,1212.57,-1048.25,496.559
115,5,-255.068,1389.97,-981.294,666.562
120,5,-243.65,1545.07,-880.943,807.484
125,5,-227.977,1672.09,-746.064,925.859
130,5,-202.569,1765.03,-581.16,1024
135,5,-163.523,1817.35,-398.756,1099.81
140,5,-109.693,1821.4,-218.987,1148.13
145,5,-43.3925,1768.29,-65.6981,1163.37
150,5,29.7486,1648.93,40.0914,1142.48
155,5,101.81,1456.93,86.9888,1086.76
160,5,164.131,1192.55,77.4009,1001.7
165,5,208.773,866.323,27.1636,895.048
170,5,229.43,500.371,-39.3153,774.338
175,5,221.672,126.07,-96.4159,645.44
180,5,182.859,-221.512,-124.249,512.808
0,10,1985.31,933.793,14384.6,1495.1
5,10,1704.68,66.3913,14474.6,-614.934
10,10,1341.71,-768.899,14053.5,-2642.54
15,10,921.919,-1500.56,13171.5,-4449.12
20,10,476.447,-2073.02,11916.7,-5923.33
25,10,39.7864,-2455.14,10400.4,-6992.15
30,10,-354.24,-2643.05,8741.34,-7625.7
35,10,-677.551,-2656.41,7051.51,-7835.54
40,10,-912.239,-2530.15,5425.55,-7667.53
45,10,-1052.78,-2304.89,3935.55,-7191.22
50,10,-1105.42,-2018.93,2629.57,-6488.23
55,10,-1085.27,-1703.73,1532.98,-5641.62
60,10,-1012.21,-1382.5,651.391,-4727.64
65,10,-906.953,-1070.75,-25.5977,-3810.24
70,10,-788.009,-777.641,-520.023,-2938.27
75,10,-669.897,-507.298,-860.915,-2145.05
80,10,-562.526,-260.063,-1079.82,-1449.76
85,10,-471.483,-33.6559,-1207.01,-860.016
90,10,-398.834,175.65,-1268.67,-374.861
95,10,-344.099,371.923,-1285.18,12.4162
100,10,-305.116,558.645,-1270.3,312.155
105,10,-278.701,738.065,-1231.02,536.856
110,10,-261.065,910.835,-1168.16,700.125
115,10,-248.083,1075.9,-1078.02,815.639
120,10,-235.493,1230.49,-955.164,895.857
125,10,-219.103,1370.14,-796.363,950.602
130,10,-195.119,1488.48,-604.776,985.974
135,10,-160.641,1576.87,-392.836,1004.18
140,10,-114.346,1624.12,-182.075,1004.59
145,10,-57.1657,1616.82,0.987645,985.792
150,10,7.35863,1541.01,132.019,947.709
155,10,73.3811,1385.61,196.457,892.768
160,10,133.746,1147.17,194.206,825.48
165,10,181.298,834.472,139.331,750.582
170,10,209.93,470.537,54.9741,670.802
175,10,214.964,90.3997,-34.064,585.568
180,10,192.992,-265.364,-107.839,491.551
0,15,3231.45,1060.55,14156.8,1408.02
5,15,2965.18,-43.5332,14254.9,-830.145
10,15,2552.52,-1096.26,13798.8,-2982.81
15,15,2030.22,-2005.2,12846.7,-4895.74
20,15,1446.37,-2701.59,11500.2,-6445.2
25,15,854.378,-3150.57,9886.65,-7550.93
30,15,304.976,-3352.98,8140.09,-8181.84
35,15,-161.548,-3338.86,6384.17,-8354.08
40,15,-520.576,-3155.65,4719.95,-8122.24
45,15,-764.447,-2855.89,3220.3,-7566.31
50,15,-900.146,-2488.15,1929.84,-6777.58
55,15,-944.872,-2092.39,868.152,-5846.55
60,15,-921.155,-1698.81,34.6311,-4854.35
65,15,-852.594,-1328.37,-586.571,-3867.88
70,15,-760.674,-993.784,-1021.7,-2937.88
75,15,-662.718,-700.536,-1302.85,-2099.15
80,15,-570.931,-448.103,-1463.75,-1372.06
85,15,-492.407,-231.561,-1536.15,-764.962
90,15,-429.837,-43.3765,-1547.16,-276.877
95,15,-382.622,124.919,-1517.53,99.8711
100,15,-348.05,281.415,-1460.86,377.49
105,15,-322.382,432.955,-1383.69,571.01
110,15,-301.731,584.597,-1286.21,696.862
115,15,-282.694,739.188,-1164.06,771.45
120,15,-262.651,896.905,-1011.17,809.658
125,15,-239.679,1054.68,-823.706,823.462
130,15,-212.177,1205.56,-604.354,821.13
135,15,-178.537,1338.3,-365.388,807.378
140,15,-137.272,1437.31,-128.78,784.496
145,15,-87.7398,1483.61,77.7482,753.949
150,15,-31.1167,1457.24,228.014,717.713
155,15,29.1181,1341.48,305.302,678.673
160,15,87.6841,1128.65,307.451,639.881
165,15,138.793,825.725,246.747,602.93
170,15,177.39,457.324,144.908,566.191
175,15,199.508,63.6228,25.8048,523.841
180,15,201.656,-307.195,-90.6085,466.552
0,20,4453,1179.23,13821.3,1310.23
5,20,4201.96,-180.711,13925.3,-1012.94
10,20,3733.32,-1470.59,13444.2,-3251.36
15,20,3096.62,-2574.28,12441.6,-5239.72
20,20,2359.55,-3407.78,11028.9,-6845
25,20,1597.39,-3931.6,9345.82,-7981.06
30,20,880.262,-4151.67,7538.56,-8615.6
35,20,262.01,-4109.45,5739.95,-8768.28
40,20,-225.84,-3866.12,4055.63,-8500.65
45,20,-574.123,-3487.15,2558.26,-7900.75
50,20,-791.508,-3031.97,1288.65,-7066.83
55,20,-898.173,-2549.29,260.948,-6093.9
60,20,-919.917,-2076.42,-530.713,-5065.25
65,20,-883.596,-1639.89,-1106.16,-4048.46
70,20,-813.871,-1256.1,-1494.11,-3094.58
75,20,-730.987,-932.05,-1727.94,-2238.91
80,20,-649.523,-666.515,-1841.93,-1502.59
85,20,-578.126,-452.05,-1868.05,-894.599
90,20,-520.138,-277.356,-1833.44,-413.981
95,20,-474.85,-129.557,-1758.78,-52.1505
100,20,-439.04,4.05913,-1657.68,204.925
105,20,-408.519,134.888,-1536.85,374.734
110,20,-379.501,272.244,-1397.04,476.304
115,20,-349.562,422.663,-1234.79,528.292
120,20,-317.967,589.033,-1045.06,547.16
125,20,-285.187,769.539,-824.861,545.832
130,20,-251.775,956.633,-577.18,533.254
135,20,-217.231,1136.42,-314.083,515.055
140,20,-179.671,1288.85,-57.1124,494.907
145,20,-136.709,1389.22,166.166,475.86
150,20,-87.0843,1411.28,329.088,460.901
155,20,-31.8776,1332.41,413.798,452.581
160,20,25.6518,1140.52,416.593,451.988
165,20,81.4967,840.967,348.183,457.549
170,20,132.359,460.552,228.955,463.994
175,20,175.794,45.6036,81.9763,461.837
180,20,208.786,-346.689,-72.6882,438.003
0,25,5640.66,1288.93,13380.6,1202.47
5,25,5405.69,-338.305,13488.8,-1159.71
10,25,4877.54,-1878.45,12995.2,-3441.38
15,25,4119.06,-3190.13,11965.8,-5471.49
20,25,3219.06,-4172.65,10517.4,-7111.37
25,25,2276.54,-4780.92,8797.52,-8270.66
30,25,1382.67,-5025.61,6960.43,-8915.72
35,25,605.921,-4959.79,5145.15,-9068.25
40,25,-15.0183,-4658.77,3460.15,-8794.33
45,25,-469.773,-4201.35,1977.27,-8187.22
50,25,-769.206,-3657.91,733.758,-7349.07
55,25,-936.909,-3085.78,-260.736,-6376.64
60,25,-1002.15,-2529.11,-1016.07,-5352.94
65,25,-995.037,-2019.69,-1554.64,-4344.25
70,25,-943.316,-1577.52,-1906.18,-3400.4
75,25,-870.103,-1211.22,-2103.96,-2556.05
80,25,-792.44,-919.285,-2181.53,-1832.34
85,25,-720.79,-692.274,-2170.02,-1238.4
90,25,-659.549,-515.742,-2095.8,-773.171
95,25,-608.398,-373.012,-1979.19,-427.355
100,25,-564.138,-247.365,-1833.89,-185.554
105,25,-522.647,-123.496,-1667.4,-28.5064
110,25,-480.642,11.4847,-1481.96,64.5817
115,25,-436.882,167.137,-1276.17,113.678
120,25,-392.422,348.545,-1047.21,135.836
125,25,-349.729,554.921,-793.871,143.885
130,25,-310.912,778.235,-519.965,146.369
135,25,-275.974,1002.39,-237.263,148.674
140,25,-242.213,1203.46,33.7534,154.674
145,25,-205.364,1351.54,266.655,167.821
150,25,-161.843,1414.54,435.324,191.037
155,25,-110.514,1364.32,521.578,225.657
160,25,-52.6616,1184.76,520.727,270.296
165,25,9.71279,879.964,442.27,320.299
170,25,75.5494,479.354,305.601,367.666
175,25,144.481,35.9234,133.316,401.054
180,25,214.327,-383.544,-54.2147,406.121
0,30,6785.4,1388.83,12838.1,1085.55
5,30,6567.46,-508.992,12949,-1268.16
10,30,5979.55,-2305.35,12457.2,-3548.45
15,30,5097.43,-3833.45,11427.6,-5584.23
20,30,4031.05,-4975.18,9977.67,-7235.16
25,30,2903.71,-5678.78,8257.51,-8408.58
30,30,1828.4,-5958.58,6424.83,-9069.34
35,30,888.857,-5878.45,4621.53,-9239.4
40,30,131.301,-5527.36,2957.14,-8986.58
45,30,-432.581,-4997.07,1502.39,-8406.13
50,30,-815.877,-4368.6,291.806,-7601.08
55,30,-1045.55,-3707.46,-668.152,-6667.28
60,30,-1154.14,-3064.04,-1389.86,-5685.34
65,30,-1174.65,-2474.94,-1896.96,-4718.68
70,30,-1137.55,-1963.5,-2219.15,-3814.54
75,30,-1068.63,-1540.25,-2388.73,-3005.93
80,30,-987.507,-1204.02,-2437.82,-2313.08
85,30,-906.918,-944.37,-2396.07,-1744.83
90,30,-833.09,-744.827,-2288.76,-1299.9
95,30,-767.045,-586.065,-2135.61,-968.651
100,30,-706.577,-448.451,-1950.55,-735.106
105,30,-648.443,-313.81,-1742.14,-579.275
110,30,-590.357,-166.626,-1514.55,-479.752
115,30,-532.295,4.86963,-1268.86,-416.335
120,30,-476.652,207.392,-1004.88,-372.282
125,30,-427.037,440.984,-723.446,-335.556
130,30,-386.094,697.383,-429.321,-298.621
135,30,-353.432,958.935,-133.906,-256.966
140,30,-325.005,1198.77,143.679,-207.325
145,30,-294.574,1382.81,378.62,-146.822
150,30,-256.446,1474.15,545.907,-73.6328
155,30,-207.581,1440.08,627.593,11.497
160,30,-147.479,1261.25,618.511,104.267
165,30,-76.1236,941.161,527.459,197.158
170,30,7.84988,512.162,373.355,280.472
175,30,106.382,33.8989,178.787,342.861
180,30,218.236,-417.481,-35.3286,371.147
0,35,7878.49,1478.16,12197.8,960.38
5,35,7678.73,-685.199,12310.1,-1337.37
10,35,7034.51,-2736.14,11835.1,-3570.74
15,35,6032.99,-4483.68,10833.3,-5574.22
20,35,4803.9,-5792.3,9418.1,-7209.94
25,35,3494.04,-6602.47,7736.66,-8385.03
30,35,2237.91,-6930.49,5945.17,-9062.78
35,35,1134.72,-6849.25,4184.88,-9263.53
40,35,238.7,-6459.95,2564.65,-9053.91
45,35,-436.664,-5866.35,1153.95,-8527.87
