Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,229.809,170.89,-11875.7,98.9728
5,0,32.0936,87.3397,-11495.9,-2293.53
10,0,-194.669,44.4513,-10822.6,-4598.13
15,0,-425.892,39.1997,-9898.87,-6691.52
20,0,-637.562,64.5589,-8788.34,-8465.36
25,0,-810.846,110.497,-7569.77,-9838.49
30,0,-934.761,165.511,-6328.76,-10767.6
35,0,-1006.29,218.735,-5147.1,-11252.3
40,0,-1028.44,262.058,-4091.66,-11332.6
45,0,-1007.42,291.409,-3206.15,-11077.8
50,0,-950.236,306.658,-2508.21,-10572.1
55,0,-863.336,310.263,-1992.43,-9899.76
60,0,-752.224,305.404,-1637.51,-9134.52
65,0,-621.484,294.475,-1414.93,-8334.46
70,0,-474.761,278.513,-1296.41,-7540.67
75,0,-314.593,257.547,-1258.64,-6778.76
80,0,-142.281,231.493,-1284.95,-6061.22
85,0,41.9703,201.047,-1364.38,-5389.93
90,0,238.591,168.235,-1489.08,-4758.47
95,0,447.989,136.512,-1650.94,-4154.49
100,0,669.877,110.466,-1838.28,-3562.73
105,0,902.73,95.2396,-2033.47,-2968.79
110,0,1143.34,95.7227,-2212.42,-2363.56
115,0,1386.4,115.616,-2346.72,-1747.36
120,0,1624.05,156.489,-2408.41,-1132.43
125,0,1845.42,217.071,-2376.65,-542.096
130,0,2036.58,293.046,-2243.83,-5.95122
135,0,2181.09,377.456,-2018.31,447.896
140,0,2261.57,461.571,-1721.69,800.797
145,0,2262.22,535.833,-1380.97,1048.1
150,0,2171.56,590.51,-1018.82,1197.89
155,0,1984.84,616.08,-647.193,1264.34
160,0,1705.31,603.779,-268.025,1259.23
165,0,1344.49,546.857,118.877,1186.13
170,0,921.501,442.578,505.571,1040.39
175,0,461.832,294.248,870.172,814.78
180,0,-4.54369,112.114,1180.19,507.663
0,5,-806.103,178.866,-11850.6,83.7022
5,5,-970.956,-153.713,-11424.7,-2452.1
10,5,-1131.74,-430.295,-10618.4,-4867.39
15,5,-1267.47,-637.432,-9491,-7028.29
20,5,-1360.93,-770.414,-8130.36,-8822.42
25,5,-1402.49,-833.757,-6642.93,-10171.4
30,5,-1391.74,-839.567,-5141.12,-11040.4
35,5,-1335.9,-804.093,-3729.33,-11440.5
40,5,-1246.18,-743.686,-2491.03,-11423.9
45,5,-1133.54,-671.67,-1479.75,-11071.3
50,5,-1005.88,-597.053,-716.386,-10475.4
55,5,-867.519,-525.058,-192.808,-9726.99
60,5,-720.205,-458.625,119.917,-8903.37
65,5,-564.675,-399.841,261.491,-8063.81
70,5,-401.561,-350.625,273.27,-7248.64
75,5,-231.439,-312.595,191.778,-6481.2
80,5,-54.3999,-286.483,45.4566,-5770.81
85,5,130.3,-271.569,-145.655,-5115.84
90,5,324.143,-265.404,-368.03,-4506.31
95,5,528.793,-263.921,-611.465,-3926.57
100,5,745.236,-261.808,-865.451,-3358.24
105,5,972.846,-253.077,-1116.02,-2783.97
110,5,1208.53,-231.755,-1344.05,-2191.96
115,5,1446.11,-192.703,-1525.97,-1580.58
120,5,1676.07,-132.532,-1637.22,-961.562
125,5,1885.85,-50.4843,-1658.1,-359.98
130,5,2060.8,50.9116,-1579.99,190.157
135,5,2185.58,165.605,-1409.2,654.317
140,5,2245.73,284.289,-1165.93,1007.11
145,5,2229.08,395.073,-877.827,1239.22
150,5,2126.71,484.47,-570.579,1358.09
155,5,1933.83,538.749,-260.279,1382.01
160,5,1650.8,545.897,48.0409,1330.56
165,5,1284.81,498.281,354.699,1216.53
170,5,851.611,395.482,656.017,1043.54
175,5,376.442,246.12,937.61,809.789
180,5,-107.387,67.4419,1175.31,515.503
0,10,-1835.88,185.48,-11735.2,67.7945
5,10,-1959.43,-416.724,-11270,-2565.58
10,10,-2029.61,-941.076,-10345.9,-5047.99
15,10,-2032.57,-1356.34,-9037.68,-7237.78
20,10,-1963.13,-1646.16,-7455.6,-9020.82
25,10,-1826.8,-1810.71,-5730.92,-10323.2
30,10,-1639.24,-1864.37,-3999.45,-11119.1
35,10,-1422.4,-1830.52,-2384.91,-11431.4
40,10,-1198.55,-1735.42,-984.556,-11323.3
45,10,-984.606,-1603.21,139.927,-10884.8
50,10,-789.032,-1453.32,964.871,-10215.5
55,10,-612.334,-1300.08,1500.36,-9409.74
60,10,-450.01,-1153.57,1781.24,-8546.63
65,10,-296.014,-1020.71,1856.19,-7685.29
70,10,-145.099,-905.995,1777.4,-6864.52
75,10,6.49098,-811.755,1592.73,-6105.18
80,10,161.475,-738.205,1341.11,-5413.62
85,10,322.273,-683.558,1051.04,-4785.03
90,10,491.38,-644.285,741.617,-4206.48
95,10,671.155,-615.513,425.411,-3659.65
100,10,863.09,-591.448,112.1,-3123.67
105,10,1066.81,-565.782,-187.789,-2578.77
110,10,1279.06,-532.095,-460.159,-2010.69
115,10,1492.95,-484.303,-686.619,-1415.58
120,10,1697.93,-417.272,-846.517,-803.872
125,10,1880.57,-327.635,-921.65,-201.197
130,10,2026.29,-214.803,-902.312,355.342
135,10,2121.41,-81.994,-792.082,825.776
140,10,2154.76,62.9795,-608.574,1178.34
145,10,2118.14,207.494,-378.739,1398.59
150,10,2005.59,334.836,-130.216,1492.28
155,10,1812.64,426.211,117.13,1480.36
160,10,1536.77,464.232,354.797,1388.76
165,10,1180.03,437.512,582.284,1238.44
170,10,753.072,345.104,799.08,1040.85
175,10,278.473,198.879,997.496,800.108
180,10,-209.413,22.2562,1161.47,519.419
0,15,-2851.69,190.683,-11530.6,51.3708
5,15,-2927.11,-693.568,-11035.3,-2631.29
10,15,-2885.99,-1472.36,-10015.4,-5136.7
15,15,-2724.92,-2095.99,-8559.76,-7318.5
20,15,-2455.3,-2536.95,-6797.63,-9062.98
25,15,-2102.76,-2792.34,-4880.7,-10301.8
30,15,-1703.57,-2880.41,-2963.46,-11018.4
35,15,-1297.89,-2833.16,-1184.49,-11246.4
40,15,-921.31,-2687.99,348.662,-11058.7
45,15,-597.602,-2480.96,1568.56,-10552.2
50,15,-335.627,-2243.01,2449.64,-9830.56
55,15,-131.053,-1998.53,3003.32,-8989.55
60,15,28.5907,-1765.44,3268.46,-8107.92
65,15,158.264,-1555.73,3299.77,-7243.3
70,15,271.377,-1376.11,3156.92,-6432.33
75,15,378.123,-1228.86,2895.86,-5693.34
80,15,485.644,-1112.69,2563.28,-5029.95
85,15,598.972,-1023.89,2194.29,-4434.81
90,15,721.866,-957.263,1812.76,-3892.72
95,15,857.091,-906.924,1433.64,-3383.49
100,15,1006.1,-866.766,1066.52,-2884.65
105,15,1168.25,-830.624,719.633,-2374.77
110,15,1339.92,-792.215,403.292,-1837.68
115,15,1513.77,-745.024,131.706,-1267.43
120,15,1678.8,-682.359,-77.7477,-672.682
125,15,1821.47,-597.883,-208.175,-78.55
130,15,1927.91,-486.855,-248.854,476.279
135,15,1986.46,-348.056,-200.688,947.93
140,15,1989.31,-185.975,-78.4669,1299.31
145,15,1932.17,-12.4431,92.1119,1511.13
150,15,1812.2,153.297,282.165,1586.72
155,15,1625.54,286.94,468.551,1548.2
160,15,1366.92,364.143,639.248,1425.96
165,15,1032.8,367.406,792.232,1247.39
170,15,627.459,292.708,929.002,1030.67
175,15,168.821,153.067,1047.4,785.658
180,15,-309.845,-23.0989,1138.8,519.383
0,20,-3845.79,194.435,-11238.1,34.5562
5,20,-3868.45,-975.85,-10723.9,-2648.01
10,20,-3700.89,-2008.57,-9636.13,-5132.97
15,20,-3352.89,-2835.54,-8075.13,-7272.52
20,20,-2855.95,-3418.88,-6184.72,-8955.32
25,20,-2259.41,-3753.88,-4131.41,-10119.2
30,20,-1623.34,-3864,-2082.69,-10756.3
35,20,-1008.44,-3791,-186.896,-10909.3
40,20,-464.958,-3584.18,1442.17,-10658.8
45,20,-24.1179,-3292.13,2733.9,-10106.3
50,20,304.843,-2957.7,3661.98,-9356.51
55,20,531.482,-2615.71,4238.72,-8504.35
60,20,676.934,-2292.15,4505.06,-7626.25
65,20,766.091,-2004.08,4518.71,-6777.15
70,20,821.822,-1760.23,4343,-5991
75,20,862.185,-1562.41,4038,-5283.6
80,20,900.092,-1407.39,3654.65,-4656.29
85,20,944.237,-1289.05,3232.02,-4099.75
90,20,1000.27,-1200.16,2797.21,-3597.3
95,20,1071.6,-1133.67,2367.29,-3127.72
