Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,-23.5199,-16.2898,2099.98,15561.4
5,0,-139.386,18.3827,4023.79,15128.4
10,0,-287.132,33.4827,5776.77,14325.6
15,0,-450.303,30.6051,7266.66,13202.1
20,0,-610.423,12.824,8421.31,11829.6
25,0,-750.96,-16.0557,9196.94,10293.2
30,0,-860.978,-52.2191,9582.38,8680.97
35,0,-936.859,-92.2443,9597.87,7074.55
40,0,-981.277,-133.167,9289.26,5543.18
45,0,-1000.06,-172.442,8719.47,4140.98
50,0,-998.65,-208.051,7959.32,2906.26
55,0,-979.893,-238.802,7079.61,1861.85
60,0,-943.765,-264.608,6144.91,1015.78
65,0,-888.643,-286.495,5209.33,362.573
70,0,-812.969,-306.274,4313.96,-114.426
75,0,-716.366,-326.03,3486.11,-439.764
80,0,-599.858,-347.678,2740.13,-642.12
85,0,-465.419,-372.772,2079.37,-750.855
90,0,-315.365,-402.521,1498.98,-793.434
95,0,-152.006,-437.886,988.818,-793.833
100,0,22.2563,-479.573,536.072,-771.658
105,0,204.497,-527.812,127.766,-741.608
110,0,390.729,-581.978,-246.925,-713.175
115,0,575.544,-640.176,-594.341,-690.818
120,0,752.055,-699.006,-914.262,-675.112
125,0,912.126,-753.667,-1198.71,-665.18
130,0,1046.72,-798.423,-1432.41,-661.98
135,0,1146.18,-827.252,-1595.47,-671.094
140,0,1200.53,-834.4,-1667.87,-703.058
145,0,1199.89,-814.654,-1634.74,-769.766
150,0,1135.42,-763.435,-1490.82,-877.375
155,0,1001.03,-677.093,-1243.11,-1018.63
160,0,795.42,-553.753,-911.273,-1169.16
165,0,524.1,-394.612,-525.935,-1291.28
170,0,200.248,-205.115,-125.021,-1345.28
175,0,-155.95,4.77429,251.9,-1303.52
180,0,-519.603,221.639,570.652,-1160.33
0,5,159.595,1340.04,2094.04,15503.6
5,5,212.145,1338.5,3793.24,15150.4
10,5,217.878,1296.98,5356.69,14486.5
15,5,186.528,1220.42,6709.39,13541.3
20,5,132.584,1115.35,7789.03,12362.9
25,5,70.7518,988.669,8553.81,11012.6
30,5,11.3626,847.046,8987.3,9557.75
35,5,-41.9021,696.977,9099.06,8065
