Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,175.766,157.628,-11783.5,1572.22
5,0,-22.0685,109.019,-11717,-881.047
10,0,-245.156,101.709,-11346,-3281.72
15,0,-469.991,129.63,-10697.3,-5500.34
20,0,-674.212,183.078,-9820.26,-7419.91
25,0,-840.839,250.197,-8782.42,-8948.83
30,0,-960.501,318.77,-7663.44,-10032.6
35,0,-1031.18,378.28,-6545.02,-10660.6
40,0,-1056.05,421.723,-5499.52,-10864.5
45,0,-1040.74,446.46,-4580.11,-10709.2
50,0,-991.23,453.73,-3815.73,-10277.6
55,0,-912.932,447.068,-3212.11,-9656.13
60,0,-810.626,430.392,-2757.55,-8922.45
65,0,-688.646,406.577,-2430.98,-8139.25
70,0,-550.788,376.972,-2209.42,-7351.8
75,0,-399.923,341.829,-2072.91,-6588.86
80,0,-237.629,301.213,-2006.58,-5864.94
85,0,-64.1512,255.899,-1999.97,-5182.91
90,0,121.228,207.932,-2044.67,-4536.77
95,0,319.54,160.736,-2131.19,-3914.61
100,0,531.429,118.847,-2245.97,-3302
105,0,756.53,87.3555,-2369.47,-2686.25
110,0,992.913,71.1556,-2476.23,-2060.89
115,0,1236.5,74.0644,-2537.55,-1429.69
120,0,1480.4,97.9641,-2526.77,-808.509
125,0,1714.25,142.173,-2425.86,-223.515
130,0,1924.03,203.264,-2231.01,294.508
135,0,2092.58,275.406,-1954.34,718.514
140,0,2201.31,351.069,-1619.93,1032.9
145,0,2232.84,421.735,-1255.17,1236.98
150,0,2173.86,478.339,-880.979,1342.2
155,0,2017.57,511.541,-506.304,1364.32
160,0,1765,512.284,-130.25,1314.87
165,0,1425.38,473.153,248.778,1196.42
170,0,1015.77,390.475,622.315,1004.33
175,0,560.293,266.382,966.538,733.605
180,0,88.5459,109.686,1246.87,386.819
0,5,-851.903,294.057,-11754,1552.5
5,5,-1049.96,-8.94804,-11658.1,-1047.48
10,5,-1238.16,-259.309,-11166.8,-3574.46
15,5,-1394.31,-446.238,-10322.1,-5886.27
20,5,-1501.22,-566.966,-9196.94,-7858.66
25,5,-1550.4,-626.782,-7887.31,-9399.14
30,5,-1543.15,-637.222,-6500.68,-10458
35,5,-1488.51,-612.846,-5142.84,-11033
40,5,-1399.03,-567.743,-3904.2,-11166
45,5,-1286.34,-513.069,-2849.07,-10931.2
50,5,-1158.55,-456.252,-2010.61,-10419.9
55,5,-1019.92,-401.688,-1392.41,-9724.93
60,5,-872.273,-352.095,-975.424,-8928.45
65,5,-716.693,-309.651,-727.355,-8095.76
70,5,-554.363,-276.424,-611.885,-7273.13
75,5,-386.441,-254.123,-595.489,-6488.89
80,5,-213.407,-243.522,-651.095,-5756.02
85,5,-34.5631,-243.945,-758.743,-5075.2
90,5,151.934,-253.049,-903.966,-4437.74
95,5,348.506,-266.925,-1074.85,-3828.7
100,5,557.25,-280.434,-1258.72,-3230.36
105,5,778.918,-287.68,-1439.41,-2626.49
110,5,1011.95,-282.611,-1596.18,-2007.15
115,5,1251.68,-259.749,-1705,-1373.33
120,5,1489.86,-215.064,-1742.59,-739.773
125,5,1714.72,-146.909,-1692.3,-134.237
130,5,1911.74,-56.8179,-1549.89,407.831
135,5,2064.97,50.0622,-1326.17,852.38
140,5,2158.66,165.067,-1044.63,1176.47
145,5,2178.71,276.639,-733.788,1374.42
150,5,2113.83,371.391,-417.547,1457.13
155,5,1956.47,435.617,-108.386,1444.9
160,5,1704.08,457.336,192.544,1357.47
165,5,1361.15,428.863,488.125,1206.7
170,5,941.479,349.378,775.123,995.704
175,5,469.591,226.462,1037.76,723.966
180,5,-20.4631,75.5547,1249.84,394.907
0,10,-1873.09,428.247,-11635,1520.96
5,10,-2065.24,-150.397,-11510.5,-1178.95
10,10,-2195.4,-660.809,-10908.3,-3786.53
15,10,-2246.13,-1073.55,-9885.27,-6149.79
20,10,-2210.68,-1372.73,-8536.73,-8139.76
25,10,-2095.15,-1557.43,-6984.03,-9665.08
30,10,-1917.26,-1639.42,-5359.31,-10682.1
35,10,-1701.74,-1638.47,-3789.07,-11197.4
40,10,-1473.57,-1577.04,-2378.86,-11262.1
45,10,-1251.79,-1476.23,-1202.15,-10958.6
50,10,-1046.43,-1353.73,-295.544,-10384.1
55,10,-859.138,-1223.49,338.987,-9635.33
60,10,-686.414,-1096.19,726.402,-8796.72
65,10,-523.165,-979.789,908.123,-7934.54
70,10,-365.022,-879.75,931.622,-7094.95
75,10,-208.893,-799.113,842.169,-6305.39
80,10,-52.378,-738.541,677.739,-5577.33
85,10,107.04,-696.53,467.137,-4909.54
90,10,272.372,-669.786,230.756,-4291.2
95,10,446.866,-653.654,-16.8762,-3705.05
100,10,633.226,-642.515,-263.685,-3130.79
105,10,832.545,-630.114,-496.749,-2549.24
110,10,1043.19,-609.831,-700.126,-1947.2
115,10,1259.96,-575.061,-854.793,-1322.58
120,10,1473.77,-519.814,-941.253,-688.17
125,10,1672.34,-439.68,-944.467,-72.0413
130,10,1841.62,-333.099,-859.459,487.023
135,10,1967.72,-202.681,-694.969,948.9
140,10,2038.39,-56.1634,-472.6,1283.52
145,10,2043.46,93.477,-220.726,1479.57
150,10,1974.14,229.085,34.6771,1546.19
155,10,1822.38,331.749,277.762,1506.69
160,10,1581.82,384.474,504.718,1387.58
165,10,1251.01,376.555,718.586,1209.08
170,10,838.389,307.42,920.182,981.812
175,10,366.243,188.34,1101.04,710.303
180,10,-129.316,40.8488,1243.31,399.989
0,15,-2880.02,559.178,-11427.5,1477.85
5,15,-3060.68,-307.935,-11277.3,-1272.41
10,15,-3112.65,-1087.45,-10580.5,-3913.47
15,15,-3026.44,-1730.13,-9407.83,-6286.77
20,15,-2810.49,-2206.83,-7873.69,-8261.27
25,15,-2490.59,-2510.98,-6120.71,-9748.46
30,15,-2105.6,-2655.58,-4300.93,-10711.5
35,15,-1699.63,-2666.62,-2557.01,-11165.6
40,15,-1312.4,-2575.88,-1005.88,-11170.2
45,15,-971.408,-2415.42,272.493,-10813.6
50,15,-688.562,-2214.3,1239.31,-10196.6
55,15,-461.988,-1997.15,1893.93,-9417.2
60,15,-281.217,-1783.5,2265.49,-8559.96
65,15,-132.877,-1587.56,2401.78,-7690.26
70,15,-4.68919,-1418.1,2358.08,-6853.06
75,15,112.928,-1278.99,2188.13,-6074.31
80,15,227.031,-1170.01,1938.06,-5363.9
85,15,343.028,-1088.08,1643.62,-4718.97
90,15,465.422,-1028.41,1330.23,-4127.17
95,15,598,-985.358,1014.97,-3569.75
100,15,743.452,-952.94,709.973,-3024.84
105,15,902.574,-924.933,425.966,-2471.26
110,15,1073.31,-894.738,175.244,-1893.34
115,15,1249.98,-855.195,-27.1607,-1286.24
120,15,1423.27,-798.671,-164.846,-660.434
125,15,1581.11,-717.775,-224.01,-43.2502
130,15,1710.75,-606.923,-198.821,524.732
135,15,1800.94,-464.619,-95.7536,998.905
140,15,1843.32,-295.792,65.8299,1343.16
145,15,1831.81,-113.232,258.288,1540.77
150,15,1760.35,62.904,454.161,1598.32
155,15,1620.7,208.081,634.496,1540.53
160,15,1402.57,298.733,792.481,1398.85
165,15,1097.91,318.851,930.339,1200.14
170,15,708.176,265.73,1051.6,961.562
175,15,251.172,152.491,1153.93,692.735
180,15,-237.185,5.83199,1227.3,402.027
0,20,-3865.03,685.853,-11133,1423.49
5,20,-4029.72,-473.828,-10961.8,-1326.27
10,20,-3987.94,-1523.56,-10192.8,-3953.59
15,20,-3741.02,-2393.91,-8908.06,-6297.02
20,20,-3316.14,-3042.75,-7237.07,-8225.98
25,20,-2762.62,-3458.64,-5338.14,-9656.15
30,20,-2143.82,-3656.67,-3377.39,-10557.6
35,20,-1525.61,-3669.86,-1508.39,-10953.6
40,20,-963.918,-3539.99,144.845,-10909.9
45,20,-495.267,-3310.57,1498.83,-10518.9
50,20,-133.466,-3022.52,2514.02,-9882.49
55,20,127.236,-2711.53,3190.96,-9097.49
60,20,304.941,-2406.31,3561.3,-8246.21
65,20,422.318,-2127.4,3676.21,-7391.6
70,20,500.891,-1886.85,3595.02,-6576.33
75,20,558.232,-1689.05,3375.91,-5824.31
80,20,607.479,-1532.62,3069.56,-5143.7
85,20,658.056,-1412.55,2715.95,-4530.25
90,20,716.628,-1322.3,2343.9,-3970.62
95,20,787.753,-1255.1,1972.7,-3445.39
100,20,874.043,-1204.62,1615.24,-2932.12
105,20,975.838,-1164.86,1281.6,-2408.79
110,20,1090.6,-1129.58,982.355,-1858.33
115,20,1212.41,-1091.43,730.404,-1273.88
120,20,1332.04,-1041.38,540.44,-663.718
125,20,1438.22,-968.999,425.683,-53.7274
130,20,1519.89,-864.119,392.816,515.214
135,20,1568.68,-720.089,437.264,995.913
140,20,1580.06,-537.684,541.611,1347.91
145,20,1552.04,-328.219,679.009,1549.93
150,20,1481.37,-114.073,820.901,1605.65
155,20,1359.77,74.5712,945.603,1539.8
160,20,1173.21,206.669,1043.23,1386.56
165,20,906.693,259.322,1114.39,1177.31
170,20,553.67,225.824,1163.94,934.197
175,20,125.768,119.418,1194.18,671.464
180,20,-343.249,-29.2292,1201.96,401.006
0,25,-4820.63,807.308,-10753.8,1358.3
5,25,-4966.36,-640.255,-10567.8,-1340.35
10,25,-4821.25,-1953.61,-9753.27,-3907.98
15,25,-4399.41,-3043.52,-8400.74,-6184.04
20,25,-3749.12,-3855.54,-6649.56,-8040.86
25,25,-2945.35,-4374.13,-4667.35,-9399.15
30,25,-2077.64,-4617.2,-2627.84,-10235.6
35,25,-1234.72,-4625.35,-689.822,-10579.8
40,25,-489.18,-4450.63,1020,-10502.3
45,25,113.302,-4148.04,2417.5,-10097.1
50,25,556.954,-3770.09,3463.74,-9464.71
55,25,851.257,-3363.23,4160.34,-8698.63
60,25,1021.72,-2964.96,4539.9,-7877.08
65,25,1100.18,-2601.91,4654.3,-7059.17
70,25,1117.56,-2289.3,4563.39,-6284.38
75,25,1099.93,-2032.2,4325.94,-5574.18
80,25,1067.32,-1828.18,3993.57,-4934.9
85,25,1034.16,-1670.55,3607.51,-4361.11
90,25,1010.23,-1551.05,3198.1,-3838.89
95,25,1001.67,-1461.81,2786.18,-3348.75
