Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,-505.8,774.434,14311.3,204.136
5,0,-858.106,326.194,14210.5,-1544.41
10,0,-1198.54,-131.05,13722.8,-3189.87
15,0,-1511.59,-555.465,12886.6,-4636.57
20,0,-1784.19,-909.531,11763.9,-5808.52
25,0,-2004.13,-1167.07,10432.5,-6656.44
30,0,-2159.94,-1317.45,8976.53,-7160.92
35,0,-2242.55,-1365.61,7477.84,-7331.38
40,0,-2247.9,-1327.93,6010.04,-7201.65
45,0,-2179.2,-1225.98,4633.87,-6823.38
50,0,-2047.18,-1080.4,3394.7,-6258.37
55,0,-1868.34,-907.032,2321.5,-5571.12
60,0,-1661.68,-715.928,1427.09,-4822.24
65,0,-1445.27,-512.468,709.9,-4063.28
70,0,-1233.77,-299.323,156.885,-3333.68
75,0,-1037.37,-78.1367,-252.602,-2659.75
80,0,-862.006,149.516,-542.832,-2055.66
85,0,-710.193,381.789,-738.201,-1525.79
90,0,-582.158,616.455,-860.656,-1067.54
95,0,-476.732,850.698,-928.098,-674.001
100,0,-391.917,1080.73,-953.584,-336.001
105,0,-325.081,1301.41,-945.184,-43.5094
110,0,-272.825,1506.11,-906.461,213.318
115,0,-230.709,1687.04,-837.764,443.082
120,0,-193.148,1836.09,-738.483,651.869
125,0,-153.832,1945.68,-610.056,841.917
130,0,-106.872,2009.34,-458.972,1010.77
135,0,-48.4983,2021.51,-298.477,1151.61
140,0,21.2828,1977.01,-147.725,1255.18
145,0,97.8864,1870.7,-27.909,1312.83
150,0,172.769,1698.26,43.7409,1319.55
155,0,235.405,1458.49,59.9543,1275.65
160,0,275.882,1156.45,26.9048,1186.28
165,0,287.052,806.095,-36.4707,1059.56
170,0,265.494,430.795,-103.313,904.714
175,0,211.2,60.8392,-146.2,731.502
180,0,126.544,-271.548,-144.419,551.096
0,5,743.439,789.279,14300.9,135.863
5,5,386.076,162.819,14192.6,-1808
10,5,-1.50951,-451.715,13640.2,-3631.92
15,5,-396.54,-1000.32,12695.3,-5220.67
20,5,-775.88,-1438.33,11438.9,-6484.6
25,5,-1116.3,-1738.14,9969.01,-7368.01
30,5,-1396.07,-1892.83,8388.47,-7852.09
35,5,-1597.97,-1914.54,6793.37,-7952.91
40,5,-1712.41,-1828.58,5265.44,-7715.18
45,5,-1739.46,-1665.44,3867.6,-7203.56
50,5,-1688.65,-1453.79,2642.48,-6492.98
55,5,-1576.57,-1216.22,1612.94,-5659.61
60,5,-1423.3,-968.027,783.982,-4773.28
65,5,-1248.64,-718.329,145.78,-3892.02
70,5,-1069.51,-471.877,-322.378,-3059.16
75,5,-898.481,-230.785,-647.661,-2302.85
80,5,-743.638,4.30843,-859.408,-1637.58
85,5,-609.211,233.513,-985.58,-1067.18
90,5,-496.526,457.143,-1050.28,-588.053
95,5,-404.956,675.163,-1072.31,-192.203
100,5,-332.627,886.605,-1064.46,130.599
105,5,-276.805,1089.09,-1033.44,391.429
110,5,-233.987,1278.6,-980.362,601.334
115,5,-199.831,1449.73,-902.267,770.565
120,5,-169.174,1596.18,-794.718,907.628
125,5,-136.406,1711.37,-655.539,1018.25
130,5,-96.3507,1788.87,-488.679,1104.63
135,5,-45.5859,1822.18,-306.685,1165.64
140,5,16.206,1804.3,-130.147,1198.1
145,5,85.4432,1727.55,16.5817,1198.95
150,5,154.923,1584.63,112.367,1167.42
155,5,215.276,1371.23,146.381,1106.01
160,5,257.127,1089.74,122.212,1019.8
165,5,273.129,752.674,57.0977,914.598
170,5,259.077,383.631,-23.4526,795.112
175,5,213.863,14.845,-93.3489,664.467
180,5,138.65,-318.546,-132.84,525.332
0,10,1987.02,798.116,14181.7,66.5557
5,10,1622.62,-38.0316,14065.9,-2038.89
10,10,1175.54,-838.435,13454.8,-4011.65
15,10,679.136,-1532.84,12412.1,-5719.05
20,10,170.993,-2067.18,11036,-7059.11
25,10,-310.321,-2412.28,9443.81,-7970.18
30,10,-729.679,-2566.49,7755.85,-8434.24
35,10,-1060.18,-2551.6,6081.25,-8473.87
40,10,-1286.8,-2404.15,4508.57,-8144.24
45,10,-1407.71,-2165.38,3101.47,-7521.96
50,10,-1432.81,-1873.26,1898.68,-6693.33
55,10,-1380.42,-1558.06,916.379,-5743.78
60,10,-1272.95,-1241.33,151.974,-4749.82
65,10,-1133.03,-936.799,-411.61,-3773.83
70,10,-980.493,-652.029,-801.33,-2861.82
75,10,-830.68,-389.911,-1049.39,-2043.42
80,10,-693.877,-149.983,-1188.97,-1333.88
85,10,-575.701,70.4015,-1250.72,-737.096
90,10,-478.013,274.95,-1260.38,-248.989
95,10,-399.995,467.4,-1237.35,139.465
100,10,-339.132,650.658,-1194.09,439.983
105,10,-291.926,826.218,-1136.13,665.484
110,10,-254.359,993.866,-1062.77,829.105
115,10,-222.163,1151.65,-968.69,943.355
120,10,-191.017,1296.02,-846.927,1019.21
125,10,-156.791,1421.91,-692.904,1065.22
130,10,-115.955,1522.72,-508.804,1087.01
135,10,-66.2264,1590.05,-306.495,1087.56
140,10,-7.41296,1613.46,-107.261,1068.25
145,10,57.8443,1580.83,62.5849,1030.46
150,10,123.888,1479.96,179.193,976.774
155,10,182.83,1301.85,228.933,911.25
160,10,226.262,1045.28,212.985,838.422
165,10,247.279,720.995,146.618,761.53
170,10,241.864,353.517,53.5944,680.959
175,10,209.005,-21.3563,-41.6031,593.879
180,10,149.7,-363.119,-120.25,495.57
0,15,3215.48,800.88,13954.6,-3.25797
5,15,2842.25,-270.206,13832.4,-2231.51
10,15,2324.84,-1280.06,13172.8,-4319.08
15,15,1709.92,-2138.74,12049.1,-6119.14
20,15,1053.29,-2780.78,10574.1,-7519.34
25,15,412.692,-3175.18,8881.71,-8452.9
30,15,-160.45,-3326.76,7107.7,-8902.45
35,15,-628.212,-3268.92,5372.31,-8896.4
40,15,-970.239,-3051.31,3769.39,-8499.14
45,15,-1183.82,-2727.27,2362.2,-7797.47
50,15,-1280.71,-2344.87,1184.85,-6886.62
55,15,-1282.19,-1942.6,246.912,-5858.49
60,15,-1214.13,-1548.68,-460.939,-4793.49
65,15,-1102.68,-1181.98,-961.475,-3756.2
70,15,-971.117,-853.253,-1285.99,-2793.94
75,15,-837.786,-566.439,-1469.85,-1937.47
80,15,-715.213,-319.965,-1548.48,-1202.99
85,15,-610.233,-108.399,-1554.11,-594.984
90,15,-524.887,75.8011,-1513.36,-109.283
95,15,-457.713,240.692,-1445.89,264.106
100,15,-405.088,393.651,-1363.83,538.716
105,15,-362.397,540.637,-1272.02,729.891
110,15,-324.971,685.776,-1168.87,853.451
115,15,-288.76,831.081,-1048.22,924.473
120,15,-250.686,976.113,-902.32,956.159
125,15,-208.648,1117.49,-725.847,958.993
130,15,-161.287,1248.33,-520.285,940.539
135,15,-107.821,1357.79,-296.987,906.078
140,15,-48.3148,1431.13,-77.1659,859.824
145,15,15.5731,1450.65,112.245,806.091
150,15,79.8452,1398.11,246.048,749.738
155,15,138.235,1258.89,308.756,695.61
160,15,183.558,1027.5,299.498,647.187
165,15,209.879,712.856,231.53,605.021
170,15,214.262,340.935,126.736,565.633
175,15,196.913,-47.5984,8.01772,521.426
180,15,159.611,-404.929,-106.745,462.036
0,20,4419.46,797.548,13621.2,-73.0469
5,20,4036.1,-526.713,13494.8,-2381.44
10,20,3440.05,-1763.95,12800.4,-4546.18
15,20,2693.08,-2802.04,11617.9,-6410.53
20,20,1872.07,-3562.46,10070.8,-7854.4
25,20,1056.95,-4011.95,8306.02,-8806.83
30,20,317.81,-4162.45,6471.36,-9250.74
35,20,-295.205,-4060.16,4695.87,-9219.11
40,20,-756.398,-3769.08,3077.16,-8783.58
45,20,-1062.99,-3355.51,1677.29,-8038.72
50,20,-1229.56,-2878,525.746,-7085.95
55,20,-1281.35,-2383.37,-373.858,-6020.76
60,20,-1248.27,-1906.49,-1036.29,-4924.91
65,20,-1160.36,-1471.39,-1488.3,-3863.1
70,20,-1044.52,-1092.17,-1763.6,-2882.61
75,20,-922.2,-773.942,-1898.84,-2014.61
80,20,-808.234,-514.2,-1930.07,-1276.06
85,20,-710.708,-304.844,-1889.8,-672.116
90,20,-631.852,-134.546,-1804.69,-198.669
95,20,-569.556,9.08856,-1694.26,155.136
100,20,-519.107,137.941,-1570.44,404.631
105,20,-474.868,262.426,-1438.01,567.63
110,20,-431.722,390.92,-1295.7,662.605
