Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,1279.13,984.26,31.8067,10852.8
5,0,1399.56,735.923,-2684.64,10742.9
10,0,1437.92,495.974,-5279.84,10350.7
15,0,1409.07,281.56,-7604.59,9707.19
20,0,1337.84,112.139,-9537.06,8868.57
25,0,1250.72,3.18447,-10997.5,7908
30,0,1168.87,-39.231,-11954.5,6903.39
35,0,1104.61,-20.3455,-12422.5,5925.12
40,0,1061.77,45.5447,-12452,5027.04
45,0,1038.61,140.08,-12117,4242.65
50,0,1031.52,246.122,-11502.5,3586.3
55,0,1037.72,351.229,-10694.9,3057.74
60,0,1056.39,448.528,-9774.04,2647.9
65,0,1088.41,535.547,-8808.6,2343.96
70,0,1135.5,612.221,-7852.62,2132.82
75,0,1199.16,679.191,-6944.01,2002.58
80,0,1280.03,736.877,-6104.54,1942.61
85,0,1377.39,785.283,-5341.38,1942.35
90,0,1488.86,824.165,-4649.92,1989.8
95,0,1610.15,853.212,-4017.56,2069.73
100,0,1734.9,871.994,-3428.25,2162.43
105,0,1854.7,879.582,-2867.14,2243.61
110,0,1959.37,873.948,-2324.99,2286.13
115,0,2037.71,851.445,-1801.24,2264.24
120,0,2078.54,806.808,-1304.67,2159.7
125,0,2071.77,734.09,-851.047,1968.17
130,0,2009.31,628.576,-457.736,1703.08
135,0,1885.53,489.129,-137.203,1394.2
140,0,1697.7,319.933,107.745,1079.88
145,0,1446.67,130.631,284.131,795.245
150,0,1138.24,-65.4424,403.522,561.053
155,0,785.06,-254.21,473.534,378.814
160,0,408.042,-423.589,490.821,234.757
165,0,36.0522,-564.763,440.16,110.665
170,0,-296.854,-671.751,301.259,-4.20804
175,0,-556.56,-740.083,60.6753,-106.459
180,0,-715.157,-765.913,-276.724,-180.472
0,5,1277.03,1926.4,-79.7978,10725.7
5,5,1153.61,1661.69,-2625.56,10680.8
10,5,959.171,1386.37,-5068.89,10438.3
15,5,725.974,1117.25,-7274.9,10012.5
20,5,492.42,875.169,-9131.39,9434.63
25,5,292.893,678.781,-10561.6,8748.41
30,5,150.231,538.785,-11530.5,8003.34
35,5,73.052,455.369,-12043.7,7246.55
40,5,57.8378,419.673,-12140.6,6516.44
45,5,93.8297,418.053,-11884.6,5839.36
50,5,168.162,436.848,-11352.3,5229.83
55,5,269.384,465.667,-10623.9,4693.34
60,5,388.866,498.412,-9775.25,4230.2
65,5,520.661,532.449,-8872.13,3839.02
70,5,660.749,566.966,-7966.69,3518.74
75,5,806.327,601.488,-7095.74,3268.97
80,5,955.311,635.022,-6280.76,3089.07
85,5,1105.93,665.891,-5529.49,2976.35
90,5,1256.24,691.984,-4838.67,2924.09
95,5,1403.52,711.141,-4197.61,2919.77
100,5,1543.7,721.436,-3592.56,2943.88
105,5,1671.06,721.191,-3011.26,2970.18
110,5,1778.35,708.703,-2447.29,2968.05
115,5,1857.51,681.77,-1902.91,2907.38
120,5,1900.56,637.319,-1389.36,2765.63
125,5,1900.46,571.511,-923.75,2535.01
130,5,1851.36,480.648,-523.127,2226.87
135,5,1748.38,362.816,-197.79,1870.29
140,5,1587.45,219.699,52.7914,1503.87
145,5,1366.05,57.6284,238.681,1163.07
150,5,1085.59,-112.926,372.51,868.643
155,5,754.865,-279.462,459.927,621.87
160,5,393.126,-430.279,492.765,409.392
165,5,30.5608,-556.659,449.53,215.119
170,5,-295.04,-653.374,304.221,32.68
175,5,-545.07,-717.593,40.0524,-128.464
180,5,-688.317,-747.269,-338.001,-246.539
0,10,1265.22,2853.88,-190.795,10517
5,10,930.842,2584.78,-2525.37,10536.7
10,10,532.011,2301.79,-4775.65,10441.5
15,10,115.642,2017.67,-6823.23,10230.8
20,10,-267.812,1748.99,-8567.56,9911.87
25,10,-576.393,1511.25,-9936.7,9500.02
30,10,-784.937,1314.12,-10893.2,9016.55
35,10,-887.177,1159.2,-11434.8,8485.35
40,10,-892.11,1041.01,-11590.6,7929.4
45,10,-817.341,950.327,-11413.7,7368.06
50,10,-682.691,877.924,-10971.7,6816.23
55,10,-506.16,817.251,-10337.7,6284.98
60,10,-302.531,765.25,-9581.45,5783.43
65,10,-83.6076,721.631,-8763.77,5320.4
70,10,141.168,687.315,-7932.78,4905.22
75,10,364.38,662.878,-7122.53,4547.27
80,10,580.588,647.513,-6353.29,4254.4
85,10,786.189,638.735,-5633.07,4030.81
90,10,978.925,632.725,-4960.09,3874.79
95,10,1157.04,625.077,-4325.95,3776.89
100,10,1318.37,611.646,-3719.5,3718.95
105,10,1459.73,589.233,-3131.23,3674.64
110,10,1576.87,555.864,-2557.33,3612.19
115,10,1664.95,510.53,-2002.41,3499.75
120,10,1719.2,452.484,-1479.49,3312.76
125,10,1735.14,380.468,-1006.5,3041.33
130,10,1708.21,292.493,-599.957,2694.7
135,10,1632.91,186.662,-268.294,2299.71
140,10,1502.45,62.9705,-8.53665,1892.64
145,10,1310.18,-74.8087,191.124,1506.65
150,10,1053.27,-218.464,343.004,1160.71
155,10,737.955,-356.823,449.741,855.424
160,10,383.838,-478.968,498.039,578.499
165,10,24.6593,-577.534,460.728,316.991
170,10,-296.193,-650.112,307.413,69.4721
175,10,-534.615,-697.955,19.5209,-148.795
180,10,-656.239,-722.939,-396.706,-310.729
0,15,1243.78,3759.64,-300.34,10228.3
5,15,738.007,3497.42,-2389.38,10309
10,15,170.213,3232.46,-4410.42,10351.1
15,15,-401.157,2970.48,-6262.87,10341.3
20,15,-915.576,2718.89,-7859.57,10265.9
25,15,-1324.2,2484.35,-9135.06,10114.2
30,15,-1599.11,2270.27,-10051.1,9881.37
35,15,-1735.1,2075.81,-10599,9569.25
40,15,-1744.82,1896.83,-10798.6,9186.13
45,15,-1650.61,1728.1,-10693.3,8744.81
50,15,-1477.06,1565.57,-10341.8,8260.57
55,15,-1246.67,1407.93,-9809,7749.67
60,15,-978.658,1256.91,-9157.3,7228.94
65,15,-689.398,1116.41,-8440.85,6715.67
70,15,-392.938,990.917,-7702.22,6227.34
75,15,-100.937,883.711,-6971.57,5780.68
80,15,177.776,795.504,-6267.24,5389.87
85,15,437.418,723.945,-5597.16,5064.38
90,15,674.843,664.047,-4960.87,4806.73
95,15,888.571,609.358,-4352.15,4610.73
100,15,1077.65,553.506,-3762.36,4460.72
105,15,1240.84,491.655,-3184.39,4332.3
110,15,1376.41,421.419,-2616.55,4195.26
115,15,1482.35,342.857,-2065.07,4018.95
120,15,1556.54,257.456,-1543.94,3779.32
125,15,1596.38,166.538,-1071.28,3465.91
130,15,1597.62,70.0061,-662.925,3085.84
135,15,1553.03,-33.5465,-326.015,2662.28
140,15,1452.32,-145.028,-56.3168,2226.76
145,15,1284.56,-262.245,158.181,1807.74
150,15,1043.53,-378.39,328.047,1420.8
155,15,734.505,-483.273,452.087,1065.51
160,15,379.513,-567.25,511.987,731.247
165,15,17.7761,-625.706,476.003,408.937
170,15,-300.406,-661.127,311.12,102.202
175,15,-525.032,-681.074,-1.22777,-168.667
180,15,-619.167,-693.106,-452.391,-372.555
0,20,1212.87,4636.79,-407.6,9861.69
5,20,580.766,4391.31,-2224.05,9997.13
10,20,-114.396,4166.27,-3985.96,10159.5
15,20,-806.032,3958.34,-5611.21,10326
20,20,-1425.89,3762.05,-7027.21,10465.9
25,20,-1919.29,3570.65,-8176.51,10546.7
30,20,-2255.33,3376.83,-9021.79,10540.8
35,20,-2428.75,3173.9,-9549.74,10430.3
40,20,-2454.12,2957.12,-9772.4,10210.2
45,20,-2356.54,2724.66,-9724.29,9887.32
50,20,-2163.42,2478.11,-9455.39,9476.93
55,20,-1900,2222.32,-9022.01,8999.67
60,20,-1588.35,1964.87,-8478.34,8478.62
65,20,-1248,1714.96,-7870.83,7937.63
70,20,-896.429,1481.66,-7235.62,7400.07
75,20,-548.622,1271.93,-6598.26,6887.62
80,20,-216.237,1089.01,-5974.63,6418.55
85,20,92.8865,931.626,-5372.09,6005.86
90,20,374.414,794.572,-4791.08,5655.29
95,20,626.5,670.224,-4227.1,5363.86
100,20,848.572,550.747,-3673.54,5119.24
105,20,1040.45,430.25,-3125.2,4900.72
110,20,1202.01,306.248,-2581.8,4681.99
115,20,1333.2,179.829,-2050.38,4436.08
120,20,1433.75,54.3674,-1545.1,4141.58
125,20,1502.01,-66.7208,-1083.65,3788.65
130,20,1533.17,-181.953,-681.093,3382.31
135,20,1517.62,-292.088,-343.872,2940.91
140,20,1441.37,-398.2,-67.7229,2489.45
145,20,1289.78,-498.579,158.065,2050
150,20,1054.48,-586.843,341.075,1633.73
155,20,741.645,-653.45,475.793,1239.08
160,20,377.593,-690.621,539.438,857.523
165,20,8.43418,-697.947,497.198,484.156
170,20,-308.013,-684.702,315.458,127.22
175,20,-516.119,-666.555,-22.4918,-189.204
180,20,-577.382,-657.998,-504.634,-431.546
0,25,1172.73,5478.65,-511.757,9420.04
5,25,463.513,5257.78,-2036.78,9601.66
10,25,-312.4,5089.2,-3517.19,9861.6
15,25,-1083.79,4959.61,-4889.34,10171
20,25,-1777.31,4848.47,-6095.83,10487
25,25,-2333.78,4732.48,-7088.53,10760.6
30,25,-2719.43,4590.33,-7832.74,10945.9
35,25,-2927.95,4406.69,-8312.35,11008.9
40,25,-2974.3,4174.41,-8533.22,10933.3
45,25,-2884.64,3894.34,-8522.24,10720
50,25,-2687.56,3573.67,-8321.14,10384
55,25,-2409.56,3223.83,-7977.68,9948.89
60,25,-2074.19,2858.74,-7537.49,9442.33
65,25,-1702.8,2493.25,-7038.9,8892.83
70,25,-1314.92,2141.34,-6511.21,8327.71
75,25,-927.606,1814.11,-5975.02,7771.67
80,25,-554.397,1517.93,-5443.23,7245.36
85,25,-204.683,1253.61,-4922.15,6763.91
90,25,116.003,1016.96,-4412.49,6335.35
95,25,404.992,800.575,-3910.89,5959.58
100,25,661.31,596.487,-3412.17,5628.04
105,25,884.868,398.809,-2912.41,5324.66
110,25,1076.16,205.5,-2412.1,5028.43
115,25,1236.06,18.6073,-1918.36,4717.49
120,25,1365.11,-157.217,-1444.79,4374.25
125,25,1461.73,-317.309,-1008.12,3990.11
130,25,1519.85,-459.227,-622.548,3567.94
135,25,1527.21,-583.093,-294.336,3120.7
140,25,1466.45,-689.447,-20.2163,2666.03
145,25,1320.21,-775.959,208.024,2218.92
150,25,1079.6,-835.744,394.13,1785.93
155,25,753.418,-859.693,528.227,1364.5
160,25,373.768,-842.593,584.025,948.422
165,25,-5.60449,-789.612,525.417,536.751
170,25,-319.517,-718.338,320.273,141.397
175,25,-507.627,-653.742,-44.5624,-211.376
180,25,-531.203,-617.882,-553.035,-487.252
0,30,1123.66,6278.81,-612.019,8906.7
5,30,389.221,6087.98,-1835.61,9124.2
10,30,-417.191,5985.86,-3020.69,9454.97
15,30,-1223.2,5949.4,-4121.44,9867.37
20,30,-1953.13,5942.42,-5095.79,10311.9
25,30,-2544.99,5923.7,-5905.81,10728.8
30,30,-2962.43,5856.02,-6520.98,11059.6
35,30,-3197.47,5713.48,-6924.18,11258.5
40,30,-3264.22,5484.91,-7116.85,11300
45,30,-3188.46,5172.86,-7119.54,11179.9
50,30,-2998.72,4789.71,-6966.57,10912
55,30,-2721.56,4353.35,-6697.58,10521.4
60,30,-2380.83,3883.99,-6349.77,10038.4
65,30,-1998.39,3402.04,-5953.48,9494.4
70,30,-1594.43,2926.31,-5531.12,8919.09
75,30,-1186.71,2472.04,-5098.1,8338.9
80,30,-789.49,2049.19,-4664.01,7775.81
85,30,-413.004,1661.53,-4233.53,7246.18
90,30,-63.7274,1307.18,-3807.04,6759.74
95,30,254.665,980.484,-3381.68,6318.84
100,30,540.289,674.844,-2953.14,5918.51
105,30,792.436,385.48,-2518.22,5547.42
110,30,1011.35,111.293,-2077.69,5189.99
115,30,1197.91,-144.913,-1638.21,4829.66
120,30,1352.53,-377.971,-1212.28,4452.78
125,30,1472.85,-582.896,-815.319,4052.01
130,30,1551,-756.924,-460.599,3628.03
135,30,1572.05,-899.512,-154.519,3188.4
140,30,1515.93,-1009.98,104.499,2743.63
145,30,1363.82,-1084.4,321.445,2301.98
150,30,1107.9,-1114.66,495.904,1865.86
155,30,761.13,-1092.12,614.096,1432.1
160,30,362.333,-1014.88,647.54,996.733
165,30,-27.0879,-894.843,560.758,562.069
170,30,-335.476,-758.887,325.072,142.295
175,30,-499.249,-641.758,-67.7215,-235.94
180,30,-480.982,-573.064,-597.228,-539.25
0,35,1066.05,7031.19,-707.624,8325.57
5,35,359.337,6873.09,-1629.01,8567.65
10,35,-425.285,6840.14,-2514.2,8940.3
15,35,-1217.63,6900.82,-3334.11,9412.26
20,35,-1942.58,7004.35,-4061.59,9932.35
25,35,-2537.13,7092.11,-4669.44,10436.5
30,35,-2963.07,7110.61,-5132.55,10859.8
35,35,-3210.43,7022.42,-5434.46,11149.1
40,35,-3291.59,6811.12,-5573.83,11272.7
45,35,-3231.03,6479.84,-5566.2,11222.3
50,35,-3056.21,6045.3,-5439.5,11009.8
55,35,-2792.85,5531.38,-5226.04,10660.1
60,35,-2463.99,4964.23,-4955.19,10204.5
65,35,-2090.73,4369.49,-4649.72,9675.43
70,35,-1692.48,3770.49,-4325.42,9103.64
75,35,-1286.31,3186.52,-3992.45,8516.37
80,35,-886.063,2631.31,-3656.77,7936.31
85,35,-501.944,2112.16,-3320.86,7380.63
90,35,-140.89,1630.46,-2984.18,6860.27
95,35,192.576,1183.51,-2643.78,6379.64
100,35,495.563,767.182,-2295.72,5936.76
