Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,-1.08935,60.64,-217.26,14841.7
5,0,-170.96,66.2277,1637.71,14835.4
10,0,-365.653,52.6463,3383.16,14458.5
15,0,-566.1,25.3711,4927.43,13736.4
20,0,-752.457,-9.04143,6194.6,12718.6
25,0,-907.918,-44.6879,7133.37,11472.5
30,0,-1021.98,-77.6622,7722.25,10074.8
35,0,-1091.84,-106.428,7969.54,8603.38
40,0,-1121.24,-131.167,7908.49,7130.9
45,0,-1117.45,-152.614,7589.5,5720.17
50,0,-1087.85,-171.119,7071.78,4421.56
55,0,-1037.55,-186.367,6416.16,3271.37
60,0,-968.884,-197.714,5679.7,2291.03
65,0,-882.223,-204.725,4911.99,1487.35
70,0,-777.397,-207.526,4152.83,854.134
75,0,-654.745,-206.828,3431.13,374.955
80,0,-515.472,-203.739,2765,26.7536
85,0,-361.425,-199.563,2162.83,-216.62
90,0,-194.695,-195.695,1625.2,-381.471
95,0,-17.4139,-193.607,1147.03,-492.148
100,0,168.069,-194.817,719.79,-569.594
105,0,358.72,-200.749,333.554,-630.26
110,0,550.301,-212.461,-20.8833,-685.273
115,0,737.065,-230.287,-349.746,-740.07
120,0,911.802,-253.541,-653.966,-795.037
125,0,1066.21,-280.424,-927.394,-847.527
130,0,1191.36,-308.196,-1156.38,-895.056
135,0,1278.06,-333.524,-1321.52,-938.497
140,0,1317.06,-352.8,-1401.74,-983.411
145,0,1299.27,-362.234,-1380,-1037.92
150,0,1216.56,-357.807,-1249.03,-1107.15
155,0,1063.26,-335.355,-1015.56,-1186.73
160,0,838.275,-291.142,-701.426,-1259.23
165,0,547.257,-222.951,-341.134,-1297.02
170,0,203.707,-131.247,23.9322,-1271.46
175,0,-171.578,-19.785,353.566,-1164.36
180,0,-552.894,104.796,616.871,-975.702
0,5,-20.0207,1353.95,-216.338,14780
5,5,-28.343,1362.66,1412.93,14819.9
10,5,-73.5112,1330.01,2953.23,14550.1
15,5,-143.242,1262.86,4332.9,13979.9
20,5,-221.814,1169.9,5489.92,13137.6
25,5,-294.305,1059.55,6379.63,12068.2
30,5,-350.731,938.385,6979.85,10828.3
35,5,-388.093,811.132,7292,9480.24
40,5,-409.291,681.625,7338.17,8087.36
45,5,-419.621,553.977,7155.44,6709.55
50,5,-422.891,432.897,6789.5,5399.84
55,5,-419.134,322.989,6288.94,4201.33
60,5,-404.713,227.599,5700.75,3144.73
65,5,-374.201,148.007,5067.08,2247.06
70,5,-322.663,83.4082,4422.99,1512.03
75,5,-247.193,31.5643,3795.01,931.82
80,5,-147.264,-10.3182,3200.81,490.102
85,5,-24.1986,-44.9127,2649.6,165.309
90,5,119.635,-74.4642,2143.38,-66.4274
95,5,281.368,-100.776,1678.51,-229.004
100,5,457.679,-125.317,1247.58,-344.663
105,5,644.413,-149.299,841.341,-432.64
110,5,836.06,-173.679,451.001,-507.945
115,5,1025.37,-199.074,70.9639,-580.413
120,5,1203.32,-225.636,-298.284,-654.493
125,5,1359.44,-252.861,-647.784,-730.295
130,5,1482.27,-279.355,-959.365,-806.005
135,5,1560.01,-302.567,-1207.6,-880.859
140,5,1580.97,-318.639,-1364.7,-957.047
145,5,1534.41,-322.593,-1407.5,-1038.81
150,5,1411.93,-309.072,-1324.42,-1128.31
155,5,1209.63,-273.644,-1120.34,-1219.94
160,5,930.558,-214.313,-817.727,-1296.79
165,5,586.495,-132.558,-453.541,-1332.4
170,5,197.876,-33.2875,-72.8581,-1298.61
175,5,-208.662,76.453,279.37,-1176.19
180,5,-604.554,189.435,566.335,-962.856
0,10,-38.7996,2636.96,-213.77,14605.7
5,10,72.8843,2657.08,1165.44,14688.4
10,10,140.218,2624.84,2477.7,14521.5
15,10,172.813,2544.83,3671.23,14099
20,10,184.638,2423.34,4698.12,13429.9
25,10,189.085,2266.67,5520.79,12538.3
30,10,194.236,2080.44,6117.12,11461.5
35,10,200.859,1870.33,6482.44,10246.7
40,10,204.242,1643.65,6628.26,8947.36
45,10,198.707,1410.19,6578.63,7619.6
50,10,182.107,1181.32,6365.65,6317.79
55,10,157.945,967.881,6025.31,5090.24
60,10,134.43,777.754,5593.91,3975.39
65,10,121.562,614.623,5105.34,2999.2
70,10,128.072,478.154,4588.89,2174.41
75,10,159.577,365.279,4067.84,1501.51
80,10,218.304,271.748,3558.59,971.101
85,10,303.887,193.329,3070.69,566.764
90,10,414.465,126.426,2607.37,267.843
95,10,547.474,68.2221,2166.59,51.7411
100,10,699.87,16.5835,1742.41,-104.278
105,10,867.863,-30.1114,1326.71,-221.548
110,10,1046.36,-73.1172,911.501,-318.483
115,10,1228.41,-113.414,491.872,-409.12
120,10,1404.81,-151.692,69.4036,-502.088
125,10,1563.99,-188.126,-344.882,-600.63
130,10,1692.23,-221.899,-729.338,-704.054
135,10,1774.21,-250.555,-1053.6,-810.27
140,10,1794.04,-269.576,-1284.06,-918.11
145,10,1736.93,-272.692,-1391.83,-1027.68
150,10,1591.76,-253.312,-1360.9,-1137.81
155,10,1354.33,-206.904,-1193.6,-1241.52
160,10,1030.49,-133.404,-911.752,-1322.49
165,10,637.719,-38.3543,-553.214,-1355.82
170,10,203.902,68.1932,-165.199,-1314.31
175,10,-237.06,174.839,203.768,-1178.06
180,10,-651.612,272.633,511.49,-942.681
0,15,-57.2833,3899.89,-209.575,14320.3
5,15,129.306,3938.55,902.8,14440.3
10,15,268.649,3923.94,1970.56,14366.6
15,15,371.473,3855.29,2960.64,14080.5
20,15,452.176,3732.54,3838.65,13574.3
25,15,522.971,3555.97,4574.33,12854
30,15,588.866,3326.95,5146.48,11939.4
35,15,646.347,3050.17,5545.56,10863.5
40,15,686.665,2735.74,5773.69,9670.43
45,15,701.78,2399.51,5842.87,8411.7
50,15,689.547,2060.67,5772.33,7141.71
55,15,655.495,1737.65,5585.81,5912.14
60,15,610.918,1444.38,5309.03,4766.96
65,15,568.958,1188.34,4967.31,3738.82
70,15,540.957,970.867,4583.65,2847.55
75,15,534.507,788.953,4177.14,2100.54
80,15,553.335,637.326,3762.05,1494.6
85,15,598.328,510.171,3347.46,1018.43
90,15,668.805,402.123,2937.41,655.054
95,15,763.438,308.679,2531.43,383.973
100,15,880.6,226.281,2125.44,182.969
105,15,1018.18,152.241,1713.02,29.7337
110,15,1173,84.6102,1287.54,-96.3905
115,15,1339.97,22.0378,845.08,-212.542
120,15,1511.14,-36.2993,388.019,-330.654
125,15,1674.91,-90.5363,-71.4952,-456.597
130,15,1815.61,-139.618,-509.832,-590.729
135,15,1913.94,-180.551,-893.445,-729.909
140,15,1948.44,-207.878,-1184.48,-870.03
145,15,1898.36,-214.107,-1349.41,-1007.42
150,15,1747.7,-191.656,-1368.05,-1137.78
155,15,1490.02,-136.103,-1239.7,-1252.87
160,15,1132.43,-49.4512,-984.357,-1337.15
165,15,697.304,58.4754,-639.122,-1367.59
170,15,220.06,171.94,-251.542,-1318.44
175,15,-257.101,274.272,127.893,-1169.68
180,15,-693.712,353.755,452.752,-915.333
0,20,-75.331,5133.15,-203.785,13925.9
5,20,138.859,5195.87,633.051,14076
10,20,307.318,5212.67,1446.93,14081.4
15,20,445.108,5175.17,2221.38,13914.1
20,20,568.933,5074.05,2934.35,13553.3
25,20,690.241,4900.51,3562.85,12990.2
30,20,810.169,4649.14,4087.49,12230.3
35,20,919.44,4321.91,4495.35,11294.2
40,20,1003.6,3930.98,4780.83,10217.1
45,20,1050.68,3498.28,4945.39,9045.63
50,20,1057.09,3051.25,4996.61,7833.02
55,20,1028.97,2616.69,4946.96,6632.41
60,20,979.188,2215.47,4812.23,5490.86
65,20,922.598,1859.91,4609.54,4444.99
70,20,871.955,1554.08,4355.48,3519.05
75,20,836.051,1295.92,4064.49,2725.09
80,20,819.842,1079.73,3747.97,2064.6
85,20,825.654,898.342,3413.78,1530.58
90,20,854.511,744.454,3066.21,1109.7
95,20,907.072,611.434,2706.12,784.153
100,20,984.008,493.742,2331.4,533.295
105,20,1085.84,387.142,1937.76,335.292
110,20,1212.29,288.745,1520.33,168.966
115,20,1361.12,196.913,1076.31,15.8929
120,20,1526.56,111.107,608.571,-137.534
125,20,1697.72,31.8599,129.366,-298.665
130,20,1857.4,-38.9161,-337.313,-468.473
135,20,1982.24,-97.2863,-756.714,-643.02
140,20,2044.57,-136.788,-1088.64,-815.961
145,20,2016.53,-148.925,-1296.36,-980.627
150,20,1875.79,-125.428,-1356.17,-1130.17
155,20,1611.96,-62.1896,-1264.14,-1255.38
160,20,1231.96,36.6483,-1037.5,-1341.66
165,20,761.96,156.886,-711.038,-1368.13
170,20,244.533,276.756,-330.777,-1311.01
175,20,-269.257,373.628,52.7497,-1150.92
180,20,-730.532,432.186,390.568,-881.018
0,25,-92.8053,6327.34,-196.444,13425.5
5,25,100.902,6417.65,364.491,13597.1
10,25,254.384,6475.33,922.615,13664.4
15,25,389.523,6483.06,1475.32,13593
20,25,526.839,6420.54,2011.22,13353.7
25,25,677.522,6268.01,2514.22,12927.3
30,25,838.55,6011.6,2967.61,12308.3
35,25,994.081,5649.22,3356.68,11507
40,25,1122.91,5194.3,3670.05,10550.8
45,25,1208.01,4674.4,3900.44,9481.36
50,25,1243.11,4125.1,4045.4,8349.47
55,25,1233.59,3581.63,4107.51,7207.98
60,25,1192.55,3072.06,4093.7,6104.69
65,25,1135.23,2614.05,4013.71,5077.51
70,25,1074.75,2215.07,3878.15,4152.33
75,25,1020.4,1874.7,3696.95,3343.34
80,25,978.053,1587.52,3478.34,2654.58
85,25,951.519,1345.45,3228.46,2082.04
90,25,943.828,1139.48,2951.29,1615.45
95,25,958.072,960.852,2648.6,1239.91
100,25,997.701,801.941,2319.95,937.267
105,25,1066.31,656.846,1963.05,687.675
110,25,1166.88,521.732,1574.77,471.356
115,25,1300.32,394.825,1153.27,270.666
120,25,1463.41,276.157,701.41,72.2101
125,25,1646.35,167.254,230.663,-131.5
130,25,1830.84,71.1357,-236.035,-341.48
135,25,1989.81,-7.26701,-664.481,-553.218
140,25,2089.53,-60.6566,-1013.98,-758.879
145,25,2094.75,-79.8486,-1246.1,-949.665
150,25,1976.04,-56.2078,-1334.6,-1116.81
155,25,1718.01,13.8821,-1272.5,-1250.42
160,25,1326.02,124.125,-1073.67,-1336.96
165,25,828.865,255.973,-769.324,-1357.94
170,25,275.507,381.508,-402.189,-1292.14
175,25,-274.111,471.773,-20.7979,-1121.74
180,25,-761.793,507.327,325.412,-839.998
0,30,-109.573,7473.38,-187.608,12823
5,30,16.2424,7592.6,105.428,13006.7
10,30,110.772,7695.59,413.712,13116.2
15,30,204.391,7755.89,745.399,13114.5
20,30,322.55,7741.8,1097.82,12968.4
25,30,476.823,7621.99,1461.18,12652.8
30,30,660.278,7373.3,1822.08,12154.8
35,30,850.446,6988.84,2165.6,11477.5
40,30,1018.98,6482.45,2476.53,10641.2
45,30,1143.05,5886.61,2740.93,9682.54
50,30,1212.68,5244.34,2948.11,8649.06
55,30,1231.28,4598.77,3092.31,7591.54
60,30,1210.96,3984.83,3172.96,6556.46
65,30,1166.29,3425.39,3193.52,5580.77
70,30,1109.89,2931.45,3159.57,4689.69
75,30,1050.96,2504.69,3077.07,3897.21
80,30,995.921,2140.49,2951.31,3207.98
85,30,949.836,1830.53,2786.58,2619.4
90,30,917.683,1564.75,2586.1,2123.4
95,30,904.996,1332.88,2351.85,1707.8
100,30,917.999,1125.67,2084.42,1357.56
105,30,963.281,935.952,1782.82,1055.96
110,30,1046.91,759.18,1445.07,786.2
115,30,1172.76,593.594,1069.81,533.11
120,30,1340.04,439.816,659.41,285.038
125,30,1540.2,300.272,223.884,35.457
130,30,1754.31,178.868,-215.797,-216.2
135,30,1952.24,81.2071,-627.24,-464.95
140,30,2094.94,15.0277,-970.74,-701.977
145,30,2140.22,-10.2026,-1207.69,-916.939
150,30,2051.6,14.196,-1310.45,-1099.55
155,30,1808.17,91.1871,-1269.57,-1239.37
160,30,1412.8,212.356,-1095.4,-1323.99
165,30,895.708,354.971,-814.713,-1337.54
170,30,311.243,485.127,-465.416,-1262.05
175,30,-272.323,567.576,-92.0381,-1082.25
180,30,-787.255,578.607,257.779,-792.585
0,35,-125.508,8562.54,-177.344,12122.8
5,35,-112.877,8709.67,-136.076,12309.3
10,35,-119.77,8857.06,-63.9271,12440.4
15,35,-106.434,8969.94,54.9082,12480.5
20,35,-41.7381,9006.09,224.399,12396.5
25,35,87.0237,8923.25,440.237,12161.9
30,35,269.8,8689.22,692.748,11760.6
35,35,478.12,8291.97,968.141,11190.6
40,35,676.716,7745.05,1249.3,10466.9
45,35,836.604,7084.85,1517.65,9620.89
50,35,943.251,6360.74,1756.22,8695.79
55,35,997.053,5622.73,1952.57,7738.8
60,35,1008.07,4911.8,2100.02,6793.46
65,35,989.376,4255.41,2197.02,5894.06
70,35,952.471,3667.75,2245.16,5063.55
75,35,905.901,3152.58,2247.29,4314.21
80,35,856.079,2706.46,2206.31,3649.84
85,35,808.809,2321.59,2124.74,3068.06
90,35,770.48,1987.88,2004.66,2562.12
95,35,748.572,1694.67,1847.57,2122.22
100,35,751.627,1432.16,1654.07,1736.46
105,35,788.768,1192.67,1423.53,1391.78
110,35,868.696,971.449,1154.24,1075.02
115,35,997.86,766.823,844.737,774.302
120,35,1177.62,579.736,496.505,480.421
125,35,1400.69,412.988,117.864,188.362
130,35,1647.93,270.719,-272.553,-101.677
135,35,1886.99,158.532,-644.874,-384.151
140,35,2074.48,83.9939,-961.506,-649.318
145,35,2162.3,56.3465,-1185.04,-885.374
150,35,2107.57,83.9475,-1287.78,-1080.53
155,35,1883.99,168.945,-1258.68,-1223.73
160,35,1491.45,300.901,-1104.84,-1303.68
165,35,960.658,453.249,-848.115,-1307.46
170,35,350.116,586.605,-520.389,-1221
175,35,-264.602,659.918,-160.412,-1032.68
180,35,-806.727,645.483,188.184,-739.14
0,40,-140.487,9586.53,-165.731,11330.4
5,40,-282.837,9758.28,-352.454,11510.4
10,40,-430.706,9943.79,-495.195,11643.3
15,40,-534.75,10101.8,-573.374,11697.4
20,40,-557.741,10181.6,-578.382,11643.9
25,40,-484.986,10131.8,-510.003,11459
30,40,-328.439,9912.41,-374.091,11126.9
35,40,-121.357,9506.49,-182.28,10643.4
40,40,94.8011,8926.69,48.0937,10019.2
45,40,284.884,8212.12,295.815,9280.77
50,40,429.123,7417.15,539.544,8465.88
55,40,523.898,6597.35,761.79,7616.93
60,40,576.312,5798.62,951.156,6773.1
65,40,597.236,5052.11,1102.16,5964.97
70,40,596.521,4374.59,1213.4,5212.39
75,40,581.534,3771.56,1285.42,4525.27
80,40,558.014,3240.97,1319.28,3905.95
85,40,531.668,2776.19,1315.9,3351.68
90,40,509.383,2368.23,1275.98,2856.52
95,40,499.71,2007.37,1199.91,2412.56
100,40,512.747,1684.6,1087.42,2010.68
105,40,559.54,1392.83,937.286,1641.11
110,40,650.927,1127.67,747.351,1294.06
115,40,795.515,887.556,515.57,960.599
120,40,996.545,673.322,242.486,633.769
125,40,1247.95,487.351,-65.1656,309.976
130,40,1530.63,333.074,-391.044,-9.703
135,40,1810.74,215.16,-708.107,-318.871
140,40,2041.66,140.175,-981.712,-606.466
145,40,2170.67,116.462,-1176.91,-858.827
150,40,2149.7,151.593,-1267.33,-1062.32
155,40,1947.74,246.718,-1241.44,-1205.07
160,40,1561.77,389.557,-1103.56,-1276.89
165,40,1022.26,550.298,-870.482,-1268.12
170,40,390.646,684.979,-567.283,-1169.3
175,40,-251.671,747.699,-225.509,-973.36
180,40,-820.058,707.447,117.157,-680.07
0,45,-154.396,10537.6,-152.856,10451.8
5,45,-488.75,10728.5,-536.866,10617.2
10,45,-812.851,10940.9,-866.253,10733.8
15,45,-1068.06,11129.4,-1118.09,10776.5
20,45,-1210.87,11237.9,-1280.91,10723.8
25,45,-1223.71,11209,-1351.03,10557.9
30,45,-1118.93,10996.6,-1330.7,10266.7
35,45,-932.963,10579.9,-1228.77,9846.19
40,45,-712.35,9970.16,-1061.44,9304.47
45,45,-498.2,9208.01,-850.819,8662.81
50,45,-316.114,8351.18,-620.835,7953.09
55,45,-174.738,7459.36,-392.475,7211.69
60,45,-70.9027,6582.19,-180.702,6472.48
65,45,3.34144,5753.63,5.9514,5761.68
70,45,55.683,4992.36,163.742,5095.79
75,45,91.8086,4305.25,291.457,4482.36
80,45,116.125,3691.58,388.687,3922.39
85,45,133.369,3146.34,454.976,3412.75
90,45,149.938,2662.43,489.59,2948.13
95,45,174.488,2232.26,491.457,2522.12
100,45,217.856,1848.77,458.995,2127.7
105,45,292.379,1506.48,389.877,1757.48
110,45,410.557,1201.93,281.112,1403.96
115,45,582.755,933.812,129.987,1060.04
120,45,813.755,702.447,-63.7312,720.072
125,45,1098.47,509.032,-294.567,381.313
130,45,1417.95,355.285,-548.245,45.6408
135,45,1737.34,243.859,-800.705,-279.342
140,45,2007.9,179.288,-1020.93,-580.65
145,45,2173.77,168.146,-1177.57,-842.141
150,45,2183.17,216.616,-1246.82,-1047.88
155,45,2001.66,324.639,-1217.72,-1184.95
160,45,1623.76,478.401,-1092.44,-1244.33
165,45,1079.34,645.707,-882.733,-1219.88
170,45,431.502,779.311,-606.473,-1107.28
175,45,-234.247,829.851,-287.059,-904.754
180,45,-827.148,764.027,45.2385,-615.824
0,50,-167.131,11408.4,-138.818,9493.62
5,50,-724.597,11611.3,-683.417,9637.67
10,50,-1254.62,11835,-1165.03,9723.18
15,50,-1689.83,12033.1,-1560.25,9733.23
20,50,-1980.45,12148,-1856.24,9655.56
25,50,-2105.13,12119.6,-2046.9,9481.3
30,50,-2075.04,11899,-2131.44,9204.41
35,50,-1927.99,11462.8,-2115.72,8823.51
40,50,-1714.36,10820.7,-2013.93,8345.17
45,50,-1480.88,10013.5,-1847.66,7786.1
50,50,-1259.61,9100.81,-1641.88,7171.78
55,50,-1065.36,8144.83,-1419.78,6531.88
60,50,-900.064,7197.87,-1198.95,5894.28
65,50,-759.562,6296.05,-990.414,5280.54
70,50,-638.902,5459.49,-799.919,4703.87
75,50,-534.474,4696.17,-630.185,4169.83
80,50,-443.623,4006.49,-482.826,3678.42
85,50,-363.125,3387.04,-359.436,3226.48
90,50,-287.74,2832.86,-261.96,2809.33
95,50,-209.422,2338.89,-192.764,2421.73
100,50,-117.277,1900.69,-154.684,2058.07
105,50,1.71462,1514.98,-151.097,1712.3
110,50,161.147,1179.84,-185.732,1377.89
115,50,372.581,894.46,-261.777,1048.27
120,50,641.783,658.571,-379.944,717.928
125,50,964.225,471.725,-535.691,384.234
130,50,1320.94,333.109,-716.634,49.6147
135,50,1676.55,242.288,-901.855,-276.912
140,50,1981.19,200.603,-1064.55,-579.991
145,50,2177.43,211.806,-1177.87,-840.563
150,50,2211.58,279.961,-1221.57,-1040.12
155,50,2047.23,403.59,-1186.05,-1164.66
160,50,1677.3,567.791,-1071.79,-1206.38
165,50,1130.86,739.117,-885.75,-1162.88
170,50,471.511,868.667,-638.501,-1035.28
175,50,-213.011,905.342,-344.924,-827.427
180,50,-827.944,814.793,-27.0243,-546.891
0,55,-178.594,12192.4,-123.723,8463.19
5,55,-983.414,12398.7,-787.345,8581.02
10,55,-1742.37,12614.8,-1381.7,8624.89
15,55,-2380.02,12796.7,-1884.14,8586.72
20,55,-2840.36,12889.3,-2281.62,8464.73
25,55,-3097.53,12834.3,-2566.75,8260.33
30,55,-3160,12583.6,-2736.45,7975.54
35,55,-3065.33,12112.7,-2793.91,7613.25
40,55,-2866.51,11430.5,-2750.88,7179.94
45,55,-2615.64,10576.8,-2627.51,6688.35
50,55,-2351.93,9611.18,-2448.62,6157.58
55,55,-2097.66,8597.17,-2238.52,5610.28
60,55,-1861.21,7588.75,-2016.73,5068.08
65,55,-1643.29,6623.71,-1796.38,4547.75
70,55,-1442.27,5723.46,-1585.08,4059.38
75,55,-1256.8,4896.87,-1386.93,3606.86
80,55,-1086,4145.16,-1204.53,3189.58
85,55,-928.137,3465.94,-1040.23,2804.51
90,55,-779.228,2855.88,-896.7,2447.61
95,55,-632.115,2312.01,-777.042,2114.51
100,55,-476.316,1832.31,-684.799,1800.46
105,55,-298.764,1415.89,-623.908,1499.95
110,55,-85.5406,1062.72,-598.416,1206.53
115,55,175.26,772.982,-611.627,913.199
120,55,489.581,546.166,-664.439,613.764
125,55,852.846,380.183,-753.05,305.102
130,55,1245.93,271.233,-866.941,-10.1353
135,55,1633.32,214.905,-988.555,-321.632
140,55,1965.16,208.201,-1095.76,-611.708
145,55,2184.04,250.943,-1166.79,-858.493
150,55,2236.16,344.306,-1185.54,-1041.13
155,55,2084.68,485.222,-1144.15,-1144.75
160,55,1721.83,658.288,-1041.66,-1162.96
165,55,1175.81,830.143,-880.434,-1097.1
170,55,509.657,952.09,-664.059,-953.675
175,55,-188.595,973.183,-399.077,-742.058
180,55,-822.438,859.357,-99.0815,-473.796
0,60,-188.697,12883.6,-107.687,7368.35
5,60,-1257.51,13083.9,-845.171,7457.23
10,60,-2260.87,13271.4,-1509.02,7453.96
15,60,-3115.8,13407.9,-2078.08,7359.11
20,60,-3760.15,13445.3,-2539.98,7181.4
25,60,-4162.97,13331.6,-2887.04,6932.94
30,60,-4328.96,13023.2,-3115,6624.74
35,60,-4294.1,12497.8,-3225.07,6265.18
40,60,-4113.08,11763.4,-3226.7,5861.78
45,60,-3843.3,10858.4,-3138.05,5424.15
50,60,-3531.86,9841.23,-2982.94,4965.48
55,60,-3209.83,8775,-2785.92,4501.5
60,60,-2893.51,7714.54,-2567.78,4047.62
65,60,-2589.5,6698.97,-2343.39,3615.91
70,60,-2299.98,5750.82,-2122,3213.49
75,60,-2025.87,4879.62,-1908.95,2842.71
80,60,-1767.62,4086.79,-1707.54,2502.45
85,60,-1524.51,3370.1,-1520.44,2189.75
90,60,-1293.44,2726.58,-1350.43,1901.01
95,60,-1068.04,2154.24,-1200.62,1632.44
100,60,-838.524,1652.66,-1074.53,1379.77
105,60,-592.452,1222.97,-975.984,1137.73
110,60,-316.515,867.213,-908.799,899.685
115,60,0.50584,587.129,-875.99,658.027
120,60,363.813,382.617,-878.386,405.712
125,60,768.229,250.366,-912.837,138.951
130,60,1194.46,183.54,-970.763,-139.656
135,60,1607.5,173.187,-1038.16,-418.955
140,60,1958.65,211.053,-1097.84,-679.619
145,60,2192.06,292.065,-1133.33,-897.816
150,60,2255.4,413.859,-1132.69,-1051.18
155,60,2112.73,571.728,-1089.75,-1124.61
160,60,1756.25,750.479,-1002.1,-1113.34
