Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,-6.4329,22.0631,872.268,15255.8
5,0,-150.923,43.9977,2782.15,15043.2
10,0,-323.771,46.3394,4552.75,14458.7
15,0,-506.978,32.5513,6090.93,13539.3
20,0,-681.178,7.4199,7321.46,12345.4
25,0,-829.574,-24.2051,8195.77,10953.1
30,0,-941.432,-58.4661,8696.79,9444.97
35,0,-1013.63,-92.8974,8838.39,7900.92
40,0,-1049.54,-126.122,8660.11,6392.28
45,0,-1055.88,-157.227,8218.88,4977.96
50,0,-1039.22,-185.331,7580.18,3702.83
55,0,-1003.6,-209.587,6810.4,2596.99
60,0,-950.197,-229.512,5970.93,1675.63
65,0,-878.333,-245.283,5114.17,939.792
70,0,-787.076,-257.779,4281.1,378.277
75,0,-676.339,-268.344,3500.23,-29.3293
80,0,-547.188,-278.466,2788.11,-308.951
85,0,-401.515,-289.574,2150.81,-488.489
90,0,-241.523,-302.976,1586.32,-595.015
95,0,-69.4629,-319.895,1087.07,-652.878
100,0,112.244,-341.441,642.354,-682.51
105,0,300.543,-368.438,240.683,-699.584
110,0,491.222,-401.094,-128.009,-714.436
115,0,678.578,-438.63,-470.027,-731.972
120,0,855.421,-479.017,-785.7,-752.577
125,0,1013.39,-518.991,-1067.86,-774.367
130,0,1143.37,-554.37,-1301.89,-796.481
135,0,1235.84,-580.553,-1467.9,-822.113
140,0,1281.13,-592.936,-1545.13,-859.358
145,0,1269.75,-587.091,-1517.46,-918.332
150,0,1193.26,-558.763,-1378.6,-1004.8
155,0,1045.84,-504.066,-1135.58,-1113
160,0,826.47,-420.186,-809.497,-1222.05
165,0,540.915,-306.59,-433.383,-1299.25
170,0,202.77,-166.205,-47.3665,-1310.45
175,0,-167.188,-5.8598,308.309,-1232.87
180,0,-543.38,164.451,600.95,-1063.93
0,5,69.6148,1351.61,869.51,15195.9
5,5,92.0764,1357.65,2553.57,15045.9
10,5,72.6771,1322.73,4126.1,14584.8
15,5,22.5377,1252.67,5512.69,13831.4
20,5,-43.1174,1155.04,6650.06,12823.8
25,5,-109.392,1037.46,7494.01,11614.6
30,5,-166.127,906.561,8024.54,10265.8
35,5,-210.062,767.89,8246.8,8841.98
40,5,-243.651,626.711,8187.77,7405.55
45,5,-271.369,488.581,7890.3,6013.41
50,5,-295.722,359.117,7406.2,4714.16
55,5,-315.079,242.984,6789.91,3545.77
60,5,-324.084,142.792,6093.52,2533.77
65,5,-315.865,58.6077,5362.97,1690.3
70,5,-284.527,-11.6452,4635.52,1014.7
75,5,-226.706,-71.2028,3938.42,495.577
80,5,-141.804,-123.438,3288.67,113.949
85,5,-31.2828,-171.199,2693.91,-153.463
90,5,102.293,-216.589,2153.95,-331.341
95,5,255.886,-261.05,1662.81,-443.648
100,5,426.067,-305.493,1210.79,-512.161
105,5,608.621,-350.366,786.69,-555.357
110,5,797.98,-395.604,380.316,-587.477
115,5,986.79,-440.543,-14.645,-617.902
120,5,1165.83,-483.829,-397.665,-651.271
125,5,1324.29,-523.342,-759.118,-688.817
130,5,1450.38,-556.101,-1079.88,-730.875
135,5,1531.87,-578.131,-1333.74,-779.647
140,5,1556.83,-584.423,-1492.69,-840.517
145,5,1514.39,-569.224,-1533.94,-920.284
150,5,1396.19,-526.928,-1446.56,-1022.09
155,5,1198.41,-453.587,-1235.68,-1139.09
160,5,924.096,-348.624,-923.182,-1250.82
165,5,584.891,-215.948,-544.726,-1325.56
170,5,200.949,-63.7274,-144.118,-1329.3
175,5,-201.38,97.3387,233.943,-1237.79
180,5,-593.688,256.553,551.305,-1045.55
0,10,145.133,2670.87,860.134,15020.2
5,10,292.95,2672.46,2292.89,14932.5
10,10,391.258,2622.81,3643.11,14593.2
15,10,448.11,2526.07,4855.13,14004.4
20,10,476.518,2387.76,5878.02,13183.2
25,10,489.339,2213.6,6672.6,12160.4
30,10,494.352,2009.33,7216.89,10978.1
35,10,492.25,1781.57,7508.16,9685.69
40,10,478.716,1539.1,7561.52,8336.37
45,10,449.19,1293.1,7405.98,6984.02
50,10,403.425,1055.66,7079.47,5679.63
55,10,347.327,837.33,6624.01,4467.54
60,10,291.526,644.804,6081.48,3382.08
65,10,247.996,480.099,5490.32,2445.28
70,10,226.741,341.236,4882.99,1666.27
75,10,233.959,223.89,4284.38,1042.51
80,10,271.935,123.079,3711.18,562.242
85,10,340.082,34.3319,3172.06,207.451
90,10,436.224,-45.8298,2668.59,-43.3422
95,10,557.507,-119.856,2196.62,-212.876
100,10,700.667,-189.327,1747.89,-323.502
105,10,861.736,-255.113,1312.05,-395.861
110,10,1035.45,-317.487,879.202,-447.662
115,10,1214.62,-376.193,443.121,-492.571
120,10,1389.68,-430.446,4.82825,-539.573
125,10,1548.63,-478.771,-424.407,-593.321
130,10,1677.31,-518.616,-822.082,-655.701
135,10,1760.06,-545.815,-1156.79,-728.136
140,10,1780.92,-554.301,-1394.18,-813.232
145,10,1725.27,-536.611,-1505.15,-914.17
150,10,1582.33,-485.616,-1473.9,-1031.13
155,10,1348.15,-397.261,-1302.89,-1156.11
160,10,1028.49,-273.277,-1013.51,-1269.31
165,10,640.337,-122.356,-642.488,-1340.54
170,10,210.82,41.3094,-235.788,-1336.61
175,10,-226.861,201.918,158.571,-1232.22
180,10,-639.479,346.703,497.463,-1019.21
0,15,219.546,3969.81,844.211,14730.3
5,15,447.324,3977.68,2007.7,14701.6
10,15,623.748,3933.98,3117.39,14476.8
15,15,757.337,3837.73,4135.4,14043.5
20,15,860.687,3688.23,5022.87,13400.6
25,15,944.558,3485.28,5746.22,12559.7
30,15,1012.81,3230.54,6282.63,11545.1
35,15,1061.29,2929.82,6622.93,10391.8
40,15,1081.48,2594.93,6771.67,9144.02
45,15,1066.78,2243.19,6745.01,7851.92
50,15,1017.61,1894.42,6567.66,6567.48
55,15,942.735,1566.5,6269.37,5339.52
60,15,856.661,1271.86,5881.7,4208.96
65,15,775.115,1016.02,5435.01,3205.45
70,15,711.116,798.469,4956.07,2346
75,15,673.036,614.797,4466.32,1635.57
80,15,664.707,458.923,3981.01,1069.01
85,15,686.728,324.721,3509.01,633.635
90,15,737.963,206.86,3053.2,311.682
95,15,816.616,101.098,2611.31,82.4507
100,15,920.647,4.28543,2177.04,-76.0232
105,15,1047.6,-85.7023,1741.64,-185.498
110,15,1193.98,-170.064,1296.24,-266.048
115,15,1354.36,-249.164,835.151,-334.55
120,15,1520.41,-322.549,359.722,-403.412
125,15,1680.09,-388.769,-118.026,-480.077
130,15,1817.36,-444.887,-573.741,-567.741
135,15,1912.71,-485.806,-972.656,-667.126
140,15,1944.82,-503.926,-1275.71,-778.32
145,15,1893.38,-489.907,-1448.64,-901.147
150,15,1742.98,-435.099,-1471.04,-1033.03
155,15,1487.51,-335.348,-1342.2,-1164.98
160,15,1133.87,-194.68,-1081.76,-1278.22
165,15,703.526,-26.7208,-725.89,-1344.58
170,15,230.577,147.744,-320.937,-1332.37
175,15,-244.014,306.757,83.3113,-1215.97
180,15,-680.402,434.214,439.836,-985.118
0,20,292.288,5238.53,821.864,14328.2
5,20,552.171,5262.15,1706.2,14353.2
10,20,764.239,5241.97,2563.9,14230.5
15,20,940.51,5169.3,3373.03,13936.6
20,20,1094.76,5034.09,4106.03,13456.1
25,20,1235.76,4827.11,4735.26,12785.2
30,20,1362.38,4543.42,5238.37,11933
35,20,1463.95,4186.43,5601.53,10921.9
40,20,1526.01,3770.3,5820.51,9787.74
45,20,1538.35,3318.61,5900.24,8576.37
50,20,1500.65,2859.43,5853.34,7339.57
55,20,1423.13,2418.89,5698.17,6128.64
60,20,1322.71,2016.16,5456.36,4988.56
65,20,1217.44,1661.44,5150.23,3953.79
70,20,1122.21,1356.89,4800.39,3046.51
75,20,1046.85,1099.03,4424.03,2276.94
80,20,996.514,881.345,4033.94,1645.02
85,20,973.199,696.264,3638.25,1142.64
90,20,977.338,536.395,3240.51,755.815
95,20,1008.92,395.165,2840.16,466.453
100,20,1067.97,267.185,2433.1,254.022
105,20,1154.48,148.454,2012.76,97.0501
110,20,1267.73,36.4616,1572.01,-25.2211
115,20,1405.09,-69.8164,1106.08,-131.062
120,20,1560.48,-169.947,616.55,-234.597
125,20,1722.7,-261.937,115.295,-344.77
130,20,1874.32,-341.842,-373.098,-465.434
135,20,1991.97,-403.17,-812.567,-596.647
140,20,2048.33,-436.611,-1161.41,-736.487
145,20,2016.2,-431.014,-1381.7,-882.077
150,20,1873.98,-376.346,-1449.19,-1028.62
