Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,844.458,1085.99,-1858.91,10393
5,0,1014.34,878.109,-4368.84,9680.61
10,0,1117.13,649.917,-6718.68,8729.05
15,0,1160.15,421.18,-8775.63,7600.78
20,0,1158.97,216.871,-10437.1,6375.85
25,0,1131.83,59.527,-11642.7,5140.82
30,0,1094.75,-37.4612,-12377.6,3975.98
35,0,1058.74,-72.8131,-12667.6,2944.54
40,0,1029.46,-55.7975,-12568.3,2086.29
45,0,1008.57,-1.53053,-12152.7,1416.79
50,0,995.866,74.3829,-11500.7,931.05
55,0,991.025,159.67,-10689.8,609.992
60,0,994.467,246.736,-9791.02,427.367
65,0,1007.42,331.943,-8864.35,355.69
70,0,1031.44,413.937,-7957.24,370.23
75,0,1067.86,492.096,-7103.11,450.891
80,0,1117.2,565.616,-6321.25,582.246
85,0,1178.85,633.265,-5617.72,752.246
90,0,1250.74,693.486,-4987.34,950.12
95,0,1329.25,744.544,-4416.66,1163.99
100,0,1409.09,784.489,-3887.7,1378.8
105,0,1483.61,810.868,-3382.17,1575.28
110,0,1545.21,820.29,-2885.97,1730.71
115,0,1586.14,808.132,-2392.92,1822.13
120,0,1599.39,768.732,-1906.86,1831.69
125,0,1579.31,696.393,-1441,1752.84
130,0,1521.83,587.127,-1014,1594.75
135,0,1424.3,440.651,-643.74,1382.23
140,0,1285.29,261.77,-341.313,1149.75
145,0,1105.07,60.4076,-108.051,930.787
150,0,887.122,-149.841,62.3453,746.794
155,0,640.146,-354.023,177.369,600.895
160,0,379.704,-537.96,238.458,479.779
165,0,128.064,-689.423,237.466,363.032
170,0,-88.41,-798.334,159.658,235.258
175,0,-243.937,-856.671,-7.54573,94.8756
180,0,-318.751,-858.893,-264.105,-44.6844
0,5,679.23,1987.66,-1925.43,10258.8
5,5,623.835,1709.97,-4283.59,9637.09
10,5,513.502,1397.09,-6520.35,8852.79
15,5,371.768,1072.15,-8512.8,7950.34
20,5,226.775,764.131,-10161.6,6984.59
25,5,103.851,499.979,-11402.5,6014.18
30,5,20.1456,297.494,-12210.4,5093.53
35,5,-17.3056,162.021,-12597.5,4265.65
40,5,-10.224,87.7103,-12605.1,3557.64
45,5,34.2156,61.9729,-12294.5,2979.86
50,5,106.917,70.6433,-11737,2528.47
55,5,199.369,101.744,-11005.3,2190.29
60,5,304.753,146.96,-10168.3,1948.17
65,5,418.013,201.213,-9285.67,1785.57
70,5,535.491,261.325,-8405.86,1689.31
75,5,654.545,324.743,-7563.88,1650.3
80,5,773.266,388.775,-6781.19,1662.72
85,5,890.18,450.41,-6066.32,1721.96
90,5,1003.84,506.469,-5416.68,1822.17
95,5,1112.33,553.868,-4821.29,1953.83
100,5,1212.78,589.781,-4264.32,2101.8
105,5,1301.17,611.629,-3729.4,2244.63
110,5,1372.59,616.883,-3204.01,2355.95
115,5,1421.87,602.79,-2683.29,2408.37
120,5,1444.44,566.196,-2172.01,2379.8
125,5,1436.79,503.743,-1683.53,2260.53
130,5,1396.45,412.602,-1235.55,2058.24
135,5,1321.21,291.703,-843.845,1797.92
140,5,1208.49,143.102,-516.782,1515.19
145,5,1055.8,-27.1329,-253.484,1244.65
150,5,862.745,-209,-47.2985,1007.91
155,5,634.533,-389.749,106.848,807.293
160,5,385.065,-555.724,205.231,628.556
165,5,137.772,-694.18,232.871,451.562
170,5,-77.2402,-794.482,168.295,263.344
175,5,-229.297,-848.66,-5.85241,66.7836
180,5,-294.52,-851.73,-290.881,-119.372
0,10,508.833,2874.21,-1977.31,10046.5
5,10,257.385,2543.86,-4145.72,9524.21
10,10,-45.0326,2177.56,-6230.12,8914.06
15,10,-360.406,1797.83,-8119.71,8243.4
20,10,-648.162,1432.21,-9720.67,7542.65
25,10,-874.663,1106.11,-10966.5,6842.99
30,10,-1019.61,836.548,-11823.4,6173.06
35,10,-1077.63,629.323,-12290.7,5555.53
40,10,-1055.51,480.271,-12396.5,5004.73
45,10,-967.11,379.269,-12190.4,4525.9
50,10,-828.494,314.78,-11735.1,4116.57
55,10,-654.781,277.086,-11097.8,3769.59
60,10,-458.986,259.538,-10343.2,3476.79
65,10,-252.048,258.131,-9528.85,3231.98
70,10,-43.0761,270.257,-8701.49,3032.51
75,10,160.659,293.435,-7895.85,2879.12
80,10,353.914,324.499,-7134.18,2774.37
85,10,533.491,359.374,-6426.81,2720.24
90,10,697.836,393.316,-5773.67,2715.48
95,10,846.245,421.448,-5166.53,2753.19
100,10,977.952,439.365,-4592.29,2819.17
105,10,1091.5,443.652,-4036.96,2891.53
110,10,1184.65,432.14,-3490.06,2942.44
115,10,1254.74,403.768,-2948.3,2942.59
120,10,1299.35,358.034,-2417.4,2867.81
125,10,1316.47,294.283,-1910.73,2706.5
130,10,1304.03,211.281,-1444.85,2464.74
135,10,1258.87,107.615,-1033.35,2166.14
140,10,1175.99,-16.9606,-682.009,1844.97
145,10,1049.33,-159.702,-388.278,1534.23
150,10,874.934,-313.609,-145.965,1253.81
155,10,655.761,-467.643,46.7391,1004.61
160,10,406.198,-608.627,180.489,771.967
165,10,153.358,-723.991,233.758,537.087
170,10,-66.5779,-804.049,179.401,290.25
175,10,-216.484,-842.908,-3.21443,38.9667
180,10,-268.047,-838.085,-315.443,-193.151
0,15,334.563,3738.88,-2014.13,9757.77
5,15,-77.3449,3373.89,-3960.11,9339.59
10,15,-543.712,2985.05,-5855.86,8902.3
15,15,-1014.32,2590.99,-7604.45,8458.02
20,15,-1436.86,2212.9,-9119.75,8015.03
25,15,-1768.67,1869.27,-10335.3,7579.11
30,15,-1984.58,1571.53,-11210.4,7154.61
35,15,-2078.71,1322.53,-11733.4,6744.88
40,15,-2060.67,1118.08,-11920.2,6352
45,15,-1948.93,950.38,-11809.9,5976.37
50,15,-1764.65,811.453,-11456.7,5616.98
55,15,-1528.02,695.424,-10921.1,5272.58
60,15,-1257.05,599.186,-10263,4943.31
65,15,-967.766,521.772,-9535.17,4632.18
70,15,-674.328,463.023,-8781.23,4345.37
75,15,-388.605,422.19,-8033.79,4091.46
80,15,-119.44,396.933,-7314.58,3879.5
85,15,127.751,382.98,-6634.89,3716.61
90,15,350.662,374.465,-5996.67,3605.39
95,15,549.09,364.813,-5394.34,3541.77
100,15,723.668,347.921,-4817.59,3513.52
105,15,874.852,319.332,-4255.05,3500.25
110,15,1002.48,277.024,-3698.44,3475.36
115,15,1105.91,221.437,-3146.16,3410.39
120,15,1184.25,154.553,-2604.8,3281.55
125,15,1236.2,78.282,-2087.62,3076.76
130,15,1259.18,-7.02068,-1609.94,2800.44
135,15,1248,-102.882,-1183.27,2473.3
140,15,1194.41,-211.267,-811.305,2125.75
145,15,1088.65,-331.874,-490.565,1786.69
150,15,923.85,-459.735,-216.19,1472.56
155,15,702.339,-584.866,9.73044,1182.35
160,15,441.147,-694.591,172.227,901.551
165,15,173.318,-777.411,244.082,613.608
170,15,-57.0902,-826.231,194.095,312.573
175,15,-205.561,-839.197,0.211261,10.3356
180,15,-239.535,-818.062,-337.605,-265.46
0,20,157.747,4575.1,-2035.62,9394.77
5,20,-373.616,4193.46,-3732.88,9081.44
10,20,-969.115,3810.75,-5408.13,8808
15,20,-1569.04,3439.23,-6979.6,8574.02
20,20,-2110.67,3089.88,-8370.8,8369.08
25,20,-2542.14,2769.84,-9517.67,8177.05
30,20,-2832.16,2480.89,-10375.3,7980.94
