candidate_id,feed_inset_mm,feed_x_offset_mm,probe_radius_mm,ground_clearance_radius_mm,launch_pad_radius_mm,launch_taper_length_mm,common_trace_width_mm,outer_edge_gap_mm,center_edge_gap_mm,shunt_reference_offset_mm,common_post_length_delta_mm
doe00_nominal,2.3,0.0,0.25,0.6,0.5,1.0,0.75,0.07,0.22,0.4,0.0
doe01_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.5952676666430573,0.1376345007810099,0.3164626527639345,0.2876536560293043,-0.0688643565778223
doe02_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.8800191219157689,0.12724987275278007,0.20770226442932155,0.5819163201894677,-0.401700975884966
doe03_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.4784731452441046,0.05912768849175485,0.1855218109573606,0.632073040097045,0.18640287494398522
doe04_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.7945002816675648,0.14500772445126303,0.1442054433554507,0.4561144571501766,0.2203230845481532
doe05_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.7665141584953401,0.06904746584378005,0.11112750508471705,0.7027885832326748,-0.006579899170991221
doe06_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.5483209231987134,0.04713326860071339,0.238542209130404,0.37605229000995644,-0.557051213277348
doe07_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.6766963518356433,0.09576379072437421,0.33912261690020495,0.4762404605619169,-0.3218509443382622
doe08_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.8620848935130003,0.10347468762292303,0.2537954003010776,0.3561988733872908,0.7189336339958372
doe09_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.5362869331755912,0.11497811872878674,0.3183073859754651,0.6853905342784832,0.9045487482828838
doe10_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.6268256172212151,0.08169759186267778,0.12210726936536422,0.3980044929763298,0.7638268806035533
doe11_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.8143204699788722,0.07618039470377569,0.29845591098902174,0.7615997336737635,-0.7774188302421827
doe12_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.7096667247307582,0.10791378425225112,0.17004808469243315,0.2523414776488663,-0.9287031734742702
doe13_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.4948659808202729,0.12934819021617516,0.16606928885088953,0.5552389413198028,-0.7056033882323576
doe14_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.7409821830246739,0.050351539001947124,0.2791243141553662,0.5160518270497065,0.563882472461936
doe15_lhs,2.3,0.0,0.25,0.6,0.5,1.0,0.6392857429905726,0.15698868974205452,0.22192227285981042,0.7729062513630013,0.37278406985777557
