candidate_id,frequency_ghz,final_delta_s,converged,tetrahedra,peak_memory_gib,reciprocity_error,passivity_sigma,passive_rl_min_db,active_rl_min_db,total_rl_min_db,network_efficiency_min,physical_vs_target_s8_max_abs_delta,corrected_vs_reference_max_abs_delta_s,frozen_excitation_count,reference_phase_deg,feed_inset_mm,feed_x_offset_mm,probe_radius_mm,ground_clearance_radius_mm,launch_pad_radius_mm,launch_taper_length_mm,common_trace_width_mm,outer_edge_gap_mm,center_edge_gap_mm,shunt_reference_offset_mm,common_post_length_delta_mm,pareto_nondominated,network_gate_pass_10ghz,source_stage
doe00_nominal,10.0,0.00258093,True,,,3.1700642719654804e-06,0.9942367440251482,9.602757694952363,4.470743368098503,7.806545426014403,0.9354607292878437,0.4644328624896793,0.40223372181504524,57,"[0.0, -72.24361910619807, 1.5908866303083762, -43.381696448064424, -175.88989426562236, -99.02855779710109, -178.23734875047964, -133.38351288723047]",2.3,0.0,0.25,0.6,0.5,1.0,0.75,0.07,0.22,0.4,0.0,False,False,original_doe
doe01_lhs,10.0,0.00110563,True,,,4.578005702678909e-05,0.9941256399394974,12.153600166809458,4.0501879282124955,7.977557707164936,0.9617356858640823,0.45447075629944556,0.39982714908599404,57,"[0.0, -114.05685857378393, -1.4616953838640379, -182.14502422369253, -178.31010949119926, -65.05529188375561, -175.98402070149325, 6.20817528704177]",2.3,0.0,0.25,0.6,0.5,1.0,0.5952676666430573,0.1376345007810099,0.3164626527639345,0.2876536560293043,-0.0688643565778223,False,False,original_doe
doe02_lhs,10.0,0.00141691,True,,,7.3677772557576025e-06,0.9952443033721536,8.736807216005353,3.2667782628019033,6.570520588795525,0.9595081797099025,0.550308704664855,0.4782106339068908,57,"[0.0, -75.15396557280332, 0.163781951555898, -41.938948278020455, -175.7566952532614, -99.49919895836464, 177.8316969794872, 219.073165427539]",2.3,0.0,0.25,0.6,0.5,1.0,0.8800191219157689,0.12724987275278007,0.20770226442932155,0.5819163201894677,-0.401700975884966,False,False,original_doe
doe03_lhs,10.0,0.00190501,True,,,5.911054736574474e-06,0.9922306290765265,11.19676657848845,4.916899884270177,8.956994893405213,0.9568827980631145,0.42150533427312253,0.3822255626705679,57,"[0.0, -119.23201937160914, 2.4619767891344635, -187.34124320483977, -177.60395744310122, -57.88077748207846, -177.41243649398947, 13.236968787976958]",2.3,0.0,0.25,0.6,0.5,1.0,0.4784731452441046,0.05912768849175485,0.1855218109573606,0.632073040097045,0.18640287494398522,True,False,original_doe
doe04_lhs,10.0,0.00151492,True,,,6.081922469222349e-06,0.9946954883492048,9.666503859336032,3.9573116510008215,6.945809151934508,0.9561418347956645,0.5048348010761603,0.44450879363481627,57,"[0.0, -69.38982509425153, 3.8786814965139293, -44.46012689880115, -167.95376680900924, -98.15248779104734, -176.4013693152543, -128.72197780470756]",2.3,0.0,0.25,0.6,0.5,1.0,0.7945002816675648,0.14500772445126303,0.1442054433554507,0.4561144571501766,0.2203230845481532,False,False,original_doe
doe05_lhs,10.0,0.0397868,True,,,1.047382306668854e-15,0.9935832724428696,6.22425690313707,-0.370566106820593,3.9660308283884627,0.9472238737451114,0.751827914495787,0.5800808671466319,57,"[0.0, -73.81162463044454, -185.3419506216051, -216.1322907601811, -149.25049939268627, -84.18957383610503, 13.699217234617329, 41.935121166909035]",2.3,0.0,0.25,0.6,0.5,1.0,0.7665141584953401,0.06904746584378005,0.11112750508471705,0.7027885832326748,-0.006579899170991221,False,False,original_doe
doe06_lhs,10.0,0.00199204,True,,,3.2425498718341572e-06,0.9932250970147257,10.926552002587847,4.122059656872079,7.805231717154484,0.9551560933294558,0.5012330266999125,0.4391606527703943,57,"[0.0, 98.49830144863786, -5.197362198442312, 145.2716043009692, 173.61701774875164, 74.58060877842757, 178.8469191340308, 28.49585338024372]",2.3,0.0,0.25,0.6,0.5,1.0,0.5483209231987134,0.04713326860071339,0.238542209130404,0.37605229000995644,-0.557051213277348,False,False,original_doe
doe07_lhs,10.0,0.014398,True,,,1.7503452371129385e-05,0.9941690530619663,10.61720042764023,4.57277977555126,9.262554062366991,0.7476073204862304,0.4027554577607824,0.33245941182081806,57,"[0.0, -76.931864242459, 4.024006984839996, -38.92573462942533, 169.5338833546922, -102.97391136058813, 174.3883189309295, 217.13937414107954]",2.3,0.0,0.25,0.6,0.5,1.0,0.6766963518356433,0.09576379072437421,0.33912261690020495,0.4762404605619169,-0.3218509443382622,True,False,original_doe
doe08_lhs,10.0,0.00308622,True,,,0.00015952200238973858,0.9946657341198984,8.394406167920128,3.43190382443903,6.281832190035654,0.9565001825942218,0.5522642589325879,0.47665342029707347,57,"[0.0, -65.46408029130004, 5.251387280597849, -55.053674144554456, -154.5699578567177, -91.01565992231603, -168.65120390073864, -106.80353169220783]",2.3,0.0,0.25,0.6,0.5,1.0,0.8620848935130003,0.10347468762292303,0.2537954003010776,0.3561988733872908,0.7189336339958372,False,False,original_doe
doe09_lhs,10.0,0.00192901,True,,,3.3934358668796097e-06,0.9927720192743225,13.57563732833271,5.076490947623792,8.583238348835778,0.9622580958594458,0.38409753772595173,0.3572166726474686,57,"[0.0, -64.75096490258466, 9.744965234551225, -36.75261078992124, -164.03460130002276, -99.50033215135868, -171.55641500954613, -123.49614174086673]",2.3,0.0,0.25,0.6,0.5,1.0,0.5362869331755912,0.11497811872878674,0.3183073859754651,0.6853905342784832,0.9045487482828838,True,False,original_doe
doe10_lhs,10.0,0.00874061,True,,,2.3057603647068214e-05,0.9929185448478024,11.01868395305938,4.11467896496509,6.622371560129894,0.951384514130936,0.5044624083301833,0.44763426897066144,57,"[0.0, -68.64045583901601, 11.195378859523382, -54.65728505908503, -156.388886203154, -92.06615255200671, -174.89580296698105, -105.52991512103934]",2.3,0.0,0.25,0.6,0.5,1.0,0.6268256172212151,0.08169759186267778,0.12210726936536422,0.3980044929763298,0.7638268806035533,False,False,original_doe
doe11_lhs,10.0,0.0490363,True,,,1.791861032149695e-15,0.9945013010054284,5.624999554374439,-0.38651436081841156,3.9089684832325666,0.8618003782769411,0.7932747301802647,0.5851626722920032,57,"[0.0, -83.09888459447897, 171.9756127887078, 151.91179128060142, -159.01328059641406, -88.52838010703162, 5.376988669422195, 23.573266298453408]",2.3,0.0,0.25,0.6,0.5,1.0,0.8143204699788722,0.07618039470377569,0.29845591098902174,0.7615997336737635,-0.7774188302421827,False,False,original_doe
doe12_lhs,10.0,0.0319037,True,,,1.0532500405730103e-15,0.9955290689334357,8.700733017615317,1.4342006466809014,6.243221246662816,0.9604877303488079,0.5855251128639031,0.48500173154839327,57,"[0.0, -260.01151744946, -9.763738704032065, 143.33377103186956, -179.8972465950317, 79.93719748840262, 179.2651428710605, 27.585879864658967]",2.3,0.0,0.25,0.6,0.5,1.0,0.7096667247307582,0.10791378425225112,0.17004808469243315,0.2523414776488663,-0.9287031734742702,False,False,original_doe
doe13_lhs,10.0,0.00128928,True,,,9.254041970517365e-06,0.9932774569068108,8.667862527365736,4.118844190530802,8.451555306129682,0.9601509639266634,0.4498419061798777,0.3995601962852131,57,"[0.0, 93.84135380303569, 0.08845503632402477, 146.93788669147204, 164.3742666013851, 73.0402640639579, 169.84613619680326, 23.599408809002735]",2.3,0.0,0.25,0.6,0.5,1.0,0.4948659808202729,0.12934819021617516,0.16606928885088953,0.5552389413198028,-0.7056033882323576,False,False,original_doe
doe14_lhs,10.0,0.0336225,True,,,1.0129834521696388e-15,0.9928233373865828,5.223205682269313,-1.4939046148131467,2.982209752638154,0.9427566900675105,0.7748710551180132,0.5294015181688287,57,"[0.0, -54.35774075801473, -221.34344524185786, -170.4155530797183, -131.0632778023523, -89.70432274349646, 64.02310252363523, 17.024334966160414]",2.3,0.0,0.25,0.6,0.5,1.0,0.7409821830246739,0.050351539001947124,0.2791243141553662,0.5160518270497065,0.563882472461936,False,False,original_doe
doe15_lhs,10.0,0.0193587,True,,,9.995861419348e-16,0.9942140229180697,8.989321639862865,3.7076180276340933,6.619789032292434,0.962612214962294,0.5602226693663966,0.49486865849425976,57,"[0.0, -68.20195949707217, 10.877131480888535, -32.58555704215093, -160.8482654398518, -94.45738210463855, -179.60944294903382, -135.4371464937731]",2.3,0.0,0.25,0.6,0.5,1.0,0.6392857429905726,0.15698868974205452,0.22192227285981042,0.7729062513630013,0.37278406985777557,False,False,original_doe
local16_gradient_corner,10.0,0.00139483,True,,,7.960748989008727e-06,0.9926325453771603,12.927892968192271,2.565980752432737,9.656726920205651,0.9659560234502546,0.2932985052330154,0.27768150693695187,57,"[0.0, -62.137670087234625, 5.470733919987943, -54.96739107408172, -165.67886771065218, -103.21351351622329, -165.8281768213303, -101.61678554645312]",2.3,0.0,0.25,0.6,0.5,1.0,0.45,0.16,0.35,0.25,1.0,True,False,local_refinement01
local17_efficiency_balance,10.0,0.00151356,True,,,7.957644341410699e-06,0.992567439246386,12.71540042468694,1.824770196412884,9.515838059307946,0.9654543969868291,0.29430905200348917,0.28121898254001093,57,"[0.0, -62.513624126775, 6.408551389770664, -55.543733886178096, -165.7227373098486, -102.90030597601105, -167.44389197105613, -101.7014334555898]",2.3,0.0,0.25,0.6,0.5,1.0,0.45,0.16,0.22,0.25,1.0,False,False,local_refinement01
local18_doe09_shunt_fix,10.0,0.00144478,True,,,1.0501161334675621e-05,0.9929434524234872,13.437650952020663,3.084824960543329,8.94743742811459,0.9654392698602617,0.33522934734501025,0.31348412548919635,57,"[0.0, -63.98251909099315, 5.995551116238563, -53.48164840455645, -164.57633462221776, -100.77140081818985, -167.11326625296238, -104.28793330455295]",2.3,0.0,0.25,0.6,0.5,1.0,0.5,0.145,0.32,0.3,0.95,True,False,local_refinement01
local19_conservative_knee,10.0,0.00123665,True,,,1.5029627132707736e-05,0.9928638958297925,13.396914542100124,3.7107443145833567,9.146274414917436,0.9646577161607465,0.3347177095293841,0.31369190894559373,57,"[0.0, -62.66527570114064, 6.776461182884333, -43.274618099694486, -168.2742136692245, -105.27664445787806, -170.62012127656874, -118.12976377462869]",2.3,0.0,0.25,0.6,0.5,1.0,0.48,0.145,0.3,0.4,0.8,True,False,local_refinement01
