gate,metric,lower_95,upper_95,bootstrap_valid_count
gate15,auroc,0.7899305555555556,0.8220486111111112,2000
gate15,auprc,0.9054196445663878,0.9202000861660828,2000
gate15,brier,0.16056427883192434,0.17905061254082297,2000
gate15,ece,0.02571370916409557,0.08729474192301215,2000
gate15,precision,0.6811594202898551,0.75,2000
gate15,recall,0.8333333333333334,0.9791666666666666,2000
gate20,auroc,0.8380909295268069,0.9456183456183456,2000
gate20,auprc,0.9005704128059493,0.9551108450570973,2000
gate20,brier,0.10245246397219053,0.15616456126530381,2000
gate20,ece,0.0679122840417451,0.1543151206530847,2000
gate20,precision,0.7142857142857143,0.9333333333333333,2000
gate20,recall,0.6923076923076923,0.8947368421052632,2000
