stage,stimulus_index,side,window_role,window_x0,window_y0,window_score,sample_index,scene_class,k_value,ratio,frequency_ghz,state_name,source_type,task_index,local_active_count,active_rl_db,total_rl_db,external_incident_power,external_accepted_power,antenna_accepted_power,network_dissipated_power,actual_load_insertion_efficiency,actual_load_transducer_efficiency
physical_aware_near_gate,284,2,interior,9,6,0.9661688989903746,426113,stress,4,0.800000011920929,10.04,frequency_high_E2_source,task,3,4,10.931864809489344,13.974734902929104,0.9999999810862497,0.9599569908266934,0.9427702731420812,0.01718671768461222,0.9820963669738877,0.942770290973403
physical_aware_near_gate,199,2,interior,9,6,0.9661688989903746,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,combined,-1,4,10.937190854566428,13.536853670907592,1.0000000211574307,0.9557091072089204,0.9378465224054612,0.017862584803459258,0.981309600726077,0.9378465025630388
physical_aware_near_gate,279,2,interior,9,6,0.9661688989903746,426113,stress,4,0.800000011920929,10.04,frequency_high_identity,task,3,4,11.011628144454209,13.976845886167052,1.0000000324301637,0.9599764991565096,0.9427227190498959,0.017253780106613714,0.9820268724059663,0.9427226884772448
physical_aware_near_gate,202,2,interior,9,6,0.9661688989903746,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,combined,-1,4,11.036923966637904,13.534515089883302,1.00000002222324,0.9556852521143199,0.9377335806205858,0.01795167149373411,0.9812159165854882,0.9377335597811078
physical_aware_near_gate,88,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,10.04,frequency_high_identity,task,2,3,11.308223574600753,13.946222700457632,1.0000000140924048,0.9596932683251773,0.9429098768706345,0.016783391454542773,0.9825117128477596,0.9429098635827671
physical_aware_near_gate,85,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,10.04,frequency_high_identity,combined,-1,3,11.312147933786953,12.382392001107092,1.0000000002675788,0.9422222270383754,0.9235235391517999,0.018698687886575582,0.9801546945614413,0.9235235389046845
physical_aware_near_gate,93,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,10.04,frequency_high_E2_source,task,2,3,11.368173673921193,14.073518734039677,1.0000000192029797,0.9608575575358235,0.9441139084850931,0.016743649050730336,0.9825742651245098,0.9441138903552934
physical_aware_near_gate,108,2,edge,14,10,0.5826155150276308,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,task,0,4,11.430106142861243,14.2003426060991,0.9999999896719984,0.9619840495512283,0.9458529179595249,0.01613113159170343,0.9832313939100875,0.9458529277282954
physical_aware_near_gate,68,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_E2_source,task,0,2,11.439042583149813,12.340524660248091,0.9999999943103123,0.9416625322427864,0.9242663456434641,0.017396186599322294,0.9815260924124386,0.9242663509022511
physical_aware_near_gate,90,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,10.04,frequency_high_E2_source,combined,-1,3,11.480071818346184,12.497334726178519,1.0000000308164436,0.943731374973206,0.9250470183068574,0.0186843566663486,0.9802016154577047,0.9250469898001991
physical_aware_near_gate,65,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_identity,task,0,2,11.48828979194246,12.339270093836692,1.0000000145052983,0.9416456966144497,0.9242503174296015,0.017395379184848236,0.9815266195689198,0.9242503040230752
physical_aware_near_gate,105,2,edge,14,10,0.5826155150276308,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,task,0,4,11.62914149452079,14.282381182892925,0.9999999899821335,0.9626954338111795,0.9465387904121351,0.016156643399044435,0.9832172846867233,0.9465387998944345
reserve_target_confirmation,284,2,interior,9,6,0.9661688989903746,426113,stress,4,0.800000011920929,10.04,frequency_high_E2_source,task,3,4,9.358749860316562,11.83574149728003,0.9999999810862497,0.9344721426624842,0.9204854758738781,0.013986666788606161,0.9850325481626926,0.9204854932837109
