case_index,case_id,candidate_index,sample_index,case_kind,task_index,k,ratio,source_csv,worst_active_rl_db,total_rl_db,reflected_power_fraction,complete,complex_nmse,magnitude_rmse_db_visible40,nominal_to_direct_complex_nmse,nominal_to_direct_magnitude_rmse_db_visible40,complex_correlation,no_scale_pass
0,c000_combined,0,426106,combined,-1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c000_combined.csv,11.431883781823544,12.048419193976528,0.06239619125689583,1,2.5859008944556505e-12,2.1576501239906065e-05,0.0005334648885764182,0.47349146008491516,0.9999997019767761,1
1,c000_t0,0,426106,task,0,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c000_t0.csv,11.295470117833924,11.965937767070297,0.06359254753559936,1,3.2148853891522666e-12,2.0257537471479736e-05,0.000386303843697533,0.4007727801799774,0.9999992251396179,1
2,c000_t1,0,426106,task,1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c000_t1.csv,11.23608796637155,12.02136161427301,0.06278614787660396,1,4.822124470560407e-12,2.226237666036468e-05,0.0009797055972740054,0.43906986713409424,0.9999995231628418,1
3,c001_combined,1,426104,combined,-1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c001_combined.csv,11.428924068676329,12.428006171789223,0.057174106041176086,1,4.351461899143594e-12,2.118291195074562e-05,0.0020792230498045683,0.5984175801277161,0.9999998807907104,1
4,c001_t0,1,426104,task,0,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c001_t0.csv,11.85858402551796,12.168425850453984,0.06069562879049846,1,5.128787151920111e-12,2.1064901375211775e-05,0.002451145788654685,0.5952810049057007,0.9999994039535522,1
5,c001_t1,1,426104,task,1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c001_t1.csv,11.814294881486804,12.022142123510688,0.06277486503347696,1,4.0673332757368286e-12,2.1947362256469205e-05,0.0017801405629143119,0.5298885703086853,1.0,1
6,c002_combined,2,426100,combined,-1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c002_combined.csv,12.035358816055851,12.352080350556813,0.05818244463820088,1,3.934241387532067e-12,2.0324252545833588e-05,0.0010164465056732297,0.4626457989215851,0.9999998211860657,1
7,c002_t0,2,426100,task,0,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c002_t0.csv,6.080449888877011,12.007874356002159,0.06298143685732968,1,4.290365805681429e-12,1.98124489543261e-05,0.0009809468174353242,0.4423823356628418,0.9999999403953552,1
8,c002_t1,2,426100,task,1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c002_t1.csv,11.931142938664676,12.0135261877179,0.0628995272367254,1,3.961266210883441e-12,1.9668574168463238e-05,0.0008090711198747158,0.39738452434539795,0.9999998211860657,1
9,c003_combined,3,426107,combined,-1,2,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v17_frozen_16x16_perturbed_hfss_smoke_20260728_run01\sources\sources_c003_combined.csv,11.202429493175647,12.45910613768974,0.05676614291223342,1,3.980764936434289e-12,2.2869073291076347e-05,0.0018765273271128535,0.6277961134910583,0.9999997615814209,1
