trial,active_rl_min_db,total_rl_min_db,passive_rl_min_db,corrected_vs_target_max_abs_delta_s,joint_gate_pass
0,12.894744715008503,13.655624742290748,16.35194038780027,0.040462836396081385,1
1,13.091569899065101,13.590917854625884,16.27761093200676,0.0350678537246198,1
2,13.124832763817476,13.922413349683364,16.275647613155005,0.0470651872603177,1
3,13.089491305681115,13.654876889788277,16.42791782894969,0.04124227250911857,1
4,12.933566405016908,13.707272769152087,16.180078394380107,0.0446974367143075,1
5,13.01887374816901,13.498163161602108,16.26239257595186,0.032277028070094325,1
6,13.158970520307953,13.713893764899243,16.425796020772065,0.041029061220421575,1
7,12.899226251223613,13.803148475712977,16.347566991752785,0.04515906712667349,1
8,12.97471521805138,13.669573991889495,16.315435156292402,0.03899346077650278,1
9,12.746304417470988,13.679949751044822,16.35339769700456,0.04314198543809578,1
10,12.99123728246344,13.530350189966995,16.21939425038451,0.03823553733648312,1
11,12.962909552986554,13.739471974629682,16.328964059202356,0.0423255715755765,1
12,13.032304796503338,13.607708936448883,16.309108123788,0.037098811932758755,1
13,12.828500130799249,13.67325694450652,16.38324195113045,0.03549690297671484,1
14,12.880224816111255,13.666329167594412,16.270039320079714,0.039430983244052344,1
15,12.865636016344066,13.462214815172853,16.294870446679813,0.043100409687239855,1
16,13.007417536281585,13.624708305304932,16.32415522161177,0.040446674982472904,1
17,12.965879247220762,13.68657797238212,16.399169314323593,0.038757424235104775,1
18,12.871730859658513,13.673361475320194,16.241919230729124,0.04200102168490093,1
19,13.154605155640217,13.77173752330811,16.302713154445982,0.04258264243671559,1
20,13.208144789873009,13.720058541491122,16.304685484801997,0.0452304783983771,1
21,12.916557183395499,13.779475648556822,16.42032763375521,0.04291033971735341,1
22,13.078143310386565,13.703940944073455,16.158646044542508,0.04358933875508592,1
23,12.928523618392319,13.684593657253437,16.265503515820388,0.03458650436934118,1
24,12.869902265793048,13.681852885832392,16.26504607644431,0.04704530826805094,1
25,13.37925097013931,13.961588793297564,16.339325842897065,0.04348347938448779,1
26,13.061299498035803,13.746911926287176,16.324385846467763,0.039004079465707685,1
27,12.686455504969192,13.685067747977275,16.226780390393888,0.03654793093596173,1
28,12.884293272514988,13.664015501653159,16.291343235395278,0.0390055445367682,1
29,12.891198131352565,13.668990845150287,16.270757223766317,0.04385559838297639,1
30,13.002911348315731,13.651686875393496,16.31596669151094,0.03840832008220934,1
31,12.930970712619612,13.64119086906926,16.395734089946792,0.03499626512040121,1
32,13.032634396949492,13.550315998115337,16.42354943530511,0.03461967288343024,1
33,13.046024153023147,13.627186179380761,16.280583592386478,0.035884769500874165,1
34,12.997465252550786,13.78852231606426,16.1290106318683,0.03484685118285552,1
35,12.785434259741937,13.574978213172926,16.28147382592874,0.039996261904130595,1
36,13.045340568283446,13.600662607495105,16.408722936382254,0.039721274304923435,1
37,13.104215952467943,13.805696175027427,16.36963491565542,0.03750828460279208,1
38,13.00767159546673,13.696347240280867,16.270499594876696,0.03852273810920965,1
39,13.22325558354562,13.705066718061111,16.427712273617562,0.041448562125798095,1
40,12.765976803473231,13.548807005749497,16.34831408781052,0.035234190042198216,1
41,12.897185543186902,13.472934860598471,16.24368216977339,0.04474656148038228,1
42,13.07085875025562,13.483997312063252,16.240367265212548,0.04701721315124698,1
43,12.87857053344635,13.505253880687988,16.349402073563542,0.043069906721666766,1
44,12.822981286990895,13.756581449644658,16.450947161093318,0.03730420270867942,1
45,13.115644372063542,13.620166339108406,16.351938184473763,0.03762969581836789,1
46,12.707971554512824,13.68619857421519,16.28662188817257,0.04916259214182454,1
47,13.062173957158006,13.594137493671212,16.375838139390208,0.041102738869585445,1
48,13.058708005726043,13.651310505291756,16.433224549492984,0.03661375243383878,1
49,13.137469001036537,13.79890821953689,16.284044966110034,0.03514788644405991,1
50,13.05540736243569,13.489427218864815,16.143197295333056,0.034461002421675525,1
51,13.00642979677695,13.664543742276688,16.437171340102132,0.03739975018093262,1
52,12.777888025933638,13.543372088790047,16.357628798349985,0.035891356200795345,1
53,12.90898309409745,13.607911703564199,16.34812223746031,0.04146881923142909,1
54,13.115156136539985,13.632093376832987,16.251270983728645,0.03943687183361197,1
55,12.668454436743728,13.60639981686278,16.237792562485346,0.03459507869182423,1
56,12.918948268880195,13.591196189908361,16.276766575765084,0.04106173090263663,1
57,13.218671630703332,13.718371750193919,16.25901701829571,0.04059068435305115,1
