sample_index,k_value,ratio,best_stage,best_socp_target_active_rl_db,best_active_rl_floor_db,best_pattern_margin_db,best_hardware_margin_db,engineering_strict_pass,reserve11_strict_pass,best_candidate_index_in_scene
426100,2,0.6000000238418579,sequential_socp,8.0,8.000002683210019,0.41321563720703125,-5.087757502598045,0,0,3
426102,2,0.699999988079071,sequential_socp,10.0,9.998293176956139,0.25826263427734375,-1.530795274403026,0,0,7
426104,2,0.6000000238418579,sequential_socp,9.0,9.000001502769358,0.3609161376953125,0.9913967126233704,0,0,5
426105,2,0.800000011920929,sequential_socp,8.0,8.000002596747901,0.44962310791015625,0.9633399171143427,0,0,3
426106,2,0.6000000238418579,sequential_socp,8.0,8.000002261701288,0.4604339599609375,1.0390966829118615,0,0,3
426107,2,0.800000011920929,sequential_socp,8.0,4.254780640114353,0.2603302001953125,1.0838312358390956,0,0,3
426109,2,0.6000000238418579,sequential_socp,8.0,8.000000648229829,0.216156005859375,1.0674512113578831,0,0,4
426110,4,0.699999988079071,sequential_socp,8.0,8.000002264738765,7.62939453125e-06,-2.799555498600167,0,0,3
426111,4,0.699999988079071,sequential_socp,9.0,9.000000990475934,0.4854983389377594,1.001633998554788,0,0,6
426113,4,0.800000011920929,baseline,nan,-2.521052550973999,0.00511932373046875,1.0,0,0,0
426115,4,0.699999988079071,sequential_socp,9.0,9.000008090397607,0.15983545780181885,-109.90777740888126,0,0,5
426116,4,0.800000011920929,sequential_socp,8.0,8.000003170275338,-0.5,-1.1748997534486172,0,0,3
426117,4,0.800000011920929,sequential_socp,9.0,9.000001483913906,-0.2012481689453125,-104.35488623819512,0,0,5
426120,6,0.800000011920929,sequential_socp,5.0,5.0000035930930515,0.5,1.0206529119739471,0,0,2
426121,6,0.5,sequential_socp,8.0,8.000001157637397,0.3817670941352844,-0.9362325547828121,0,0,4
426122,6,0.699999988079071,sequential_socp,5.0,-1.9233243578294728,0.0018352261977270246,1.0175427471077163,0,0,1
426124,6,0.800000011920929,sequential_socp,5.0,5.00000272442004,0.5,1.0295010902800572,0,0,2
426125,6,0.6000000238418579,sequential_socp,5.0,4.350913163731402,0.2602548599243164,1.0227429391116007,0,0,1
426126,6,0.699999988079071,sequential_socp,5.0,5.000007163551617,0.5,1.029509493316129,0,0,1
426128,6,0.800000011920929,sequential_socp,5.0,5.000001545103129,-0.9166259765625,1.0299086417349388,0,0,2
