sample_index,K,ratio,source,mode,worst_active_port,active_rl_min_db,total_rl_db
426110,4,0.699999988079071,combined,nominal_identity,3,3.148625581942727,6.852090328315258
426105,2,0.800000011920929,task,nominal_identity,2,4.403030195040997,7.923528565018152
426105,2,0.800000011920929,combined,nominal_identity,0,4.659833848526728,9.190327391142132
426105,2,0.800000011920929,combined,nominal_identity,2,4.7197596620361635,7.466153656907927
426110,4,0.699999988079071,task,nominal_identity,1,4.729671669370631,6.811595816815386
426110,4,0.699999988079071,combined,nominal_identity,2,4.759304915259558,6.53716088635978
426110,4,0.699999988079071,combined,nominal_identity,2,5.016730288237678,8.431067216677135
426102,2,0.699999988079071,task,nominal_identity,3,5.045619512728536,6.736532306081823
426105,2,0.800000011920929,combined,nominal_identity,0,5.1581437233813565,8.641756196442671
426113,4,0.800000011920929,task,nominal_identity,1,5.2763230569729815,6.760287670629221
426110,4,0.699999988079071,task,nominal_identity,3,5.534330908191901,6.742982551311264
426109,2,0.6000000238418579,combined,nominal_identity,0,5.6180384098552425,7.775079769926609
426105,2,0.800000011920929,task,nominal_identity,2,5.622287625973379,7.150774166517366
426113,4,0.800000011920929,combined,nominal_identity,1,5.810773969627004,7.081497718802207
426105,2,0.800000011920929,task,nominal_identity,0,5.939996934650741,6.950884789832568
426102,2,0.699999988079071,task,nominal_identity,1,6.148892527787817,7.269598787704586
426102,2,0.699999988079071,combined,nominal_identity,3,6.161614694762886,6.921441113516055
426113,4,0.800000011920929,task,nominal_identity,2,6.244367701255696,7.543453120486632
426105,2,0.800000011920929,task,nominal_identity,2,6.2998404884506645,8.394368466227814
426109,2,0.6000000238418579,task,nominal_identity,0,6.31093228954744,8.082697228511801
426109,2,0.6000000238418579,task,nominal_identity,0,6.3595260156966615,7.2538990064874875
426110,4,0.699999988079071,task,nominal_identity,0,6.543875837643975,7.45201040950603
426113,4,0.800000011920929,task,nominal_identity,0,6.605914807536742,8.803981757270238
426110,4,0.699999988079071,task,nominal_identity,0,6.648855413143137,8.495555141807031
426105,2,0.800000011920929,task,nominal_identity,2,6.7497203839438855,8.558732570179204
426110,4,0.699999988079071,task,nominal_identity,0,6.769176911756199,8.81368377378173
426113,4,0.800000011920929,task,nominal_identity,0,6.906143156484482,8.262032741358844
426110,4,0.699999988079071,task,nominal_identity,0,7.006537062517635,7.716241740293532
426110,4,0.699999988079071,task,nominal_identity,0,7.040594985381521,7.69348637354896
426105,2,0.800000011920929,task,nominal_identity,2,7.083098329434451,8.532384678211683
426113,4,0.800000011920929,task,nominal_identity,2,7.199760138346177,8.277349550728786
426113,4,0.800000011920929,task,nominal_identity,0,7.5892220085572415,8.203751537079997
426110,4,0.699999988079071,task,nominal_identity,1,7.830961117008676,8.17338152177638
426110,4,0.699999988079071,task,nominal_identity,1,7.841268835899586,8.933458558591967
426113,4,0.800000011920929,combined,nominal_identity,2,7.875541076368329,10.1329020960642
426110,4,0.699999988079071,task,nominal_identity,1,7.990438730826069,9.487572557947953
426113,4,0.800000011920929,task,nominal_identity,2,8.003919710240334,7.963741422468781
426110,4,0.699999988079071,task,nominal_identity,0,8.399557221382754,9.750559186929344
426110,4,0.699999988079071,task,nominal_identity,1,8.564183010350664,10.504846938401325
426113,4,0.800000011920929,task,nominal_identity,0,10.001601400671962,11.208591676068023
426109,2,0.6000000238418579,combined,nominal_identity,3,10.38813197404723,10.03266619530484
426113,4,0.800000011920929,task,nominal_identity,2,10.444263398284177,10.129940602049473
426109,2,0.6000000238418579,task,nominal_identity,3,10.610887570359239,10.271037809868284
426113,4,0.800000011920929,task,nominal_identity,3,10.638844447232387,9.017014858550564
426102,2,0.699999988079071,combined,nominal_identity,3,10.690962443808296,9.629787684750728
426102,2,0.699999988079071,task,nominal_identity,3,10.697359250381822,9.346178532570494
426102,2,0.699999988079071,task,nominal_identity,3,10.820033474168081,9.216355900380591
426109,2,0.6000000238418579,task,nominal_identity,3,10.860915346136828,9.605479950164492
426113,4,0.800000011920929,task,nominal_identity,2,11.302129739870153,10.36586982301828
426102,2,0.699999988079071,task,nominal_identity,3,11.322127782283019,10.166197344095886
426102,2,0.699999988079071,combined,nominal_identity,2,11.56920169116382,10.249289518567986
426113,4,0.800000011920929,combined,nominal_identity,2,11.690983601841669,11.757478120866612
426102,2,0.699999988079071,task,nominal_identity,3,11.745640597536436,10.632455096797404
426113,4,0.800000011920929,task,nominal_identity,3,11.836603450652383,10.706866623891248
426109,2,0.6000000238418579,task,nominal_identity,3,12.089563709718128,10.822906198215287
426109,2,0.6000000238418579,task,nominal_identity,3,12.225521069768677,10.874670027856466
426109,2,0.6000000238418579,combined,nominal_identity,2,12.226369682901844,10.58378373601493
