stimulus_index,sample_index,K,ratio,state_name,source_type,old_active_rl_db,new_active_rl_db,new_minus_old_active_rl_db,old_total_rl_db,new_total_rl_db,new_minus_old_total_rl_db
6,426105,2,0.800000011920929,nominal_identity,combined,8.557566485676283,5.1581437233813565,-3.3994227622949262,13.159974643448278,8.641756196442671,-4.518218447005607
7,426105,2,0.800000011920929,nominal_identity,task,7.646604541309399,4.403030195040997,-3.243574346268402,12.472940076971872,7.923528565018152,-4.5494115119537195
8,426105,2,0.800000011920929,nominal_identity,task,9.391376633053365,6.2998404884506645,-3.091536144602701,12.878738775973389,8.394368466227814,-4.484370309745575
21,426109,2,0.6000000238418579,nominal_identity,combined,16.13694802840752,10.38813197404723,-5.74881605436029,14.271166679552547,10.03266619530484,-4.238500484247707
22,426109,2,0.6000000238418579,nominal_identity,task,18.730253275013823,10.860915346136828,-7.869337928876995,13.878666399799863,9.605479950164492,-4.2731864496353715
23,426109,2,0.6000000238418579,nominal_identity,task,19.42625195151685,12.225521069768677,-7.200730881748173,15.273058839240752,10.874670027856466,-4.398388811384287
40,426110,4,0.699999988079071,nominal_identity,combined,8.164548899767375,5.016730288237678,-3.147818611529697,13.050232798935566,8.431067216677135,-4.6191655822584305
41,426110,4,0.699999988079071,nominal_identity,task,12.51597266685204,7.006537062517635,-5.509435604334405,12.247887434071565,7.716241740293532,-4.5316456937780325
42,426110,4,0.699999988079071,nominal_identity,task,12.234024268084076,6.769176911756199,-5.464847356327876,13.760025258495228,8.81368377378173,-4.946341484713498
43,426110,4,0.699999988079071,nominal_identity,task,11.377035985789774,6.648855413143137,-4.728180572646638,13.206219890785393,8.495555141807031,-4.7106647489783615
44,426110,4,0.699999988079071,nominal_identity,task,14.127293793355463,8.399557221382754,-5.727736571972709,14.820697626717202,9.750559186929344,-5.070138439787858
61,426102,2,0.699999988079071,nominal_identity,combined,18.145780977324428,10.690962443808296,-7.454818533516132,13.887353582738198,9.629787684750728,-4.257565897987471
62,426102,2,0.699999988079071,nominal_identity,task,19.0306495451887,10.820033474168081,-8.21061607102062,13.443277212008905,9.216355900380591,-4.226921311628313
63,426102,2,0.699999988079071,nominal_identity,task,19.224702397037635,11.322127782283019,-7.9025746147546165,14.52528761014321,10.166197344095886,-4.359090266047323
80,426113,4,0.800000011920929,nominal_identity,combined,15.341921699521388,11.690983601841669,-3.6509380976797186,15.79986161912271,11.757478120866612,-4.042383498256099
81,426113,4,0.800000011920929,nominal_identity,task,12.197525424933628,8.003919710240334,-4.193605714693295,12.585287370165933,7.963741422468781,-4.621545947697152
82,426113,4,0.800000011920929,nominal_identity,task,11.179476947598257,6.605914807536742,-4.573562140061515,13.572298833571656,8.803981757270238,-4.768317076301418
83,426113,4,0.800000011920929,nominal_identity,task,10.276768007878603,6.906143156484482,-3.370624851394121,12.71430179334362,8.262032741358844,-4.452269051984777
84,426113,4,0.800000011920929,nominal_identity,task,9.490247524089524,10.001601400671962,0.5113538765824384,15.148767028730592,11.208591676068023,-3.9401753526625694
101,426105,2,0.800000011920929,nominal_identity,combined,7.639904316978633,4.7197596620361635,-2.9201446549424697,12.312829612129883,7.466153656907927,-4.846675955221956
102,426105,2,0.800000011920929,nominal_identity,task,9.868265793085719,5.939996934650741,-3.9282688584349783,11.484651743800566,6.950884789832568,-4.533766953967998
103,426105,2,0.800000011920929,nominal_identity,task,10.263478147156466,6.7497203839438855,-3.5137577632125803,13.425802268900764,8.558732570179204,-4.86706969872156
116,426109,2,0.6000000238418579,nominal_identity,combined,17.382568629781616,12.226369682901844,-5.156198946879773,14.801425318346046,10.58378373601493,-4.217641582331117
117,426109,2,0.6000000238418579,nominal_identity,task,19.233898332156095,12.089563709718128,-7.144334622437967,15.216328525993084,10.822906198215287,-4.393422327777797
118,426109,2,0.6000000238418579,nominal_identity,task,15.15614769537715,10.610887570359239,-4.545260125017911,14.501044353264145,10.271037809868284,-4.230006543395861
135,426110,4,0.699999988079071,nominal_identity,combined,7.974173399127063,4.759304915259558,-3.2148684838675052,11.035744035045582,6.53716088635978,-4.4985831486858014
136,426110,4,0.699999988079071,nominal_identity,task,9.119626204161037,5.534330908191901,-3.5852952959691358,11.250253234705836,6.742982551311264,-4.507270683394572
137,426110,4,0.699999988079071,nominal_identity,task,12.386424693386875,7.841268835899586,-4.545155857487289,13.877207903854803,8.933458558591967,-4.943749345262836
138,426110,4,0.699999988079071,nominal_identity,task,11.00964989259321,7.040594985381521,-3.9690549072116887,12.744013668167538,7.69348637354896,-5.050527294618578
139,426110,4,0.699999988079071,nominal_identity,task,13.962666249301934,8.564183010350664,-5.39848323895127,15.129370993139409,10.504846938401325,-4.6245240547380835
156,426102,2,0.699999988079071,nominal_identity,combined,19.3131687144071,11.56920169116382,-7.7439670232432825,14.418745997019279,10.249289518567986,-4.169456478451293
