sample_index,k_value,ratio,failed_gates,pattern_margin_db,active_rl_floor_db,hardware_margin_db,dense_constraint_pass
426100,2,0.6000000238418579,pattern|dense,-0.231536865234375,12.135392630855895,1.6220356970209266,0
426102,2,0.699999988079071,hardware,0.3603973388671875,12.627750383025694,-1.5307944258526192,1
426104,2,0.6000000238418579,hardware,0.01348114013671875,11.674478546283058,-2.97484610189818,1
426110,4,0.699999988079071,pattern|hardware|dense,-0.5981063842773438,12.31203224633626,-0.8841646069681843,0
426113,4,0.800000011920929,pattern|dense,-0.2373809814453125,11.45982383999781,1.0,0
426115,4,0.699999988079071,hardware|dense,0.366607666015625,11.581685632964794,-23.29215161962609,0
426116,4,0.800000011920929,pattern|hardware|dense,-1.14404296875,12.304162259108482,-1.1748990826567933,0
426117,4,0.800000011920929,hardware|dense,0.0084381103515625,11.470128231378602,-5.401542544555717,0
426120,6,0.800000011920929,active11|hardware,0.425811767578125,10.68725781797955,-5.866616578822224,1
426121,6,0.5,pattern|hardware|dense,-4.401214599609375,12.333961390128739,-0.7210915467316923,0
426122,6,0.699999988079071,active11|hardware|dense,0.24469757080078125,10.300299086393474,-13.072205322023017,0
426124,6,0.800000011920929,active11|hardware|dense,0.2227630615234375,10.506195343871811,-2.0112875850396605,0
426125,6,0.6000000238418579,pattern|dense,-2.5871124267578125,11.459814611103464,1.0,0
426126,6,0.699999988079071,hardware|dense,0.21060943603515625,11.25031107167446,-14.637738099143512,0
426128,6,0.800000011920929,pattern|dense,-1.801666259765625,11.69654598823927,1.0,0
