generated_index,sample_index,k,ratio,round,mask_family,mask_hash,robust_worst_margin_db,robust_pattern_margin_db,robust_active_rl_margin_db,robust_hardware_margin_db,all_corner_strict_pass,all_corner_pattern_pass,all_corner_active_rl_pass,design_reserve11_pass,robust_psll_margin_db,robust_nearest_iso_margin_db,robust_local20_iso_margin_db,robust_mainlobe_margin_db,nominal_identity_psll_db,nominal_identity_nearest_iso_db,nominal_identity_local_iso_db,nominal_identity_weakest_target_gain_db,nominal_identity_active_rl_floor_db,nominal_identity_hardware_margin_db,frequency_low_identity_psll_db,frequency_low_identity_nearest_iso_db,frequency_low_identity_local_iso_db,frequency_low_identity_weakest_target_gain_db,frequency_low_identity_active_rl_floor_db,frequency_low_identity_hardware_margin_db,frequency_low_E2_source_psll_db,frequency_low_E2_source_nearest_iso_db,frequency_low_E2_source_local_iso_db,frequency_low_E2_source_weakest_target_gain_db,frequency_low_E2_source_active_rl_floor_db,frequency_low_E2_source_hardware_margin_db,frequency_high_identity_psll_db,frequency_high_identity_nearest_iso_db,frequency_high_identity_local_iso_db,frequency_high_identity_weakest_target_gain_db,frequency_high_identity_active_rl_floor_db,frequency_high_identity_hardware_margin_db,frequency_high_E2_source_psll_db,frequency_high_E2_source_nearest_iso_db,frequency_high_E2_source_local_iso_db,frequency_high_E2_source_weakest_target_gain_db,frequency_high_E2_source_active_rl_floor_db,frequency_high_E2_source_hardware_margin_db,selection_role,selection_index
266,426100,2,0.5,initial,failed_best_swap_00_3,d0f156c765771b85,-10.601731300354004,0.8211746215820312,-10.601731300354004,1.0,0,1,0,0,4.853874206542969,4.1549530029296875,2.5821762084960938,0.8211746215820312,-4.8973236083984375,31.279541015625,23.241519927978516,82.02960205078125,-0.4971269297929737,1.0,-4.936607360839844,30.313785552978516,23.371925354003906,82.03865814208984,-0.36063578061322543,1.0,-5.062156677246094,29.154953002929688,22.582176208496094,82.0719223022461,-0.5691566704818495,1.0152725475522277,-4.853874206542969,32.20695495605469,23.132911682128906,81.96836853027344,-0.6017314024832907,1.0,-4.8768310546875,32.23469924926758,22.772762298583984,81.95794677734375,-0.34160739761776215,1.0040353148995214,pattern_best,0
271,426100,2,0.5,initial,parent_normalized,1f6fb00506bdd7b4,-3.5707406997680664,0.5,-3.5707406997680664,1.0,0,1,0,0,4.7783355712890625,2.1008148193359375,2.0693817138671875,0.5,-4.8269500732421875,28.886436462402344,22.744583129882812,82.06340789794922,7.6809004703378045,1.0,-4.872734069824219,28.023765563964844,22.828598022460938,82.07648468017578,7.478957859289867,1.0,-4.99078369140625,27.100814819335938,22.069381713867188,82.10795593261719,8.158030523051096,1.0116755101237842,-4.7783355712890625,29.766456604003906,22.655311584472656,81.99835205078125,6.429259391973887,1.0,-4.804656982421875,29.568397521972656,22.346920013427734,81.98897552490234,6.429366373895407,1.0045020313560429,active_rl_best,1
269,426100,2,0.5,initial,failed_best_swap_01_3,f6409b5d79b3c385,-5.732862949371338,-1.3892250061035156,-5.732862949371338,-0.1220821887254715,0,0,0,0,4.636985778808594,-1.3892250061035156,1.4543037414550781,0.5,-4.6693572998046875,24.745845794677734,21.799110412597656,82.18971252441406,6.444135787684639,-0.013649695833880315,-4.711639404296875,24.204307556152344,21.92284393310547,82.20204162597656,7.257412224858546,-0.013649695833880315,-4.797981262207031,23.610774993896484,21.454303741455078,82.2279281616211,6.086120850128828,-0.02467693830863027,-4.636985778808594,25.277061462402344,21.679397583007812,82.13860321044922,4.651019087916119,-0.013649695833880315,-4.6714630126953125,25.058040618896484,21.554763793945312,82.13241577148438,4.267136817554557,-0.12208219201845694,max_min_best,2
256,426100,2,0.5,initial,three_frequency_guided_swap_00,c4c4f6035f5db0f0,-9.049592971801758,0.5,-9.049592971801758,1.0,0,1,0,0,4.9482269287109375,2.4528541564941406,1.1763343811035156,0.5,-4.9939727783203125,29.284469604492188,21.7333984375,82.04835510253906,1.8021745612187972,1.0,-5.040550231933594,28.400615692138672,21.83123779296875,82.06246185302734,0.9504066298105891,1.0,-5.15826416015625,27.45285415649414,21.176334381103516,82.09970092773438,0.9790508910688751,1.0074352037832226,-4.9482269287109375,30.184581756591797,21.648448944091797,81.98567199707031,2.936630651984284,1.0,-4.975425720214844,30.00122833251953,21.44873809814453,81.9742660522461,3.123939176292389,1.0064670899826866,pareto_knee,3
313,426100,2,0.6,alternating,three_frequency_guided_swap_01,557f5ce5cd6df00a,-16.468517303466797,1.1676025390625,-16.468517303466797,0.9957729578018188,0,1,0,0,7.0899810791015625,2.7716026306152344,2.9742202758789062,1.1676025390625,-7.109916687011719,28.368335723876953,23.18896484375,82.37995147705078,-6.452654847971551,1.0,-7.117530822753906,27.771602630615234,23.009788513183594,82.39187622070312,-6.466479765841302,1.0,-7.0899810791015625,28.108539581298828,22.974220275878906,82.38510131835938,-6.363413825531872,1.0271849466769518,-7.1275482177734375,28.85181427001953,23.356441497802734,82.32186126708984,-6.2951653998660895,1.0,-7.1684112548828125,29.332275390625,23.864688873291016,82.30437469482422,-6.468518009513085,0.9957729646913664,pattern_best,4
303,426100,2,0.6,initial,parent_normalized,1821e8b37d1948fe,-3.3274319171905518,0.5,-3.3274319171905518,0.3807988166809082,0,1,0,0,6.719123840332031,3.4324188232421875,3.284870147705078,0.5,-6.7468719482421875,29.760189056396484,23.700531005859375,83.16323852539062,7.45912512274564,0.6406926933280204,-6.782951354980469,29.078346252441406,23.749401092529297,83.17890930175781,6.723283480127399,0.6406926933280204,-6.947105407714844,28.432418823242188,23.284870147705078,83.20293426513672,6.67256815449064,0.38079881477440125,-6.725959777832031,30.41283416748047,23.652240753173828,83.11360168457031,7.584232264909476,0.6406926933280204,-6.719123840332031,30.679039001464844,23.751598358154297,83.09599304199219,7.458061410956432,0.5474664775302074,active_rl_best,5
298,426100,2,0.6,initial,failed_best_swap_00_3,e88379c021f01957,-6.929336071014404,0.5,-6.929336071014404,0.3807983100414276,0,1,0,0,6.687461853027344,3.8438186645507812,3.099529266357422,0.5,-6.7133026123046875,30.158893585205078,23.552608489990234,83.15264892578125,3.4965710680650552,0.6284323795106381,-6.7455596923828125,29.519996643066406,23.59566879272461,83.16825103759766,3.3887643915623613,0.6284323795106381,-6.91119384765625,28.84381866455078,23.099529266357422,83.19400024414062,3.6924865178689332,0.380798320270074,-6.691490173339844,30.74028778076172,23.516822814941406,83.09868621826172,3.3853277042588648,0.6284323795106381,-6.687461853027344,31.170543670654297,23.92731475830078,83.07994079589844,3.0706638423638646,0.5474688907014738,max_min_best,6
318,426100,2,0.6,alternating,three_frequency_guided_swap_06,d4470f0d6e92d34a,-10.037353515625,1.1245803833007812,-10.037353515625,0.995922863483429,0,1,0,0,6.8427734375,5.068687438964844,3.655914306640625,1.1245803833007812,-6.8910064697265625,30.720901489257812,23.997589111328125,82.33357238769531,1.1248924025364535,1.0,-6.895416259765625,30.068687438964844,24.31903839111328,82.34015655517578,0.1080460000828923,1.0,-6.8427734375,30.716026306152344,23.904953002929688,82.32328796386719,-0.037353230297403256,1.0218932926980353,-6.9117889404296875,31.205902099609375,23.655914306640625,82.2816162109375,2.456694291379696,1.0,-6.9593353271484375,31.997013092041016,24.063621520996094,82.2613525390625,2.431347986175268,0.9959228407145988,pareto_knee,7
333,426100,2,0.7,initial,failed_best_swap_01_3,4ddcc637bafc8340,-13.99952507019043,1.5,-13.99952507019043,-2.859501361846924,0,1,0,0,9.665763854980469,1.5384674072265625,3.1983070373535156,1.5,-9.961189270019531,26.679744720458984,23.496753692626953,84.11065673828125,-3.977097573874844,-1.6715495781201781,-9.679786682128906,26.60770034790039,23.767608642578125,84.11285400390625,-3.9501614611359326,-1.6715495781201781,-9.665763854980469,26.538467407226562,23.89788818359375,84.11521911621094,-3.9995252257319436,-2.8595014415656124,-9.910758972167969,26.671218872070312,23.198307037353516,84.05793762207031,-3.9141174035188713,-1.6715495781201781,-9.916481018066406,27.13037109375,23.464744567871094,84.0296630859375,-3.7931687851137004,-0.93722534348613,pattern_best,8
335,426100,2,0.7,initial,parent_normalized,647f9ae0d728b87e,-5.474149227142334,0.5,-5.474149227142334,0.9936887621879578,0,1,0,0,6.976600646972656,1.4688911437988281,4.499355316162109,0.5,-7.083709716796875,27.318233489990234,25.169761657714844,84.11556243896484,5.659865192311027,1.0,-7.0786895751953125,26.743877410888672,25.366657257080078,84.13186645507812,4.525850969088871,1.0,-7.176513671875,26.468891143798828,25.09209442138672,84.13233947753906,5.457194935378102,1.006377134890205,-7.0144805908203125,27.84521484375,24.855594635009766,84.04875183105469,6.468351842565837,1.0,-6.976600646972656,28.220722198486328,24.49935531616211,84.01699829101562,6.897636677364418,0.9936887340340007,active_rl_best,9
