gate,alpha,positive_rate,auroc,auprc,accuracy,precision,recall,specificity,brier,ece,nll
gate15,0.01,0.7297297297297297,0.8457777777777777,0.9468017162428809,0.7837837837837838,0.8064516129032258,0.9259259259259259,0.4,0.13255135019550776,0.05309395872766575,0.3865812312645317
gate15,0.02,0.7297297297297297,0.8457777777777777,0.9468017162428809,0.7837837837837838,0.8064516129032258,0.9259259259259259,0.4,0.13247456599563542,0.054173376236876014,0.38680738060720954
gate15,0.05,0.7297297297297297,0.8457777777777777,0.9468017162428809,0.7837837837837838,0.8064516129032258,0.9259259259259259,0.4,0.13228482035235586,0.06102564459552532,0.38765689898379646
gate15,0.1,0.7297297297297297,0.8472592592592593,0.9472043560196184,0.772972972972973,0.8120805369127517,0.8962962962962963,0.44,0.13210393413468172,0.063951819376268,0.38956484742879155
gate15,0.2,0.7297297297297297,0.8522962962962963,0.9487747531192275,0.7351351351351352,0.8359375,0.7925925925925926,0.58,0.13224974865355238,0.09968349962019266,0.39486025341527603
gate20,0.01,0.7027027027027027,0.8630769230769231,0.9486506655820429,0.7783783783783784,0.8027210884353742,0.9076923076923077,0.4727272727272727,0.13798111411635855,0.10309870782826097,0.4739592616964747
gate20,0.02,0.7027027027027027,0.8630769230769231,0.9486506655820429,0.7783783783783784,0.8027210884353742,0.9076923076923077,0.4727272727272727,0.13771192922716793,0.10142482870825194,0.46840665415577065
gate20,0.05,0.7027027027027027,0.8630769230769231,0.9486506655820429,0.772972972972973,0.8013698630136986,0.9,0.4727272727272727,0.1369493879151438,0.10185830186996456,0.4563328033896017
gate20,0.1,0.7027027027027027,0.8640559440559441,0.9489662299173447,0.7675675675675676,0.8222222222222222,0.8538461538461538,0.5636363636363636,0.13582853024692917,0.10407007917807277,0.4438534800653755
gate20,0.2,0.7027027027027027,0.8690909090909091,0.9507403289045683,0.7621621621621621,0.8412698412698413,0.8153846153846154,0.6363636363636364,0.13414948185484568,0.1156152620010558,0.4309664095463705
