dimension,value,candidate_count,scene_count,strict_positive_count,strict_positive_rate,hard_negative_count,scene_oracle_rate,worst_margin_mean_db
split,test,864,216,177,0.2048611111111111,329,0.3425925925925926,-3.733529898514799
split,train,2880,720,659,0.22881944444444444,1335,0.36527777777777776,-3.6927378847344596
split,val,576,144,130,0.22569444444444445,233,0.3611111111111111,-3.7026158226470014
k,2,1440,360,264,0.18333333333333332,415,0.3472222222222222,-3.4249542581115544
k,4,1440,360,375,0.2604166666666667,849,0.3861111111111111,-3.669655948277472
k,6,1440,360,327,0.22708333333333333,633,0.3472222222222222,-4.012029831247572
ratio,0.5,1080,1080,161,0.14907407407407408,319,0.14907407407407408,-3.1843959715639896
ratio,0.6,1080,1080,256,0.23703703703703705,467,0.23703703703703705,-3.418223533535018
ratio,0.7,1080,1080,303,0.28055555555555556,539,0.28055555555555556,-3.910393090820354
ratio,0.8,1080,1080,246,0.22777777777777777,572,0.22777777777777777,-4.295840787596104
drift_intensity,0.05,1080,270,645,0.5972222222222222,71,0.8777777777777778,0.008247666265729262
drift_intensity,0.20,1080,270,316,0.29259259259259257,402,0.5444444444444444,-0.4837410127963974
drift_intensity,0.50,1080,270,5,0.004629629629629629,710,0.018518518518518517,-4.24878216120727
drift_intensity,1.00,1080,270,0,0.0,714,0.0,-10.084577875777526
operator_profile,dielectric_high_x0.05,180,45,112,0.6222222222222222,8,0.8888888888888888,0.02646249872114923
operator_profile,dielectric_high_x0.20,180,45,61,0.3388888888888889,58,0.7555555555555555,-0.3166197939387833
operator_profile,dielectric_high_x0.50,180,45,0,0.0,119,0.0,-2.092050532499949
operator_profile,dielectric_high_x1.00,180,45,0,0.0,119,0.0,-9.804252264234755
operator_profile,dielectric_low_x0.05,180,45,115,0.6388888888888888,4,0.8888888888888888,0.04259492957757579
operator_profile,dielectric_low_x0.20,180,45,97,0.5388888888888889,25,0.8,-0.11563519490365352
operator_profile,dielectric_low_x0.50,180,45,4,0.022222222222222223,116,0.08888888888888889,-1.2299906326128014
operator_profile,dielectric_low_x1.00,180,45,0,0.0,119,0.0,-9.07066739267773
operator_profile,frequency_high_x0.05,180,45,92,0.5111111111111111,27,0.8222222222222222,-0.06665214547990925
operator_profile,frequency_high_x0.20,180,45,0,0.0,119,0.0,-1.2027367654773924
operator_profile,frequency_high_x0.50,180,45,0,0.0,119,0.0,-9.598975172307757
operator_profile,frequency_high_x1.00,180,45,0,0.0,119,0.0,-12.081960368156434
operator_profile,frequency_low_x0.05,180,45,110,0.6111111111111112,10,0.8888888888888888,0.011215976253151894
operator_profile,frequency_low_x0.20,180,45,22,0.12222222222222222,97,0.3333333333333333,-0.6446452963993781
operator_profile,frequency_low_x0.50,180,45,0,0.0,119,0.0,-8.574882069561216
operator_profile,frequency_low_x1.00,180,45,0,0.0,119,0.0,-10.418970235188802
operator_profile,patch_length_high_x0.05,180,45,107,0.5944444444444444,12,0.8888888888888888,0.0027177885252361498
operator_profile,patch_length_high_x0.20,180,45,46,0.25555555555555554,73,0.5555555555555556,-0.41172637056766287
operator_profile,patch_length_high_x0.50,180,45,0,0.0,119,0.0,-2.391083238522212
operator_profile,patch_length_high_x1.00,180,45,0,0.0,119,0.0,-10.070206696457333
operator_profile,patch_length_low_x0.05,180,45,109,0.6055555555555555,10,0.8888888888888888,0.03314694999717176
operator_profile,patch_length_low_x0.20,180,45,90,0.5,30,0.8222222222222222,-0.21108265549151434
operator_profile,patch_length_low_x0.50,180,45,1,0.005555555555555556,118,0.022222222222222223,-1.6057113217396868
operator_profile,patch_length_low_x1.00,180,45,0,0.0,119,0.0,-9.06141029795011
