candidate_index,sample_index,k,ratio,active_count,selection_role,corner,physical_frequency_ghz,phase_rms_deg,gain_rms_db,soft_active_port_count,operator_only_active_rl_floor_db,physical_plus_source_active_rl_floor_db,operator_only_strict_pass,physical_plus_source_strict_pass,physical_plus_source_root_cause,physical_plus_source_worst_margin_db,nominal_psll_db,nominal_weakest_target_gain_db,nominal_target_spread_db,nominal_nearest_iso_db,nominal_local_iso_db,nominal_pointing_error_deg,operator_only_psll_db,operator_only_weakest_target_gain_db,operator_only_target_spread_db,operator_only_nearest_iso_db,operator_only_local_iso_db,operator_only_pointing_error_deg,physical_plus_source_psll_db,physical_plus_source_weakest_target_gain_db,physical_plus_source_target_spread_db,physical_plus_source_nearest_iso_db,physical_plus_source_local_iso_db,physical_plus_source_pointing_error_deg,operator_only_psll_margin_db,operator_only_nearest_iso_margin_db,operator_only_local20_iso_margin_db,operator_only_mainlobe_margin_db,operator_only_active_rl_margin_db,physical_plus_source_psll_margin_db,physical_plus_source_nearest_iso_margin_db,physical_plus_source_local20_iso_margin_db,physical_plus_source_mainlobe_margin_db,physical_plus_source_active_rl_margin_db
0,426106,2,0.5,128,reserve,frequency_low_x0.20,9.96,1.8034967706769987,0.11199985232343762,128,9.630723906198863,9.569290030532086,0,0,active_rl,-0.43070995807647705,-8.963333129882812,82.23251342773438,0.00479888916015625,29.059673309326172,24.594314575195312,8.537736462515939e-07,-8.960174560546875,82.23677062988281,0.00150299072265625,29.06594467163086,24.596755981445312,8.537736462515939e-07,-9.01513671875,82.2190933227539,0.01183319091796875,29.02142333984375,24.21297836303711,8.537736462515939e-07,8.960174560546875,4.065944671630859,4.5967559814453125,0.5042572021484375,-0.36927610635757446,9.01513671875,4.02142333984375,4.212978363037109,0.48657989501953125,-0.43070995807647705
1,426104,2,0.5,128,reserve,frequency_low_x0.20,9.96,2.3831751819812923,0.12484772904518643,128,10.054060052162924,9.683794644296977,1,0,active_rl,-0.31620535254478455,-10.097305297851562,82.02294158935547,0.010101318359375,30.33658218383789,22.818851470947266,8.537736462515939e-07,-10.09796142578125,81.9892807006836,0.0261383056640625,30.074962615966797,22.829044342041016,8.537736462515939e-07,-10.1605224609375,81.9927978515625,0.0420989990234375,29.82396697998047,22.892993927001953,8.537736462515939e-07,10.09796142578125,5.074962615966797,2.8290443420410156,0.466339111328125,0.05406005308032036,10.1605224609375,4.823966979980469,2.892993927001953,0.46985626220703125,-0.31620535254478455
2,426100,2,0.5,128,psll_boundary,frequency_low_x0.20,9.96,2.366962541851826,0.12218853072419161,128,9.286923494054397,9.540934106471378,0,0,active_rl,-0.45906588435173035,-4.6402435302734375,81.63677215576172,0.00540924072265625,28.125469207763672,24.150741577148438,0.0,-4.64984130859375,81.61940002441406,0.02675628662109375,27.893463134765625,24.082721710205078,0.0,-4.748199462890625,81.59805297851562,0.0727691650390625,27.270652770996094,23.45191192626953,0.0,4.64984130859375,2.893463134765625,4.082721710205078,0.48262786865234375,-0.7130765318870544,4.748199462890625,2.2706527709960938,3.4519119262695312,0.46128082275390625,-0.45906588435173035
3,426107,2,0.6000000238418579,154,nearest_boundary,frequency_low_x0.20,9.96,2.1911078167792186,0.12200616582716503,154,9.472268846807397,9.838038480157685,0,0,active_rl,-0.16196152567863464,-10.335800170898438,82.79155731201172,0.10590362548828125,27.79064178466797,24.056434631347656,0.0,-10.308380126953125,82.7541732788086,0.14295196533203125,27.61993408203125,24.007179260253906,0.0,-10.3509521484375,82.77108764648438,0.11156463623046875,26.95575714111328,23.54660415649414,0.0,10.308380126953125,2.61993408203125,4.007179260253906,0.462615966796875,-0.52773118019104,10.3509521484375,1.9557571411132812,3.5466041564941406,0.47953033447265625,-0.16196152567863464
4,426102,2,0.699999988079071,179,local_boundary,frequency_low_x0.20,9.96,2.501688487225847,0.11986364685377131,179,9.485457414963687,9.111036121820838,0,0,active_rl,-0.8889638781547546,-7.844001770019531,83.69720458984375,0.1164703369140625,28.44457244873047,24.883663177490234,8.537736462515939e-07,-7.2995147705078125,83.64756774902344,0.17706298828125,28.43768310546875,24.85745620727539,8.537736462515939e-07,-7.0205841064453125,83.65641784667969,0.148834228515625,28.537010192871094,24.288997650146484,8.537736462515939e-07,7.2995147705078125,3.43768310546875,4.857456207275391,0.4503631591796875,-0.5145425796508789,7.0205841064453125,3.5370101928710938,4.288997650146484,0.4592132568359375,-0.8889638781547546
5,426105,2,0.800000011920929,205,active_rl_boundary,frequency_low_x0.20,9.96,1.9099839773907552,0.12317598107805568,205,9.703317183723676,9.600696373465983,0,0,active_rl,-0.3993036150932312,-10.84326171875,84.1953125,0.05074310302734375,27.45258331298828,24.052833557128906,0.0,-10.116096496582031,84.16846466064453,0.0624847412109375,27.207565307617188,23.995994567871094,0.0,-10.144798278808594,84.1434555053711,0.0973052978515625,27.57927703857422,24.041305541992188,0.0,10.116096496582031,2.2075653076171875,3.9959945678710938,0.47315216064453125,-0.29668280482292175,10.144798278808594,2.5792770385742188,4.0413055419921875,0.44814300537109375,-0.3993036150932312
6,426109,2,0.6000000238418579,154,large_scan,frequency_low_x0.20,9.96,1.7126865271567966,0.11851670849362239,154,9.254532121751318,9.093185119835397,0,0,active_rl,-0.9068148732185364,-9.898994445800781,83.05148315429688,0.00661468505859375,29.857654571533203,24.970783233642578,8.537736462515939e-07,-9.9737548828125,83.03046417236328,0.03639984130859375,29.997886657714844,25.00522232055664,8.537736462515939e-07,-9.952194213867188,83.03480529785156,0.02747344970703125,30.206512451171875,24.126129150390625,8.537736462515939e-07,9.9737548828125,4.997886657714844,5.005222320556641,0.47898101806640625,-0.7454679012298584,9.952194213867188,5.206512451171875,4.126129150390625,0.4833221435546875,-0.9068148732185364
7,426111,4,0.5,128,reserve,frequency_low_x0.20,9.96,2.1416769615522084,0.12306320970446383,128,8.9792535138573,8.844844069382722,0,0,active_rl,-1.155155897140503,-5.275062561035156,79.19290161132812,0.0679168701171875,27.020442962646484,22.817893981933594,0.13956967372334456,-5.269889831542969,79.18016052246094,0.08802032470703125,27.10888671875,22.814895629882812,0.13956967372334456,-5.2894134521484375,79.1783676147461,0.06804656982421875,26.978572845458984,22.44470977783203,0.13956967372334456,5.269889831542969,2.10888671875,2.8148956298828125,0.4872589111328125,-1.0207464694976807,5.2894134521484375,1.9785728454589844,2.4447097778320312,0.48546600341796875,-1.155155897140503
8,426115,4,0.5,128,psll_boundary,frequency_low_x0.20,9.96,1.74234002621279,0.11240370372256361,128,9.902040425204875,9.686873502746105,0,0,active_rl,-0.31312650442123413,-3.1941909790039062,78.4437484741211,0.13538360595703125,26.682483673095703,22.501651763916016,0.9999999999999002,-3.212432861328125,78.43634796142578,0.14707183837890625,26.531085968017578,22.460357666015625,0.6180056077586904,-3.2239303588867188,78.44818878173828,0.14939117431640625,25.93402099609375,22.342552185058594,0.6180056077586904,3.212432861328125,1.5310859680175781,2.460357666015625,0.4925994873046875,-0.09795957803726196,3.2239303588867188,0.93402099609375,2.3425521850585938,0.5044403076171875,-0.31312650442123413
9,426116,4,0.6000000238418579,154,nearest_boundary,frequency_low_x0.20,9.96,1.7511847294314271,0.12335557177111414,154,8.841663208007605,9.276569597300462,0,0,active_rl,-0.7234303951263428,-7.323158264160156,79.42949676513672,0.1415863037109375,25.855880737304688,21.513450622558594,1.2074182697257333e-06,-7.157196044921875,79.41289520263672,0.15386199951171875,25.709716796875,21.35395050048828,1.2074182697257333e-06,-7.0420074462890625,79.4142837524414,0.19366455078125,25.265380859375,21.47216796875,1.2074182697257333e-06,7.157196044921875,0.709716796875,1.3539505004882812,0.4833984375,-1.1583367586135864,7.0420074462890625,0.265380859375,1.47216796875,0.4847869873046875,-0.7234303951263428
