variant,freeze_index,sample_index,k,ratio,active_rl_floor_db,active10_pass,reserve11_pass,minimum_network_efficiency
old_series_l_0p533nH_q50,0,426100,2,0.6000000238418579,10.898524215136813,1,0,0.9817099167331166
old_series_l_0p533nH_q50,1,426102,2,0.699999988079071,9.111036124326672,0,0,0.9825145816937344
old_series_l_0p533nH_q50,2,426104,2,0.6000000238418579,10.865085617187875,1,0,0.9817193153922428
old_series_l_0p533nH_q50,3,426105,2,0.800000011920929,9.545919689089072,0,0,0.9832186382712765
old_series_l_0p533nH_q50,4,426106,2,0.6000000238418579,10.93734676607217,1,0,0.982092270847755
old_series_l_0p533nH_q50,5,426107,2,0.800000011920929,10.07845852908163,1,0,0.9821414313119994
old_series_l_0p533nH_q50,6,426109,2,0.6000000238418579,9.69325230505757,0,0,0.9817584330716789
old_series_l_0p533nH_q50,7,426110,4,0.699999988079071,9.8278469999636,0,0,0.9820214293976898
old_series_l_0p533nH_q50,8,426111,4,0.699999988079071,10.607510003732749,1,0,0.9823298675891894
old_series_l_0p533nH_q50,9,426113,4,0.800000011920929,9.100817328235081,0,0,0.982654167646012
old_series_l_0p533nH_q50,10,426115,4,0.699999988079071,10.127850839119091,1,0,0.9822221797994741
old_series_l_0p533nH_q50,11,426116,4,0.800000011920929,10.085239668950383,1,0,0.9827239658267005
old_series_l_0p533nH_q50,12,426117,4,0.800000011920929,10.500985590193253,1,0,0.9824796944356851
old_series_l_0p533nH_q50,13,426120,6,0.800000011920929,10.34472731427301,1,0,0.982529621527076
old_series_l_0p533nH_q50,14,426121,6,0.5,8.72406890363576,0,0,0.9804811374072175
old_series_l_0p533nH_q50,15,426122,6,0.699999988079071,10.102572359130344,1,0,0.9833275241998477
old_series_l_0p533nH_q50,16,426124,6,0.800000011920929,9.37301586075083,0,0,0.9827573786371724
old_series_l_0p533nH_q50,17,426125,6,0.6000000238418579,9.920628923030696,0,0,0.9820521600811788
old_series_l_0p533nH_q50,18,426126,6,0.699999988079071,9.882637771156643,0,0,0.9811699793255567
old_series_l_0p533nH_q50,19,426128,6,0.800000011920929,9.352720120026639,0,0,0.9821660519681497
geometry3_sls,0,426100,2,0.6000000238418579,10.943910139035085,1,0,0.9820566272393354
geometry3_sls,1,426102,2,0.699999988079071,9.044356588870496,0,0,0.9828552544248061
geometry3_sls,2,426104,2,0.6000000238418579,10.537002760024306,1,0,0.9821004477406732
geometry3_sls,3,426105,2,0.800000011920929,9.728743135591353,0,0,0.9835568169679562
geometry3_sls,4,426106,2,0.6000000238418579,10.83232219663262,1,0,0.9824887112166152
geometry3_sls,5,426107,2,0.800000011920929,10.049331707989822,1,0,0.9825860372150863
geometry3_sls,6,426109,2,0.6000000238418579,9.790458023987695,0,0,0.9821553281360863
geometry3_sls,7,426110,4,0.699999988079071,9.752547398528959,0,0,0.982410213302414
geometry3_sls,8,426111,4,0.699999988079071,10.588629700377883,1,0,0.9827221444447675
geometry3_sls,9,426113,4,0.800000011920929,9.181168807117615,0,0,0.9830084737763053
geometry3_sls,10,426115,4,0.699999988079071,10.189039819546764,1,0,0.9825912144484131
geometry3_sls,11,426116,4,0.800000011920929,10.025184978074007,1,0,0.983075017905971
geometry3_sls,12,426117,4,0.800000011920929,10.42900551826434,1,0,0.9828158983878402
geometry3_sls,13,426120,6,0.800000011920929,10.182572012771082,1,0,0.9828704225706528
geometry3_sls,14,426121,6,0.5,8.974082728553704,0,0,0.9808573592315494
geometry3_sls,15,426122,6,0.699999988079071,10.19855800353454,1,0,0.9836427923376676
geometry3_sls,16,426124,6,0.800000011920929,9.45428386211155,0,0,0.9830954387717695
geometry3_sls,17,426125,6,0.6000000238418579,9.868488646580753,0,0,0.9824055269173891
geometry3_sls,18,426126,6,0.699999988079071,9.880910133549392,0,0,0.9815823888600519
geometry3_sls,19,426128,6,0.800000011920929,9.429748208345325,0,0,0.9825095544061548
