freeze_index,sample_index,k,ratio,source,source_row_index,freeze_policy,pre_freeze_strict_pass,pre_freeze_worst_margin_db,mask_hash,command_hash,active_count
0,426100,2,0.6,v20,119,minimum_strict_ratio_then_max_margin,1,0.33856201171875,d0bb9e95ebba40f80a65a11ade5f5774a5be47dd1570be2a20a15c4be01d2ef4,dba786b8ded24ed5ae4e4db7e88e198f3c4a9657082a606647d02dd153acb20c,154
1,426102,2,0.699999988079071,v20,4,maximum_worst_margin_failed_scene,0,-0.8889638781547546,719fd2b4b661ba832a0be8b2208038b9853b3fb7930c4b3a524f5229704e5c88,89450daf0832dd445980e9ff819f9306451719478658fb6c07ab570190296cf8,179
2,426104,2,0.6,v20,79,minimum_strict_ratio_then_max_margin,1,0.32025146484375,4e35d4fe74e3a9d76f384370ca28f7fa78e74c6704a738c0ce23a498b966958b,3b4acc970c23d14f3766b30295e0bfcc5716636746cc8678e888688e0f2323cc,154
3,426105,2,0.800000011920929,v20,5,maximum_worst_margin_failed_scene,0,-0.4540803134441376,1b0b81e08027a31436103c73c0a1597d43cb44b0bf9b0759b06558824e34f063,aa509d0495868bbe433e47ef32b0ded0d8bbfc848acc3d59a6afb10230f40881,205
4,426106,2,0.6,v20,39,minimum_strict_ratio_then_max_margin,1,0.3894195556640625,3bccf1df768f382fcbf376c430266aac584961df09eb282a71cea3d78df09350,766a8300878fc95e2c873b09290ea1f996e134038bc01159b1050319be3497e6,154
5,426107,2,0.8,dense_alpha,28,minimum_strict_ratio_then_max_margin,1,0.07798004150390625,f6d6cd602afafd8db3cb09a63f8fa203e9a4686a319b76a74e4cfb0813447461,9d42cc71b5771b86d930a6518bd34b676d9b647e851b1fee49156d33c37e11fe,205
6,426109,2,0.6000000238418579,v20,6,maximum_worst_margin_failed_scene,0,-0.306747704744339,810191d499ccba8da0738bb5a1c235d7d9faa422650dbf6ef1317f2fdaee9197,c4321bdb8de78e0ac22090fc7d696c44e5d101677ab173bbc150bfe41db68e80,154
7,426110,4,0.699999988079071,v20,10,maximum_worst_margin_failed_scene,0,-0.17215299606323242,593ab21351d14888c76e8d612638058135cead5c3be2958afd51f0f5471e3734,14a1dbb391016f7a689c19175a117c6405f1ad355f9dccad63e87acb969f35ac,179
8,426111,4,0.7,v20,324,minimum_strict_ratio_then_max_margin,1,0.29438018798828125,01c483a0731a03142b8c8c1d949c761e8ade393ad1eb4bc93c4c0603ce19c97b,5cba033542e0156e465f1ff41a8dcbfbf0e226a704a693ee9abcb5429c412e5f,179
9,426113,4,0.800000011920929,v20,11,maximum_worst_margin_failed_scene,0,-0.8991820812225342,711ab45e88449e2ac7b0d61eb5ecf185672afc6b2aaea15f91ff79e929d7e8fd,637b228ab1d294f601ccf2f24a31040964be7b0b8d851baa1554459f0bd98c3f,205
10,426115,4,0.7,dense_alpha,117,minimum_strict_ratio_then_max_margin,1,0.1262969970703125,8bbed2fd9b88e6db6fe8c3031738b4d2c5e777143f07eb7d6f49dba909945797,95d225f2aa36625cd36695292d8127a958cc1e30c2374f0aa829a20b206a4b49,179
11,426116,4,0.8,v20,414,maximum_worst_margin_failed_scene,0,-0.5,6ffbe0481477b17bdf4dea9f7de5dac7ea752e2043ec6ace7e27cdcc960ef0ce,5ef52bb66ff42e56f16601cae9d1daf546d6b8407874c906c1aab1b2f61a90f6,205
12,426117,4,0.8,v20,534,maximum_worst_margin_failed_scene,0,-0.4577484130859375,bfd5a250ec68ac519d584a8f5274c1187c8fa0557e90129607e680b5bdadbc2b,4adf9fe67cdb6d542a4ef8e20ee9161a2ebf8d7cc71f75e8547b35f4283b41c2,205
13,426120,6,0.800000011920929,v20,19,minimum_strict_ratio_then_max_margin,1,0.3447273075580597,82d55e05e759734753978f9a030c5bf1088e5587ab25c67f742afe1a5a08b43d,c3864e7345aeb398f242df7cc1820bcbdbcba083d39cdb80ea01dcfc136ab437,205
14,426121,6,0.5,v20,13,maximum_worst_margin_failed_scene,0,-1.2759311199188232,1a4cfa0b27169dc0c2b5d707921bf5070e7636c5608a3332d7d0ec1f465300c4,cb4bf8648d2a47c6fffd769a898a21384322090020791813e7d52d915e60f93c,128
15,426122,6,0.699999988079071,v20,16,minimum_strict_ratio_then_max_margin,1,0.0018352261977270246,36051c8cac3b21fee4ed2ff84fa69253bd02feefb4c368e2e80326e43bff49a0,4e05ae84cda725d83590d3fc2ef69148f6ea1287211a12f5415d6259021e0909,179
16,426124,6,0.800000011920929,v20,17,maximum_worst_margin_failed_scene,0,-0.6269834637641907,d7efe9d6fe275baa6e378eddecf90d98d048f63a3afc1dfc0e6e19f2af401335,9ce4c7fea989838cac5355d15de61ac5a9c127aac508591d78c9690c8da42fff,205
17,426125,6,0.6000000238418579,v20,15,maximum_worst_margin_failed_scene,0,-0.07937019318342209,593d1af42ac92c078032af2c64ad0ba134fb08313277fb04bbad60f5a2c0f985,1b2dda93c3c934c7f53c42f67ca9c13d104cf56f3c175941cabb6f88a946f63e,154
18,426126,6,0.699999988079071,v20,18,maximum_worst_margin_failed_scene,0,-0.11736184358596802,116cc3a3b012b4d055f4fcf9c92fd32f76fe16a43f83546cb7ffe9e33d62356f,5356acdbdf25704d78d2b24320356341dc735492a8235301b0378e31571b47a4,179
19,426128,6,0.8,v20,618,maximum_worst_margin_failed_scene,0,-1.058837890625,e829b831dfde283e2534e36d066a7c013b72370dc175259bbcff0b66e26e4f19,612b94f5b97842d14c61b69f97a3a03ecae0e443124df19d26410be154027cce,205
